model,start,cost,success,CfOverMass,CrOverMass,IzOverMass,roadSteeringZeroRad,timeShiftSeconds
yaw_physical,0,373.68751125700965,True,9.211303589378064,7.8771106830696835,0.42967516319838833,0.0016160456036984534,0.0
yaw_physical,1,373.6875112579094,True,9.211317299460406,7.877123105274444,0.4296756794353457,0.0016160456036984534,0.0
yaw_physical,2,373.68751125613164,True,9.211277926066423,7.8770874316804935,0.42967420606901713,0.0016160456036984534,0.0
yaw_physical,3,373.6875112560774,True,9.211271925909156,7.87708199712811,0.4296739798634675,0.0016160456036984534,0.0
yaw_physical,4,373.6875112584495,True,9.211323881242505,7.877129069208524,0.4296759341844969,0.0016160456036984534,0.0
yaw_physical,5,373.68751125609504,True,9.211274675412003,7.877084487376172,0.42967407805774605,0.0016160456036984534,0.0
yaw_physical,6,373.68751125612334,True,9.211277296730833,7.877086862451608,0.4296741786296842,0.0016160456036984534,0.0
yaw_physical,7,373.68751125754613,True,9.211312326641126,7.877118597392532,0.4296754861539675,0.0016160456036984534,0.0
yaw_alignment,0,92.12103971135566,True,88.16227896118305,149.99999999999983,2.11075349604976,0.00243071697507505,-0.018469666151758417
yaw_alignment,1,92.12103970774112,True,88.16228211538711,149.99999999999983,2.110759060382923,0.0024307170500277205,-0.01846957187869046
yaw_alignment,2,92.12103968464072,True,88.16230796765463,149.99999999999983,2.1108049524253416,0.0024307176639074535,-0.018468796051082134
yaw_alignment,3,92.12103970752483,True,88.16228229354314,149.99999999999983,2.110759404405716,0.002430717054368227,-0.018469566158764276
yaw_alignment,4,92.12103968491934,True,88.16237446082154,149.99999999999983,2.1109374196317616,0.002430719271883728,-0.01846660837113002
yaw_alignment,5,92.87152457664428,True,18.567432457263266,16.79380829638141,0.6309562321840434,0.0024070831628990944,-0.006622961896852726
yaw_alignment,6,92.87152458553985,True,18.567652893494806,16.79403182000084,0.6309642899297834,0.0024070839047813015,-0.006622762573213431
yaw_alignment,7,92.87152457738206,True,18.56744850493355,16.793824397785837,0.6309582537170079,0.0024070833303693534,-0.006622800775404359
