model,A,B,constant,horizonSeconds,integralRows,designCondition,success
integral_0.1,36.13948436148396,-0.12048947702067739,-0.07115907338600297,0.1,263,5.9222374282596055,True
integral_0.2,36.641911356000286,-0.12217288350178179,-0.07283609972313312,0.2,131,6.050213379289097,True
integral_0.5,37.87912340838214,-0.13110935713793498,-0.07312283121878371,0.5,52,6.635593612009158,True
integral_1.0,43.40124427255197,-0.14844187895426328,-0.08532637567050674,1.0,25,7.541766593668743,True
