frame_index,lidar_stamp_sec
320,1717776600.85731
321,1717776600.94878
322,1717776601.04018
323,1717776601.13203
324,1717776601.22353
325,1717776601.31637
326,1717776601.40732
327,1717776601.49856
328,1717776601.5901
329,1717776601.68265
330,1717776601.77435
331,1717776601.86584
332,1717776601.95789
333,1717776602.04905
334,1717776602.14043
335,1717776602.23207
336,1717776602.32396
337,1717776602.41603
338,1717776602.50804
339,1717776602.59896
340,1717776602.69093
341,1717776602.78182
342,1717776602.87353
343,1717776602.96536
344,1717776603.05735
345,1717776603.14959
346,1717776603.24058
347,1717776603.33219
348,1717776603.42438
349,1717776603.51573
350,1717776603.60747
351,1717776603.6999
352,1717776603.79044
353,1717776603.8818
354,1717776603.97386
355,1717776604.06574
356,1717776604.15719
357,1717776604.2492
358,1717776604.34108
359,1717776604.43225
360,1717776604.52373
361,1717776604.61543
362,1717776604.70713
363,1717776604.79935
364,1717776604.89038
365,1717776604.98187
366,1717776605.07372
367,1717776605.16521
368,1717776605.25721
369,1717776605.34915
370,1717776605.44096
371,1717776605.53349
372,1717776605.62399
373,1717776605.71545
374,1717776605.80665
375,1717776605.89852
376,1717776605.99099
377,1717776606.08235
378,1717776606.17355
379,1717776606.26487
380,1717776606.35687
381,1717776606.44957
382,1717776606.54067
383,1717776606.63281
384,1717776606.72486
385,1717776606.81538
386,1717776606.90704
387,1717776606.99859
388,1717776607.09012
389,1717776607.18239
390,1717776607.27416
391,1717776607.3661
392,1717776607.45741
393,1717776607.54878
394,1717776607.64071
395,1717776607.73208
396,1717776607.82354
397,1717776607.91623
398,1717776608.00674
399,1717776608.09897
400,1717776608.19046
401,1717776608.28235
402,1717776608.37454
403,1717776608.46572
404,1717776608.55885
405,1717776608.64896
406,1717776608.74076
407,1717776608.832
408,1717776608.92365
409,1717776609.01619
410,1717776609.10786
411,1717776609.19892
412,1717776609.28995
413,1717776609.38223
414,1717776609.4737
415,1717776609.56571
416,1717776609.65732
417,1717776609.74966
418,1717776609.84022
419,1717776609.93179
420,1717776610.02349
421,1717776610.11521
422,1717776610.20763
423,1717776610.29977
424,1717776610.39029
425,1717776610.48212
426,1717776610.57361
427,1717776610.66545
428,1717776610.7573
429,1717776610.84873
430,1717776610.94225
431,1717776611.03224
432,1717776611.12365
433,1717776611.21543
434,1717776611.30679
435,1717776611.39877
436,1717776611.4908
437,1717776611.58179
438,1717776611.67348
439,1717776611.76568
440,1717776611.85765
441,1717776611.94854
442,1717776612.04026
443,1717776612.13302
444,1717776612.2234
445,1717776612.31512
446,1717776612.40688
447,1717776612.4985
448,1717776612.59074
449,1717776612.6821
450,1717776612.77366
451,1717776612.86531
452,1717776612.95707
453,1717776613.04867
454,1717776613.1404
455,1717776613.23203
456,1717776613.3243
457,1717776613.41511
458,1717776613.50688
459,1717776613.59861
460,1717776613.69012
461,1717776613.78213
462,1717776613.87371
463,1717776613.96689
464,1717776614.05706
465,1717776614.1488
466,1717776614.24063
467,1717776614.33207
468,1717776614.42408
469,1717776614.51647
470,1717776614.60698
471,1717776614.69861
472,1717776614.79041
473,1717776614.88181
474,1717776614.97408
475,1717776615.06609
476,1717776615.15829
477,1717776615.24876
478,1717776615.34062
479,1717776615.43213
480,1717776615.52378
481,1717776615.61624
482,1717776615.70832
483,1717776615.79867
484,1717776615.89069
485,1717776615.98208
486,1717776616.07386
487,1717776616.16548
488,1717776616.25721
489,1717776616.34998
490,1717776616.44079
491,1717776616.53248
492,1717776616.62398
493,1717776616.71569
494,1717776616.80772
495,1717776616.89919
496,1717776616.99042
497,1717776617.08222
498,1717776617.17359
499,1717776617.26557
500,1717776617.35713
501,1717776617.44887
502,1717776617.54203
503,1717776617.6323
504,1717776617.7237
505,1717776617.81548
506,1717776617.90736
507,1717776617.99934
508,1717776618.09071
509,1717776618.18205
510,1717776618.2738
511,1717776618.36603
512,1717776618.45733
513,1717776618.54862
514,1717776618.64019
515,1717776618.73336
516,1717776618.82337
517,1717776618.91546
518,1717776619.00716
519,1717776619.09908
520,1717776619.19089
521,1717776619.28209
522,1717776619.37414
523,1717776619.46554
524,1717776619.55768
525,1717776619.64912
526,1717776619.74058
527,1717776619.83216
528,1717776619.92466
529,1717776620.01529
530,1717776620.10691
531,1717776620.19883
532,1717776620.29009
533,1717776620.38224
534,1717776620.47369
535,1717776620.56552
536,1717776620.65707
537,1717776620.74864
538,1717776620.84027
539,1717776620.93273
540,1717776621.02456
541,1717776621.11668
542,1717776621.20723
543,1717776621.30159
544,1717776621.39345
545,1717776621.48567
546,1717776621.57682
547,1717776621.66883
548,1717776621.76028
549,1717776621.8531
550,1717776621.94333
551,1717776622.03486
552,1717776622.12678
553,1717776622.21824
554,1717776622.31084
555,1717776622.4028
556,1717776622.4932
557,1717776622.58533
558,1717776622.67671
559,1717776622.76961
560,1717776622.86157
561,1717776622.95303
562,1717776623.04554
563,1717776623.13637
564,1717776623.22829
565,1717776623.31949
566,1717776623.41118
567,1717776623.5033
568,1717776623.59472
569,1717776623.6863
570,1717776623.77785
571,1717776623.86947
572,1717776623.96241
573,1717776624.0541
574,1717776624.14642
575,1717776624.23773
576,1717776624.32905
577,1717776624.42081
578,1717776624.51244
579,1717776624.60415
580,1717776624.69593
581,1717776624.78797
582,1717776624.88058
583,1717776624.97059
584,1717776625.06255
585,1717776625.15414
586,1717776625.24603
587,1717776625.33792
588,1717776625.42954
589,1717776625.52081
590,1717776625.61245
591,1717776625.70415
592,1717776625.79595
593,1717776625.88758
594,1717776625.97914
595,1717776626.07158
596,1717776626.16238
597,1717776626.25424
598,1717776626.34572
599,1717776626.4374
600,1717776626.52947
601,1717776626.62146
602,1717776626.71294
603,1717776626.80439
604,1717776626.89588
605,1717776626.98753
606,1717776627.07942
607,1717776627.17169
608,1717776627.26341
609,1717776627.35411
610,1717776627.44622
611,1717776627.53917
612,1717776627.62429
613,1717776627.71632
614,1717776627.80762
615,1717776627.89899
616,1717776627.99085
617,1717776628.08213
618,1717776628.17566
619,1717776628.26795
620,1717776628.35941
621,1717776628.45012
622,1717776628.54187
623,1717776628.63331
624,1717776628.725
625,1717776628.81729
626,1717776628.90853
627,1717776629.00113
628,1717776629.09192
629,1717776629.18355
630,1717776629.27519
631,1717776629.36706
632,1717776629.45913
633,1717776629.55088
634,1717776629.64177
635,1717776629.73346
636,1717776629.82517
637,1717776629.91685
638,1717776630.0088
639,1717776630.10029
640,1717776630.19292
641,1717776630.28382
642,1717776630.37524
643,1717776630.46697
644,1717776630.55859
645,1717776630.65077
646,1717776630.74209
647,1717776630.83352
648,1717776630.92493
649,1717776631.01675
650,1717776631.10861
651,1717776631.20029
652,1717776631.29173
653,1717776631.38432
654,1717776631.47499
655,1717776631.56693
656,1717776631.65853
657,1717776631.75039
658,1717776631.84256
659,1717776631.93396
660,1717776632.02528
661,1717776632.11671
662,1717776632.2084
663,1717776632.29993
664,1717776632.39178
665,1717776632.48326
666,1717776632.57549
667,1717776632.66659
668,1717776632.75833
669,1717776632.84998
670,1717776632.94175
671,1717776633.03399
672,1717776633.12539
673,1717776633.21695
674,1717776633.30837
675,1717776633.39997
676,1717776633.49149
677,1717776633.58313
678,1717776633.67493
679,1717776633.76788
680,1717776633.85799
681,1717776633.94998
682,1717776634.04187
683,1717776634.13382
684,1717776634.22588
685,1717776634.31755
686,1717776634.40988
687,1717776634.5
688,1717776634.59186
689,1717776634.68345
690,1717776634.7755
691,1717776634.86748
692,1717776634.9597
693,1717776635.05013
694,1717776635.14179
695,1717776635.2336
696,1717776635.3254
697,1717776635.41737
698,1717776635.50877
699,1717776635.6014
700,1717776635.69196
701,1717776635.78345
702,1717776635.87519
703,1717776635.96696
704,1717776636.05893
705,1717776636.15066
706,1717776636.24198
707,1717776636.33345
708,1717776636.42535
709,1717776636.517
710,1717776636.60882
711,1717776636.70016
712,1717776636.79285
713,1717776636.88352
714,1717776636.9752
715,1717776637.0682
716,1717776637.1602
717,1717776637.25171
718,1717776637.34368
719,1717776637.43596
720,1717776637.5267
721,1717776637.61832
722,1717776637.71
723,1717776637.80178
724,1717776637.89363
725,1717776637.9852
726,1717776638.07641
727,1717776638.16962
728,1717776638.26157
729,1717776638.35295
730,1717776638.44443
731,1717776638.53647
732,1717776638.62862
733,1717776638.72161
734,1717776638.81289
735,1717776638.90457
736,1717776638.99737
737,1717776639.08901
738,1717776639.18111
739,1717776639.27229
740,1717776639.36394
741,1717776639.45565
742,1717776639.5473
743,1717776639.63921
744,1717776639.73073
745,1717776639.82246
746,1717776639.91496
747,1717776640.00581
748,1717776640.09769
749,1717776640.18908
750,1717776640.28064
751,1717776640.3724
752,1717776640.46433
753,1717776640.55567
754,1717776640.64742
755,1717776640.73914
756,1717776640.83063
757,1717776640.92222
758,1717776641.01419
759,1717776641.10631
760,1717776641.19739
761,1717776641.28928
762,1717776641.38069
763,1717776641.47277
764,1717776641.5642
765,1717776641.65589
766,1717776641.74831
767,1717776641.83898
768,1717776641.93032
769,1717776642.02231
770,1717776642.11421
771,1717776642.20613
772,1717776642.29787
773,1717776642.38899
774,1717776642.48065
775,1717776642.56632
776,1717776642.65711
777,1717776642.74998
778,1717776642.8403
779,1717776642.93174
780,1717776643.02339
781,1717776643.11538
782,1717776643.20788
783,1717776643.29927
784,1717776643.39045
785,1717776643.48237
786,1717776643.57402
787,1717776643.66568
788,1717776643.75719
789,1717776643.849
790,1717776643.94167
791,1717776644.03201
792,1717776644.12393
793,1717776644.21578
794,1717776644.30736
795,1717776644.39978
796,1717776644.49071
797,1717776644.58219
798,1717776644.67395
799,1717776644.76627
800,1717776644.85824
801,1717776644.94888
802,1717776645.04036
803,1717776645.13293
804,1717776645.22361
805,1717776645.31585
806,1717776645.40743
807,1717776645.49905
808,1717776645.59122
809,1717776645.68225
810,1717776645.77466
811,1717776645.8659
812,1717776645.95734
813,1717776646.04899
814,1717776646.14101
815,1717776646.23264
816,1717776646.32482
817,1717776646.41593
818,1717776646.50749
819,1717776646.59902
820,1717776646.69069
821,1717776646.78261
822,1717776646.87386
823,1717776646.96601
824,1717776647.05696
825,1717776647.14871
826,1717776647.24043
827,1717776647.33214
828,1717776647.42442
829,1717776647.51615
830,1717776647.6071
831,1717776647.69873
832,1717776647.79034
833,1717776647.88231
834,1717776647.97387
835,1717776648.06529
836,1717776648.15811
837,1717776648.24862
838,1717776648.34008
839,1717776648.43246
840,1717776648.52418
841,1717776648.61624
842,1717776648.70796
843,1717776648.79902
844,1717776648.8907
845,1717776648.98208
846,1717776649.07403
847,1717776649.16543
848,1717776649.25738
849,1717776649.35041
850,1717776649.44041
851,1717776649.53222
852,1717776649.62394
853,1717776649.71608
854,1717776649.80789
855,1717776649.8992
856,1717776649.99142
857,1717776650.08172
858,1717776650.17374
859,1717776650.26551
860,1717776650.35754
861,1717776650.44917
862,1717776650.54178
863,1717776650.63216
864,1717776650.72372
865,1717776650.81593
866,1717776650.90743
867,1717776650.99933
868,1717776651.0905
869,1717776651.1823
870,1717776651.27357
871,1717776651.36548
872,1717776651.45734
873,1717776651.54866
874,1717776651.64125
875,1717776651.73317
876,1717776651.82355
877,1717776651.91551
878,1717776652.00707
879,1717776652.09915
880,1717776652.19065
881,1717776652.28259
882,1717776652.37485
883,1717776652.46577
884,1717776652.55684
885,1717776652.64892
886,1717776652.74037
887,1717776652.8319
888,1717776652.92511
889,1717776653.01566
890,1717776653.10699
891,1717776653.1988
892,1717776653.29069
893,1717776653.38249
894,1717776653.47403
895,1717776653.56628
896,1717776653.6572
897,1717776653.74855
898,1717776653.84006
899,1717776653.93192
900,1717776654.02367
901,1717776654.11614
902,1717776654.20675
903,1717776654.29884
904,1717776654.39044
905,1717776654.48207
906,1717776654.57406
907,1717776654.66573
908,1717776654.75865
909,1717776654.8491
910,1717776654.94049
911,1717776655.03204
912,1717776655.12397
913,1717776655.21579
914,1717776655.3076
915,1717776655.3984
916,1717776655.49033
917,1717776655.58179
918,1717776655.67397
919,1717776655.76624
920,1717776655.85796
921,1717776655.95063
922,1717776656.04042
923,1717776656.13237
924,1717776656.22393
925,1717776656.31558
926,1717776656.40777
927,1717776656.49871
928,1717776656.59013
929,1717776656.68174
930,1717776656.77361
931,1717776656.86556
932,1717776656.95752
933,1717776657.04886
934,1717776657.1411
935,1717776657.232
936,1717776657.32376
937,1717776657.41547
938,1717776657.50729
939,1717776657.59945
940,1717776657.69056
941,1717776657.78207
942,1717776657.87387
943,1717776657.96548
944,1717776658.05737
945,1717776658.14908
946,1717776658.24071
947,1717776658.33256
948,1717776658.42366
949,1717776658.51594
950,1717776658.60737
951,1717776658.69892
952,1717776658.7908
953,1717776658.88203
954,1717776658.97342
955,1717776659.06515
956,1717776659.15699
957,1717776659.24863
958,1717776659.34048
959,1717776659.43307
960,1717776659.52457
961,1717776659.6155
962,1717776659.70772
963,1717776659.7991
964,1717776659.89064
965,1717776659.98249
966,1717776660.07424
967,1717776660.16625
968,1717776660.25685
969,1717776660.34874
970,1717776660.44051
971,1717776660.53262
972,1717776660.62441
973,1717776660.7164
974,1717776660.8078
975,1717776660.89894
976,1717776660.99063
977,1717776661.08184
978,1717776661.17368
979,1717776661.26582
980,1717776661.35865
981,1717776661.45015
982,1717776661.54189
983,1717776661.63362
984,1717776661.72717
985,1717776661.81862
986,1717776661.9107
987,1717776662.00209
988,1717776662.09344
989,1717776662.18518
990,1717776662.27682
991,1717776662.36858
992,1717776662.46078
993,1717776662.55161
994,1717776662.64424
995,1717776662.73499
996,1717776662.82676
997,1717776662.91837
998,1717776663.01035
999,1717776663.10241
1000,1717776663.19407
1001,1717776663.28529
1002,1717776663.37683
1003,1717776663.4684
1004,1717776663.56001
1005,1717776663.65189
1006,1717776663.74368
1007,1717776663.83544
1008,1717776663.92687
1009,1717776664.01847
1010,1717776664.11001
1011,1717776664.20183
1012,1717776664.29386
1013,1717776664.38529
1014,1717776664.47683
1015,1717776664.56842
1016,1717776664.66
1017,1717776664.75166
1018,1717776664.84332
1019,1717776664.93561
1020,1717776665.02774
1021,1717776665.11814
1022,1717776665.20988
1023,1717776665.30156
1024,1717776665.39334
1025,1717776665.48543
1026,1717776665.57679
1027,1717776665.66841
1028,1717776665.76013
1029,1717776665.85174
1030,1717776665.94365
1031,1717776666.03504
1032,1717776666.12727
1033,1717776666.21935
1034,1717776666.31011
1035,1717776666.40181
1036,1717776666.4961
1037,1717776666.58911
1038,1717776666.68106
1039,1717776666.77268
1040,1717776666.85712
1041,1717776666.94896
1042,1717776667.0406
1043,1717776667.13212
1044,1717776667.22415
1045,1717776667.31566
1046,1717776667.40703
1047,1717776667.49899
1048,1717776667.59023
1049,1717776667.68209
1050,1717776667.77398
1051,1717776667.86576
1052,1717776667.9586
1053,1717776668.04889
1054,1717776668.14051
1055,1717776668.232
1056,1717776668.32376
1057,1717776668.41618
1058,1717776668.50712
1059,1717776668.59879
1060,1717776668.69038
1061,1717776668.78193
1062,1717776668.87404
1063,1717776668.96553
1064,1717776669.05711
1065,1717776669.14996
1066,1717776669.24038
1067,1717776669.33202
1068,1717776669.42377
1069,1717776669.51591
1070,1717776669.60729
1071,1717776669.69941
1072,1717776669.79085
1073,1717776669.88215
1074,1717776669.97412
1075,1717776670.0657
1076,1717776670.15716
1077,1717776670.24954
1078,1717776670.34101
1079,1717776670.43229
1080,1717776670.52412
1081,1717776670.61594
1082,1717776670.70719
1083,1717776670.79963
1084,1717776670.89125
1085,1717776670.98307
1086,1717776671.07403
1087,1717776671.16543
1088,1717776671.25753
1089,1717776671.34917
1090,1717776671.44101
1091,1717776671.53303
1092,1717776671.62396
1093,1717776671.7158
1094,1717776671.80722
1095,1717776671.89887
1096,1717776671.99089
1097,1717776672.08259
1098,1717776672.17601
1099,1717776672.26564
1100,1717776672.35748
1101,1717776672.44933
1102,1717776672.54072
1103,1717776672.63227
1104,1717776672.72438
1105,1717776672.81552
1106,1717776672.90741
1107,1717776672.9989
1108,1717776673.09047
1109,1717776673.18213
1110,1717776673.27374
1111,1717776673.36691
1112,1717776673.45741
1113,1717776673.54883
1114,1717776673.64042
1115,1717776673.73214
1116,1717776673.82386
1117,1717776673.91607
1118,1717776674.00715
1119,1717776674.0991
1120,1717776674.19061
1121,1717776674.28241
1122,1717776674.37442
1123,1717776674.46553
1124,1717776674.55768
1125,1717776674.64881
1126,1717776674.74035
1127,1717776674.83202
1128,1717776674.92383
1129,1717776675.01676
1130,1717776675.10764
1131,1717776675.1991
1132,1717776675.2904
1133,1717776675.3821
1134,1717776675.47397
1135,1717776675.56579
1136,1717776675.65842
1137,1717776675.74966
1138,1717776675.84048
1139,1717776675.93212
1140,1717776676.02374
1141,1717776676.11567
1142,1717776676.20829
1143,1717776676.29922
1144,1717776676.39063
1145,1717776676.48233
1146,1717776676.57375
1147,1717776676.66516
1148,1717776676.75695
1149,1717776676.84895
1150,1717776676.94151
1151,1717776677.03224
1152,1717776677.12385
1153,1717776677.21555
1154,1717776677.30756
1155,1717776677.39946
1156,1717776677.4915
1157,1717776677.58147
1158,1717776677.67339
1159,1717776677.76518
1160,1717776677.85688
1161,1717776677.94868
1162,1717776678.041
1163,1717776678.13293
1164,1717776678.22392
1165,1717776678.31549
1166,1717776678.40718
1167,1717776678.49907
1168,1717776678.59064
1169,1717776678.6823
1170,1717776678.77465
