row,column,physicalAbsoluteBound,scalingExponent,scaledAbsoluteBound
1,2,32,-2,2.61224489795918
1,5,32,-2,2.61224489795918
2,2,5,-2,0.408163265306122
2,5,5,-2,0.408163265306122
2,3,16,-1,4.57142857142857
2,6,16,-1,4.57142857142857
3,2,5,-2,0.408163265306122
3,5,5,-2,0.408163265306122
3,6,16,-1,4.57142857142857
3,3,16,-1,4.57142857142857
4,2,1,-2,0.0816326530612245
4,5,1,-2,0.0816326530612245
4,7,32,-3,0.746355685131195
