query,variant,accepted,reason,positionErrorM,errorX,errorY,similarity,baselineReproductionMaxAbs
76,1,1,accepted,0.03205999958836,0.00954002526123077,0.0306077031418681,0.555893361650923,5.82076609134674e-11
76,2,1,accepted,0.0768472069448432,0.0573774742078967,0.0511206286028028,0.666234174324289,NaN
76,3,1,accepted,0.0718128072262309,0.0565992874908261,0.0441995467990637,0.662631115873999,NaN
87,1,1,accepted,0.605744045763185,0.603013432119042,-0.0574512807652354,0.502590563918398,5.82076609134674e-11
87,2,1,accepted,0.153833903588945,0.125065222498961,0.0895743267610669,0.615823097281886,NaN
87,3,1,accepted,0.150796287168903,0.116635858837981,0.0955803152173758,0.608831981109019,NaN
91,1,1,accepted,0.851427521907002,0.846738758613355,-0.089231719262898,0.469774039299973,9.31322574615479e-10
91,2,1,accepted,0.143353382958513,0.109569144027773,0.0924380607903004,0.587743546075097,NaN
91,3,1,accepted,0.15057347433232,0.115870217385236,0.0961585352197289,0.580967032226077,NaN
94,1,1,accepted,0.927990654577708,0.924658843199722,-0.0785663966089487,0.310809928055269,9.31322574615479e-10
94,2,1,accepted,0.139881549442663,0.108989190484863,0.0876824054867029,0.553823324433395,NaN
94,3,1,accepted,0.140577869901124,0.103371991426684,0.0952699789777398,0.549581751277554,NaN
97,1,1,accepted,0.305693693575648,-0.274656308873091,0.134210827760398,0.36030368964745,9.10382880192628e-15
97,2,1,accepted,0.142401711960214,0.0647150523145683,0.126847189851105,0.559553823203438,NaN
97,3,1,accepted,0.159377962518916,0.0735764126875438,0.141378380358219,0.540372130659803,NaN
103,1,1,accepted,0.12262235391813,-0.0942521175020374,0.0784396585077047,0.505080649192818,1.0529355165545e-12
103,2,1,accepted,0.0356050077550822,0.0134918668190949,0.0329497512429953,0.607491912803132,NaN
103,3,1,accepted,0.0506460918449083,0.0273300411645323,0.0426391307264566,0.613627934983672,NaN
112,1,1,accepted,0.195276212388507,0.164355879416689,0.105451145209372,0.570011959370787,6.52145004664817e-13
112,2,1,accepted,0.0465520643305936,-0.0345529880141839,0.0311959246173501,0.613117021270799,NaN
112,3,1,accepted,0.0336915135420396,-0.0166994851315394,0.0292616691440344,0.620698894060258,NaN
