query,fixed,errorX,errorY,yawErrorRad,accepted,similarity,matchedFraction,reason,queryYaw,fixedYaw,pairs,usedForFit,predictedX,predictedY,residualM
75,60,0.189271188224666,0.0347306504845619,-0.00847975346628349,1,0.264300706928493,0.285714285714286,accepted,-2.02965927089342,-2.118154174426,8,1,0.182363743926942,-0.0848018666521887,0.119731931579565
75,65,0.131721462239511,0.0286376774311066,-0.00825995659833367,1,0.536334351109163,0.428571428571429,accepted,-2.02965927089342,-2.11094094246005,12,1,0.167787640167522,-0.0772889880627951,0.111898291555286
80,60,0.375081538164522,-0.0231684166938066,-0.00963347614111543,1,0.249729124236346,0.285714285714286,accepted,-1.93491668587784,-2.118154174426,12,1,0.385080059492353,-0.157343961614985,0.134547565134558
80,65,0.363063421275001,-0.0308376178145409,-0.01070195709171,1,0.432989289684842,0.404761904761905,accepted,-1.93491668587784,-2.11094094246005,17,1,0.370503955732934,-0.149831083025591,0.119225862613584
80,70,0.308233121410012,-0.0864262646064162,-0.00651861848795843,1,0.348353406804998,0.380952380952381,accepted,-1.93491668587784,-2.08859807982068,16,1,0.325016613572423,-0.127230225446773,0.0441208434804582
80,75,0.220232250459958,-0.00702274218201637,-0.00400250575378136,1,0.704705067459528,0.80952380952381,accepted,-1.93491668587784,-2.02965927089342,34,1,0.202716315565412,-0.0725420949627962,0.067820303479432
85,60,0.53905855526682,-0.0366759104654193,-0.0116546521441783,1,0.215102829137592,0.239130434782609,accepted,-1.80429375396075,-2.118154174426,11,1,0.673944127569242,-0.225274722864883,0.231869854991631
85,65,0.532965000893455,-0.0553040029481053,-0.0101145507063085,1,0.523546954795577,0.326086956521739,accepted,-1.80429375396075,-2.11094094246005,15,1,0.659368023809823,-0.217761844275489,0.205840410053879
85,70,0.646689195069484,0.00763053447008133,-0.00648296340529941,1,0.410721566482008,0.260869565217391,accepted,-1.80429375396075,-2.08859807982068,12,1,0.613880681649311,-0.195160986696671,0.205428332052731
85,75,0.487712201487739,-0.033500918187201,-0.00122807647517109,1,0.53743372086668,0.695652173913043,accepted,-1.80429375396075,-2.02965927089342,32,1,0.4915803836423,-0.140472856212694,0.10704185330099
85,80,0.256490524334367,-0.00301642250269651,0.000134967222698235,1,0.514532917041802,0.782608695652174,accepted,-1.80429375396075,-1.93491668587784,36,1,0.288864068076888,-0.0679307612498977,0.0725390771200965
90,65,0.892745318356901,-0.203462963923812,-0.00853905286598966,1,0.322589538034469,0.447368421052632,accepted,-1.66788042828017,-2.11094094246005,17,1,0.967776277421379,-0.247911831492749,0.0872086385990299
90,70,0.934657528589014,-0.0980949345976114,-0.00762741518614862,1,0.292675549794045,0.421052631578947,accepted,-1.66788042828017,-2.08859807982068,16,1,0.922288935260867,-0.225310973913932,0.127815894004809
90,75,0.872481416736264,-0.178597099147737,5.22233972977126e-06,1,0.564202323415899,0.842105263157895,accepted,-1.66788042828017,-2.02965927089342,32,1,0.799988637253856,-0.170622843429954,0.0729300475204666
90,80,0.633360632346012,-0.108034619130194,-0.000577494567478576,1,0.476237144510385,0.763157894736842,accepted,-1.66788042828017,-1.93491668587784,29,1,0.597272321688445,-0.0980807484671581,0.0374358879591966
90,85,0.356315828219522,-0.0927152512595057,0.00322639651794732,1,0.654474628094712,0.868421052631579,accepted,-1.66788042828017,-1.80429375396075,33,1,0.308408253611556,-0.0301499872172604,0.0788006850826417
100,75,1.49908113491256,-0.0748537024483085,0.00259142867457207,1,0.327370383180565,0.403846153846154,accepted,-1.36297014853451,-2.02965927089342,21,1,1.48524789732715,-0.0857611757734485,0.0176162265094714
100,80,1.30484053835971,-0.0657821148633957,0.00475720714678363,1,0.324448740794201,0.384615384615385,accepted,-1.36297014853451,-1.93491668587784,20,1,1.28253158176174,-0.0132190808106522,0.0571013317998819
