offsetApplied,variant,accepted,reason,positionErrorM,errorX,errorY,yawErrorDeg,similarity,matches
0,1,1,accepted,0.927990654577708,0.924658843199722,-0.0785663966089487,-0.80125105141939,0.310809928055269,138
0,2,1,accepted,0.422760497145849,-0.418998535198625,0.0562731325626373,-1.24697968286289,0.306790251716519,141
0,3,1,accepted,0.709110796868609,0.700661255163141,0.109141778200865,-1.70987455088999,0.219430970114753,32
1,1,1,accepted,0.139881549442663,0.108989190484863,0.0876824054867029,-0.287030069539005,0.553823324433395,208
1,2,1,accepted,0.138011265480624,0.10201234970009,0.0929547734558582,-0.273605461490331,0.559911903540335,208
1,3,1,accepted,0.08801531704213,0.0328431040397845,0.0816579852253199,-0.0188270567968613,0.603253337413534,43
