frame,effectiveCount
1,0.999877685260576
2,0.999877484446889
11,0.999877708330117
101,7.39446084201602e-54
102,1.59296889364406e-58
103,9.81276062201615e-67
104,3.86058063159255e-75
105,4.08331201142917e-84
106,1.33090348995726e-84
107,6.88433880636579e-90
108,1.08786756832841e-106
109,3.89665901195371e-112
110,4.39358060070738e-129
12,0.999877707670975
111,3.18265297431758e-134
112,1.37439711704129e-139
113,4.39927761075833e-152
13,0.999877714481244
14,0.999877682943154
134,2.78937377921694e-215
138,4.55329881642022e-221
15,0.999876081528954
144,1.21298194076692e-204
145,3.88998286466002e-214
146,3.59643924957476e-196
16,0.999877337175451
18,0.999877860752893
3,0.999877717552449
22,0.999877376490146
27,0.999877601766724
28,2.99976553867397
29,0.999877430720312
30,1.99982053556422
4,0.999877333416811
31,0.999877873405376
32,1.99983293144172
33,3.99966246907339
34,1.9998382258976
35,1.99983520105137
36,1.99971702700385
37,3.99970676445986
38,3.99972224783901
39,4.99962829765576
40,4.99971205354908
5,1.99983184924081
41,5.99952476192338
42,4.99961979910099
43,4.99962897389937
44,4.99959324770418
45,5.99962398388487
46,4.99967350363401
47,4.99954178064364
48,4.99971951407724
49,4.99952734671399
50,5.99930838117101
6,0.999877597436658
51,4.99956930974874
52,4.99968786040376
53,4.99960702744558
54,5.99964077161328
55,4.99949844450285
56,4.99961815563322
57,4.99918399893662
58,4.99951539169424
59,5.99954425529722
60,5.99932772274954
7,1.99983395352585
61,5.99937113479004
62,5.9995966595576
63,7.99950708615557
64,7.9993465276599
65,5.99949189981296
66,5.99951660499191
67,6.99943500757864
68,4.99952128070576
69,5.99963478694988
70,8.99892002214916
71,9.99912895658549
72,8.9993062597342
73,6.99959965826313
74,9.99943064554172
75,9.99891033663992
76,9.9989724322864
77,10.9990734672402
78,14.9987533941523
79,12.9984569783706
80,13.9990838707952
9,0.999877865388495
81,13.9987689680947
82,15.9991082046373
83,17.9986123337924
84,15.9986402837824
85,17.998408671571
86,9.50294248978776e-11
87,18.998302439092
88,5.51574359028626e-13
89,2.56279254634994e-13
90,5.07768084985062e-18
10,1.99983384881869
91,9.64955776339601e-19
92,8.00698657998371e-20
93,1.53623788745248e-25
94,1.40912111509767e-29
95,5.48839061969302e-33
96,3.24630894019637e-30
97,1.87152465784171e-38
98,2.54924452252041e-39
99,4.591813390329e-46
100,1.90304877953523e-54
