fixedFrame,sourceType,offsetApplied,accepted,reason,positionErrorM,errorX,errorY,yawErrorDeg,predictedUncorrectedErrorM
60,1,0,1,accepted,1.11202385811111,1.10620884702075,-0.11357397492975,-0.564981288513386,1.27766616933402
60,1,1,1,accepted,0.132183258158824,0.0249943537055515,0.129798674955964,-0.560580135892551,1.27766616933402
60,2,0,1,accepted,1.13133358930243,1.13058303459547,-0.0412030601873994,-0.53511250780679,1.27766616933402
60,2,1,1,accepted,0.197950159611725,0.0160406124778092,0.197299174964428,-0.501395832540214,1.27766616933402
70,1,0,1,accepted,1.22055790170105,1.21908083674498,-0.0600292002782226,-0.297887318049766,1.21304431096404
70,1,1,1,accepted,0.162403939622888,0.0373821331304498,0.158043081872165,-0.297826169591245,1.21304431096404
70,2,0,1,accepted,1.20464889205433,1.20382490369957,-0.0445483373478055,-0.306248370233045,1.21304431096404
70,2,1,1,accepted,0.175010209606,0.022463335772045,0.173562588170171,-0.306259683132407,1.21304431096404
75,1,0,1,accepted,1.10480829621934,1.09855751489522,-0.117357393726707,-0.0574944888131242,1.08340283593994
75,1,1,1,accepted,0.0540571480699866,0.0296570407808758,0.045195521786809,-0.0574692443394353,1.08340283593994
75,2,0,1,accepted,1.08782062397274,1.08293102082098,-0.103024822659791,-0.122413942263005,1.08340283593994
75,2,1,1,accepted,0.0620226228330325,0.0165948790963739,0.0597613230347633,-0.122392717568744,1.08340283593994
80,1,0,1,accepted,0.911946804280505,0.910618939378764,-0.0491947261616588,0.278158510224991,0.873083991153863
80,1,1,1,accepted,0.0503973856977962,0.0311775538721122,0.0395961692556739,0.27815101741131,0.873083991153863
80,2,0,1,accepted,0.8858586161625,0.875515118939802,-0.134976902976632,0.410291485762649,0.873083991153863
80,2,1,1,accepted,0.0366887522411541,-0.00215565616963431,0.0366253694519401,0.165786226329282,0.873083991153863
85,1,0,1,accepted,0.633240213505842,0.631276697618887,-0.0498286969959736,0.0750879508568805,0.580000799087025
85,1,1,1,accepted,0.056299303380093,0.0487228408455849,-0.028208089992404,0.0750902170881823,0.580000799087025
85,2,0,1,accepted,0.615220168294157,0.614746298990212,-0.0241421489045024,0.0618420385974711,0.580000799087025
85,2,1,1,accepted,0.0328069104646601,0.0327131007215939,-0.00247919652611017,0.0618374688348489,0.580000799087025
90,1,0,1,accepted,0.186017356394069,0.181832188216504,0.039236618205905,-0.215475891063533,0.271305307020908
90,1,1,1,accepted,0.0868340305648573,-0.0808281437493861,0.0317326337099075,-0.215492055757017,0.271305307020908
90,2,0,1,accepted,0.245430241193491,0.245236501446925,0.00974995642900467,-0.0362908960910504,0.271305307020908
90,2,1,1,accepted,0.0245579151055047,-0.0245044806506485,0.00161914248019457,-0.0362969472414415,0.271305307020908
93,1,0,1,accepted,0.0693499435922484,0.0691499140812084,0.00526346452534199,0.014431215714176,0.0678685184667591
93,1,1,1,accepted,0.000916812678702207,0.000909058784600347,0.000118985772132874,0.0143892902741376,0.0678685184667591
93,2,0,1,accepted,0.118225782766994,0.114905056718271,0.0278237964957952,-0.077043290918805,0.0678685184667591
93,2,1,1,accepted,0.0536525922194034,0.0522254155366682,0.012292543426156,-0.0530788543072591,0.0678685184667591
95,1,0,1,accepted,0.0294309214621421,-0.0234209253685549,0.017822440713644,-0.159845661036651,0.0696305751497723
95,1,1,1,accepted,0.0581372292198893,0.0521403108141385,0.0257162479683757,-0.159847936159334,0.0696305751497723
95,2,0,1,accepted,0.0721085583399423,-0.0569977377890609,0.0441690171137452,-0.0393439000992217,0.0696305751497723
95,2,1,1,accepted,0.053447122099237,0.0137955950922333,0.0516359992325306,-0.0393528754264606,0.0696305751497723
98,1,0,1,accepted,0.251199755626599,-0.24838888051454,-0.0374737409874797,-0.202029150121655,0.283085818329278
98,1,1,1,accepted,0.0318034924786048,0.0317814995651133,0.00118254777044058,-0.142080107813893,0.283085818329278
98,2,0,1,accepted,0.248973335182029,-0.247939544264227,0.0226650396361947,0.00335845690887581,0.283085818329278
98,2,1,1,accepted,0.0729007762726775,0.0317187355831265,0.0656387461349368,0.00336441029082257,0.283085818329278
100,1,0,1,accepted,0.393021844211521,-0.385144795116503,-0.0782921249046922,-0.154873995350119,0.421105000896607
100,1,1,1,accepted,0.0229526071185963,0.0207056142389774,0.00990452989935875,-0.114764697904688,0.421105000896607
100,2,0,1,accepted,0.401589032109079,-0.401420804439113,-0.0116227567195892,-0.170630398187266,0.421105000896607
100,2,1,1,accepted,0.0119629716750746,-0.00929920410271734,0.00752578862011433,-0.0608699997977561,0.421105000896607
105,1,0,1,accepted,0.651651047052171,-0.64066569582792,-0.119149290025234,-0.591805475549553,0.715707955731992
105,1,1,1,accepted,0.0964096508230923,0.0764932105666958,0.0586822759360075,-0.591762173876888,0.715707955731992
105,2,0,1,accepted,0.637903453123769,-0.635831316758413,-0.0513746254146099,-0.583552738025757,0.715707955731992
105,2,1,1,accepted,0.150158038897685,0.0810042195953429,0.126434777863324,-0.583518929511413,0.715707955731992
110,1,0,1,accepted,0.807002783379327,-0.787029918807093,-0.178430376574397,-0.838043425943263,0.897879040987568
110,1,1,1,accepted,0.112554800119449,0.0920669577317312,0.0647476511076093,-0.744219383834436,0.897879040987568
110,2,0,1,accepted,0.737683416279789,-0.730196565738879,-0.104832237586379,-0.890324411520423,0.897879040987568
110,2,1,1,accepted,0.226123737605794,0.165655194723513,0.153916539624333,-0.89027941510459,0.897879040987568
115,1,0,1,accepted,0.65393323268942,-0.644585639063735,-0.110172713175416,-1.66507220028923,0.981227368424526
115,1,1,1,accepted,0.404852968512421,0.356435431574937,0.191988825798035,-1.66507183850415,0.981227368424526
115,2,0,0,insufficientOverlap,0.640847945013631,-0.640520171669777,-0.0204938603565097,-1.7287953752202,0.981227368424526
115,2,1,0,insufficientOverlap,0.459576162881087,0.363024558289908,0.281821609474719,-1.72879610726552,0.981227368424526
