variant,frame,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount
height1p35,961,34,0,0,10,6,0,7,7
height1p35,971,29,4,4,11,8,4,9,10
height1p35,981,25,4,4,10,5,4,5,6
height1p35,991,20,1,1,6,6,1,6,7
height1p35,1001,26,1,1,5,5,1,5,5
height1p35,1011,25,2,2,14,8,2,9,9
height1p35,1021,24,5,5,14,10,5,11,13
height1p35,1031,22,3,1,13,5,1,6,6
height1p35,1041,25,1,1,10,5,1,7,5
height1p35,1051,21,2,2,8,3,2,5,5
height1p35,1061,22,1,1,9,6,1,7,7
height1p35,1071,27,4,4,15,8,4,11,9
height1p35,1081,32,6,6,18,13,6,14,14
height1p35,1091,39,5,5,18,12,5,13,12
height1p35,1101,44,10,10,18,13,10,16,18
height1p35,1111,39,4,4,15,12,4,14,13
height1p35,1121,22,3,3,15,9,3,12,10
height1p35,1131,18,1,1,12,5,1,5,7
height1p35,1141,20,0,0,9,7,0,7,8
height1p35,1151,32,1,1,20,12,1,15,14
height1p35,1161,19,6,6,10,7,6,10,8
peak1p25,1,15,3,3,11,7,3,8,8
peak1p25,11,18,4,4,10,8,4,9,10
peak1p25,21,16,5,4,11,3,5,4,3
peak1p25,31,11,1,1,13,4,1,5,4
peak1p25,41,14,2,2,11,6,2,6,6
peak1p25,51,17,6,6,8,6,6,6,6
peak1p25,61,14,6,6,10,6,6,7,7
peak1p25,71,18,8,8,13,8,8,10,9
peak1p25,81,20,4,4,9,8,4,9,9
peak1p25,91,19,4,4,11,7,4,8,8
peak1p25,101,22,2,2,15,9,2,11,11
peak1p25,111,28,3,3,16,10,3,13,13
peak1p25,121,15,2,2,11,5,2,7,6
peak1p25,131,11,0,0,8,3,0,3,4
peak1p25,141,11,2,2,8,5,2,5,6
peak1p25,151,15,6,6,8,8,6,8,9
peak1p25,161,12,1,1,3,3,1,3,3
peak1p25,171,9,3,3,6,4,3,4,4
peak1p25,181,7,2,2,4,3,2,3,4
peak1p25,191,8,3,3,4,2,3,2,3
peak1p25,201,10,1,1,6,2,1,2,2
peak1p25,211,16,2,2,5,3,2,5,4
peak1p25,221,16,2,2,5,4,2,5,5
peak1p25,231,11,1,1,3,2,1,2,2
peak1p25,241,10,1,1,5,4,1,5,4
peak1p25,251,12,2,2,3,1,2,1,2
peak1p25,261,8,1,1,2,1,1,1,1
peak1p25,271,16,2,2,3,2,2,3,3
peak1p25,281,17,2,2,8,4,2,4,4
peak1p25,291,27,4,4,6,5,4,6,5
peak1p25,301,11,2,1,1,1,1,1,1
peak1p25,311,26,4,4,6,3,4,4,3
peak1p25,321,19,1,1,3,3,1,3,4
peak1p25,331,14,4,4,9,6,4,7,6
peak1p25,341,18,2,2,6,4,2,4,6
peak1p25,351,18,3,3,7,4,3,4,4
peak1p25,361,22,2,2,6,3,2,4,4
peak1p25,371,23,1,1,5,3,1,3,4
peak1p25,381,18,2,2,3,3,2,3,3
peak1p25,391,12,1,1,2,2,1,2,3
peak1p25,401,8,2,2,2,2,2,2,2
peak1p25,411,10,2,2,2,2,2,2,2
peak1p25,421,7,1,1,3,3,1,3,3
peak1p25,431,10,2,2,3,2,2,3,3
peak1p25,441,11,2,2,6,3,2,5,4
peak1p25,451,11,2,2,4,3,2,3,4
peak1p25,461,12,1,1,4,4,1,4,4
peak1p25,471,8,1,1,3,3,1,3,3
peak1p25,481,6,3,3,4,3,3,3,4
peak1p25,491,7,1,1,6,4,1,4,4
peak1p25,501,14,6,4,10,9,6,9,11
peak1p25,511,15,4,4,8,7,4,8,8
peak1p25,521,17,4,4,8,6,4,8,8
peak1p25,531,11,2,2,4,2,2,2,3
peak1p25,541,11,2,2,3,2,2,2,3
peak1p25,551,27,0,0,10,8,0,8,8
peak1p25,561,16,3,3,9,5,3,5,5
peak1p25,571,13,0,0,5,3,0,3,3
peak1p25,581,12,1,1,5,3,1,5,3
peak1p25,591,12,1,1,2,1,1,1,1
peak1p25,601,14,2,2,6,4,2,5,4
peak1p25,611,18,2,2,6,5,2,5,5
peak1p25,621,23,2,2,4,2,2,2,2
peak1p25,631,14,2,2,5,4,2,5,5
peak1p25,641,12,4,3,3,2,3,2,3
peak1p25,651,13,2,2,3,1,2,1,2
peak1p25,661,15,2,2,7,6,2,6,7
peak1p25,671,18,2,2,8,5,2,5,7
peak1p25,681,27,1,1,12,8,1,9,8
peak1p25,691,22,1,1,8,5,1,7,5
peak1p25,701,21,1,1,5,3,1,4,5
peak1p25,711,21,3,3,5,5,3,5,5
peak1p25,721,20,2,2,4,2,2,2,2
peak1p25,731,22,1,1,9,5,1,7,7
peak1p25,741,17,2,2,9,4,2,5,5
peak1p25,751,17,4,4,6,5,4,5,6
peak1p25,761,18,1,1,7,2,1,2,3
peak1p25,771,17,3,3,5,4,3,4,5
peak1p25,781,16,3,3,5,4,3,5,4
peak1p25,791,23,4,4,15,10,4,14,10
peak1p25,801,18,5,5,3,2,5,2,3
peak1p25,811,16,4,4,12,5,4,7,6
peak1p25,821,20,1,1,12,9,1,10,12
peak1p25,831,23,5,5,12,8,5,8,9
peak1p25,841,25,2,2,4,4,2,4,6
peak1p25,851,27,4,3,5,5,4,5,5
peak1p25,861,16,1,1,7,3,1,4,3
peak1p25,871,13,2,2,7,4,2,5,4
peak1p25,881,20,2,2,11,8,2,8,9
peak1p25,891,27,6,6,12,9,6,9,10
peak1p25,901,23,1,1,10,6,1,7,6
peak1p25,911,27,5,5,9,9,5,9,9
peak1p25,921,30,2,2,10,7,2,8,9
peak1p25,931,37,5,5,10,9,5,10,10
peak1p25,941,29,3,3,14,10,3,13,10
peak1p25,951,32,3,3,9,6,3,6,7
peak1p25,961,31,0,0,10,5,0,6,6
peak1p25,971,30,4,4,11,8,4,9,10
peak1p25,981,24,4,4,10,5,4,5,6
peak1p25,991,18,1,1,6,6,1,6,7
peak1p25,1001,24,1,1,5,5,1,5,5
peak1p25,1011,24,2,2,14,8,2,9,9
peak1p25,1021,24,5,5,14,10,5,11,13
peak1p25,1031,22,3,2,13,7,3,9,7
peak1p25,1041,24,1,1,10,5,1,7,5
peak1p25,1051,22,2,2,8,3,2,5,5
peak1p25,1061,21,1,1,9,6,1,7,7
peak1p25,1071,28,4,4,15,8,4,11,9
peak1p25,1081,32,6,5,18,13,5,15,14
peak1p25,1091,40,5,5,18,12,5,13,12
peak1p25,1101,45,10,10,18,13,10,16,18
peak1p25,1111,39,4,4,15,11,4,12,12
peak1p25,1121,21,3,3,15,9,3,12,10
peak1p25,1131,17,1,1,12,5,1,5,7
peak1p25,1141,21,0,0,9,7,0,7,8
peak1p25,1151,30,1,1,20,11,1,13,13
peak1p25,1161,22,6,6,10,7,6,10,8
rms0p101,1,15,3,3,11,7,3,8,8
rms0p101,11,18,4,4,10,8,4,9,10
rms0p101,21,15,5,3,11,3,5,4,3
rms0p101,31,11,1,1,13,4,1,5,4
rms0p101,41,13,2,2,11,6,2,6,6
rms0p101,51,17,6,6,8,6,6,6,6
rms0p101,61,14,6,6,10,6,6,7,7
rms0p101,71,16,8,8,13,7,8,9,8
rms0p101,81,19,4,4,9,7,4,9,8
rms0p101,91,19,4,4,11,7,4,8,8
rms0p101,101,22,2,2,15,9,2,11,11
rms0p101,111,26,3,3,16,10,3,13,12
rms0p101,121,15,2,2,11,5,2,7,6
rms0p101,131,11,0,0,8,3,0,3,4
rms0p101,141,11,2,2,8,5,2,5,6
rms0p101,151,14,6,6,8,7,6,8,8
rms0p101,161,11,1,1,3,3,1,3,3
rms0p101,171,9,3,3,6,4,3,4,4
rms0p101,181,6,2,2,4,3,2,3,4
rms0p101,191,8,3,3,4,2,3,2,3
rms0p101,201,10,1,1,6,2,1,2,2
rms0p101,211,15,2,2,5,3,2,5,4
rms0p101,221,17,2,2,5,4,2,5,5
rms0p101,231,10,1,1,3,2,1,2,2
rms0p101,241,10,1,1,5,4,1,5,4
rms0p101,251,12,2,2,3,1,2,1,2
rms0p101,261,8,1,1,2,1,1,1,1
rms0p101,271,16,2,2,3,2,2,3,3
rms0p101,281,17,2,2,8,4,2,4,4
rms0p101,291,26,4,4,6,5,4,6,5
rms0p101,301,10,2,1,1,1,1,1,1
rms0p101,311,23,4,4,6,2,4,2,2
rms0p101,321,18,1,1,3,3,1,3,4
rms0p101,331,15,4,4,9,6,4,7,7
rms0p101,341,18,2,2,6,4,2,4,6
rms0p101,351,16,3,3,7,4,3,4,4
rms0p101,361,21,2,2,6,3,2,4,4
rms0p101,371,21,1,1,5,3,1,3,4
rms0p101,381,18,2,2,3,3,2,3,3
rms0p101,391,12,1,1,2,2,1,2,3
rms0p101,401,8,2,2,2,2,2,2,2
rms0p101,411,9,2,2,2,2,2,2,2
rms0p101,421,7,1,1,3,3,1,3,3
rms0p101,431,10,2,2,3,2,2,3,3
rms0p101,441,11,2,2,6,3,2,5,4
rms0p101,451,11,2,2,4,3,2,3,4
rms0p101,461,12,1,1,4,4,1,4,4
rms0p101,471,8,1,1,3,3,1,3,3
rms0p101,481,6,3,3,4,3,3,3,4
rms0p101,491,7,1,1,6,4,1,4,4
rms0p101,501,13,6,4,10,8,6,9,10
rms0p101,511,14,4,4,8,7,4,8,8
rms0p101,521,17,4,4,8,6,4,8,8
rms0p101,531,11,2,2,4,2,2,2,3
rms0p101,541,11,2,2,3,2,2,2,3
rms0p101,551,26,0,0,10,8,0,8,8
rms0p101,561,14,3,3,9,5,3,5,5
rms0p101,571,13,0,0,5,3,0,3,3
rms0p101,581,12,1,1,5,3,1,5,3
rms0p101,591,12,1,1,2,1,1,1,1
rms0p101,601,14,2,2,6,4,2,5,4
rms0p101,611,17,2,2,6,5,2,5,5
rms0p101,621,22,2,2,4,2,2,2,2
rms0p101,631,14,2,2,5,4,2,5,5
rms0p101,641,9,4,3,3,2,3,2,3
rms0p101,651,12,2,2,3,1,2,1,2
rms0p101,661,14,2,2,7,6,2,6,7
rms0p101,671,17,2,2,8,5,2,5,7
rms0p101,681,27,1,1,12,8,1,9,8
rms0p101,691,21,1,1,8,5,1,7,5
rms0p101,701,21,1,1,5,3,1,4,5
rms0p101,711,21,3,3,5,5,3,5,5
rms0p101,721,20,2,2,4,2,2,2,2
rms0p101,731,22,1,1,9,5,1,7,7
rms0p101,741,17,2,2,9,4,2,5,5
rms0p101,751,16,4,4,6,5,4,5,5
rms0p101,761,18,1,1,7,2,1,2,3
rms0p101,771,17,3,3,5,4,3,4,5
rms0p101,781,15,3,3,5,3,3,4,3
rms0p101,791,22,4,4,15,9,4,12,9
rms0p101,801,17,5,5,3,2,5,2,3
rms0p101,811,16,4,4,12,5,4,7,6
rms0p101,821,19,1,1,12,8,1,9,11
rms0p101,831,26,5,5,12,10,5,10,11
rms0p101,841,25,2,2,4,4,2,4,6
rms0p101,851,25,4,3,5,5,4,5,5
rms0p101,861,16,1,1,7,3,1,4,3
rms0p101,871,13,2,2,7,4,2,5,4
rms0p101,881,20,2,2,11,8,2,8,9
rms0p101,891,25,6,6,12,9,6,9,10
rms0p101,901,23,1,1,10,6,1,7,6
rms0p101,911,26,5,5,9,7,5,8,7
rms0p101,921,29,2,2,10,7,2,8,9
rms0p101,931,36,5,5,10,9,5,10,10
rms0p101,941,29,3,3,14,10,3,13,10
rms0p101,951,31,3,3,9,6,3,6,7
rms0p101,961,31,0,0,10,5,0,6,6
rms0p101,971,30,4,4,11,8,4,9,10
rms0p101,981,24,4,4,10,5,4,5,6
rms0p101,991,18,1,1,6,6,1,6,7
rms0p101,1001,23,1,1,5,5,1,5,5
rms0p101,1011,24,2,2,14,8,2,9,9
rms0p101,1021,24,5,5,14,10,5,11,13
rms0p101,1031,19,3,1,13,4,1,6,5
rms0p101,1041,24,1,1,10,5,1,7,5
rms0p101,1051,20,2,2,8,3,2,5,5
rms0p101,1061,21,1,1,9,6,1,7,7
rms0p101,1071,27,4,4,15,8,4,11,9
rms0p101,1081,31,6,5,18,12,5,13,13
rms0p101,1091,37,5,5,18,12,5,13,12
rms0p101,1101,44,10,10,18,13,10,16,18
rms0p101,1111,35,4,4,15,10,4,11,11
rms0p101,1121,21,3,3,15,9,3,12,10
rms0p101,1131,17,1,1,12,5,1,5,7
rms0p101,1141,20,0,0,9,7,0,7,8
rms0p101,1151,30,1,1,20,11,1,13,13
rms0p101,1161,19,6,6,10,7,6,10,8
points11,1,17,3,3,11,7,3,8,8
points11,11,20,4,4,10,8,4,9,10
points11,21,15,5,3,11,3,5,4,3
points11,31,12,1,1,13,4,1,5,4
points11,41,15,2,2,11,6,2,6,6
points11,51,19,6,6,8,6,6,6,6
points11,61,16,6,6,10,6,6,7,7
points11,71,16,8,8,13,7,8,9,8
points11,81,19,4,4,9,7,4,9,8
points11,91,21,4,4,11,7,4,8,8
points11,101,22,2,2,15,9,2,11,11
points11,111,30,3,3,16,11,3,13,13
points11,121,16,2,2,11,5,2,7,6
points11,131,11,0,0,8,3,0,3,4
points11,141,11,2,2,8,5,2,5,6
points11,151,14,6,6,8,7,6,8,8
points11,161,13,1,1,3,3,1,3,3
points11,171,10,3,3,6,4,3,4,4
points11,181,7,2,2,4,3,2,3,4
points11,191,8,3,3,4,2,3,2,3
points11,201,10,1,1,6,2,1,2,2
points11,211,20,2,2,5,3,2,5,4
points11,221,19,2,2,5,4,2,5,5
points11,231,12,1,1,3,2,1,2,2
points11,241,12,1,1,5,4,1,5,4
points11,251,15,2,2,3,1,2,1,2
points11,261,14,1,1,2,2,1,2,2
points11,271,18,2,2,3,2,2,3,3
points11,281,21,2,2,8,4,2,4,4
points11,291,26,4,4,6,5,4,6,5
points11,301,11,2,1,1,1,1,1,1
points11,311,22,4,4,6,2,4,2,2
points11,321,20,1,1,3,3,1,3,4
points11,331,19,4,4,9,6,4,7,7
points11,341,18,2,2,6,4,2,4,6
points11,351,18,3,3,7,4,3,4,4
points11,361,27,2,2,6,4,2,4,5
points11,371,23,1,1,5,3,1,3,4
points11,381,19,2,2,3,3,2,3,3
points11,391,13,1,1,2,2,1,2,3
points11,401,8,2,2,2,2,2,2,2
points11,411,9,2,2,2,2,2,2,2
points11,421,9,1,1,3,3,1,3,3
points11,431,10,2,2,3,2,2,3,3
points11,441,12,2,2,6,3,2,5,4
points11,451,11,2,2,4,3,2,3,4
points11,461,12,1,1,4,4,1,4,4
points11,471,8,1,1,3,3,1,3,3
points11,481,6,3,3,4,3,3,3,4
points11,491,9,1,1,6,4,1,4,4
points11,501,13,6,4,10,8,6,9,10
points11,511,14,4,4,8,7,4,8,8
points11,521,18,4,4,8,6,4,8,8
points11,531,11,2,2,4,2,2,2,3
points11,541,13,2,2,3,2,2,2,3
points11,551,26,0,0,10,9,0,10,9
points11,561,14,3,3,9,5,3,5,5
points11,571,14,0,0,5,3,0,3,3
points11,581,12,1,1,5,3,1,5,3
points11,591,12,1,1,2,1,1,1,1
points11,601,14,2,2,6,4,2,5,4
points11,611,17,2,2,6,5,2,5,5
points11,621,22,2,2,4,2,2,2,2
points11,631,15,2,2,5,4,2,5,5
points11,641,9,4,3,3,2,3,2,3
points11,651,14,2,2,3,1,2,1,2
points11,661,16,2,2,7,6,2,6,7
points11,671,21,2,2,8,6,2,6,8
points11,681,28,1,1,12,8,1,9,9
points11,691,26,1,1,8,6,1,7,6
points11,701,23,1,1,5,3,1,4,5
points11,711,23,3,3,5,5,3,5,5
points11,721,21,2,2,4,2,2,2,2
points11,731,22,1,1,9,5,1,7,7
points11,741,17,2,2,9,4,2,5,5
points11,751,17,4,4,6,5,4,5,6
points11,761,19,1,1,7,2,1,2,3
points11,771,19,3,3,5,4,3,4,5
points11,781,15,3,3,5,3,3,4,3
points11,791,24,4,4,15,9,4,12,9
points11,801,17,5,5,3,2,5,2,3
points11,811,18,4,4,12,6,4,7,7
points11,821,21,1,1,12,8,1,9,11
points11,831,27,5,5,12,11,5,11,12
points11,841,28,2,2,4,4,2,4,6
points11,851,25,4,3,5,5,4,5,5
points11,861,18,1,1,7,3,1,4,3
points11,871,14,2,2,7,5,2,7,5
points11,881,21,2,2,11,8,2,8,9
points11,891,26,6,6,12,9,6,9,10
points11,901,26,1,1,10,6,1,7,6
points11,911,28,5,5,9,7,5,8,7
points11,921,31,2,2,10,7,2,8,9
points11,931,39,5,5,10,9,5,10,10
points11,941,31,3,3,14,10,3,13,10
points11,951,35,3,3,9,6,3,7,8
points11,961,32,0,0,10,5,0,6,6
points11,971,32,4,4,11,8,4,9,10
points11,981,25,4,4,10,5,4,5,6
points11,991,19,1,1,6,6,1,6,7
points11,1001,23,1,1,5,5,1,5,5
points11,1011,26,2,2,14,8,2,9,9
points11,1021,25,5,5,14,10,5,11,13
points11,1031,19,3,1,13,5,1,8,6
points11,1041,26,1,1,10,5,1,7,6
points11,1051,23,2,2,8,4,2,7,6
points11,1061,26,1,1,9,7,1,8,8
points11,1071,31,4,4,15,9,4,11,10
points11,1081,35,6,5,18,12,5,13,13
points11,1091,38,5,5,18,12,5,13,12
points11,1101,47,10,10,18,13,10,16,18
points11,1111,38,4,4,15,10,4,11,11
points11,1121,24,3,3,15,9,3,12,10
points11,1131,20,1,1,12,6,1,7,8
points11,1141,21,0,0,9,8,0,8,9
points11,1151,31,1,1,20,11,1,13,13
points11,1161,24,6,6,10,7,6,10,8
contrast3,1,17,3,3,11,7,3,8,8
contrast3,11,22,4,4,10,8,4,9,10
contrast3,21,23,5,5,11,6,5,7,6
contrast3,31,18,1,1,13,6,1,9,6
contrast3,41,20,2,2,11,7,2,8,8
contrast3,51,21,6,6,8,7,6,8,7
contrast3,61,16,6,6,10,6,6,7,7
contrast3,71,16,8,7,13,7,8,9,9
contrast3,81,18,4,4,9,7,4,9,8
contrast3,91,21,4,4,11,6,4,8,8
contrast3,101,27,2,2,15,9,2,11,11
contrast3,111,31,3,3,16,11,3,14,14
contrast3,121,24,2,2,11,5,2,7,6
contrast3,131,19,0,0,8,4,0,5,5
contrast3,141,14,2,2,8,5,2,5,6
contrast3,151,20,6,6,8,7,6,8,8
contrast3,161,17,1,1,3,3,1,3,3
contrast3,171,18,3,3,6,4,3,4,4
contrast3,181,15,2,2,4,3,2,3,4
contrast3,191,16,3,2,4,2,3,2,3
contrast3,201,20,1,1,6,2,1,2,2
contrast3,211,24,2,2,5,4,2,5,5
contrast3,221,23,2,1,5,5,2,5,5
contrast3,231,20,1,1,3,2,1,2,2
contrast3,241,17,1,0,5,2,1,5,4
contrast3,251,25,2,2,3,1,2,1,2
contrast3,261,24,1,1,2,2,1,2,2
contrast3,271,26,2,2,3,2,2,3,3
contrast3,281,29,2,2,8,5,2,6,5
contrast3,291,32,4,4,6,5,4,6,5
contrast3,301,18,2,1,1,1,1,1,1
contrast3,311,26,4,4,6,2,4,2,2
contrast3,321,30,1,1,3,3,1,3,4
contrast3,331,26,4,4,9,6,4,7,6
contrast3,341,27,2,2,6,4,2,4,6
contrast3,351,31,3,3,7,4,3,4,4
contrast3,361,32,2,2,6,3,2,4,4
contrast3,371,42,1,1,5,4,1,4,4
contrast3,381,29,2,2,3,3,2,3,3
contrast3,391,28,1,1,2,2,1,2,3
contrast3,401,19,2,2,2,2,2,2,2
contrast3,411,18,2,2,2,2,2,2,2
contrast3,421,11,1,1,3,3,1,3,3
contrast3,431,12,2,2,3,2,2,3,3
contrast3,441,15,2,2,6,3,2,5,4
contrast3,451,16,2,2,4,3,2,3,4
contrast3,461,18,1,1,4,4,1,4,5
contrast3,471,11,1,1,3,3,1,3,3
contrast3,481,6,3,3,4,3,3,3,4
contrast3,491,9,1,1,6,5,1,6,5
contrast3,501,14,6,4,10,8,6,9,10
contrast3,511,18,4,4,8,7,4,8,8
contrast3,521,20,4,4,8,7,4,8,8
contrast3,531,16,2,2,4,2,2,2,3
contrast3,541,15,2,2,3,2,2,2,3
contrast3,551,30,0,0,10,9,0,10,9
contrast3,561,26,3,3,9,5,3,5,5
contrast3,571,20,0,0,5,3,0,3,4
contrast3,581,15,1,1,5,3,1,5,3
contrast3,591,19,1,1,2,2,1,2,2
contrast3,601,20,2,2,6,4,2,5,4
contrast3,611,31,2,2,6,5,2,5,5
contrast3,621,26,2,2,4,2,2,2,2
contrast3,631,16,2,2,5,4,2,5,5
contrast3,641,14,4,3,3,2,3,2,3
contrast3,651,16,2,2,3,1,2,1,2
contrast3,661,20,2,2,7,6,2,6,7
contrast3,671,25,2,2,8,6,2,6,8
contrast3,681,28,1,1,12,8,1,9,8
contrast3,691,30,1,1,8,5,1,7,6
contrast3,701,37,1,1,5,3,1,4,5
contrast3,711,31,3,3,5,5,3,5,5
contrast3,721,25,2,2,4,2,2,2,2
contrast3,731,23,1,1,9,5,1,7,7
contrast3,741,20,2,2,9,4,2,5,5
contrast3,751,25,4,3,6,4,4,5,5
contrast3,761,25,1,1,7,2,1,2,3
contrast3,771,20,3,3,5,4,3,4,5
contrast3,781,19,3,3,5,3,3,4,3
contrast3,791,26,4,4,15,10,4,14,10
contrast3,801,21,5,5,3,2,5,2,3
contrast3,811,17,4,4,12,5,4,7,6
contrast3,821,30,1,1,12,11,1,12,14
contrast3,831,30,5,5,12,11,5,11,12
contrast3,841,33,2,2,4,4,2,4,6
contrast3,851,32,4,2,5,5,4,5,5
contrast3,861,23,1,1,7,4,1,6,4
contrast3,871,15,2,2,7,4,2,5,4
contrast3,881,21,2,2,11,8,2,8,9
contrast3,891,32,6,6,12,9,6,9,10
contrast3,901,31,1,1,10,8,1,8,9
contrast3,911,32,5,5,9,6,5,6,6
contrast3,921,34,2,2,10,7,2,8,9
contrast3,931,41,5,4,10,8,5,10,9
contrast3,941,34,3,2,14,10,3,13,10
contrast3,951,40,3,3,9,6,3,6,8
contrast3,961,40,0,0,10,5,0,6,6
contrast3,971,32,4,4,11,8,4,8,8
contrast3,981,29,4,4,10,5,4,5,6
contrast3,991,27,1,1,6,6,1,6,7
contrast3,1001,31,1,1,5,5,1,5,5
contrast3,1011,34,2,2,14,8,2,10,10
contrast3,1021,27,5,3,14,9,4,11,13
contrast3,1031,25,3,2,13,6,3,8,6
contrast3,1041,27,1,1,10,4,1,5,4
contrast3,1051,28,2,2,8,5,2,7,7
contrast3,1061,28,1,1,9,6,1,7,7
contrast3,1071,29,4,4,15,9,4,11,9
contrast3,1081,35,6,5,18,12,5,13,13
contrast3,1091,42,5,5,18,12,5,13,12
contrast3,1101,53,10,10,18,13,10,16,18
contrast3,1111,42,4,4,15,10,4,11,11
contrast3,1121,27,3,3,15,8,3,12,9
contrast3,1131,25,1,1,12,5,1,5,7
contrast3,1141,28,0,0,9,7,0,7,8
contrast3,1151,34,1,1,20,10,1,13,12
contrast3,1161,26,6,6,10,7,6,10,8
