variant,frame,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount
defaultIsolation0p2,261,12,1,1,2,2,1,2,2
defaultIsolation0p2,271,12,2,2,3,2,2,3,3
defaultIsolation0p2,281,18,2,2,8,7,2,8,7
defaultIsolation0p2,291,31,4,4,6,5,4,6,5
defaultIsolation0p2,301,21,2,1,1,1,1,1,1
defaultIsolation0p2,311,27,4,4,6,5,4,6,5
defaultIsolation0p2,321,30,1,1,3,3,1,3,3
defaultIsolation0p2,331,37,4,4,9,6,4,7,6
defaultIsolation0p2,341,24,2,2,6,5,2,6,6
defaultIsolation0p2,351,26,3,3,7,4,3,4,4
defaultIsolation0p2,361,21,2,2,6,4,2,5,5
defaultIsolation0p2,371,30,1,1,5,5,1,5,5
defaultIsolation0p2,381,25,2,2,3,3,2,3,3
defaultIsolation0p2,391,12,1,1,2,2,1,2,2
defaultIsolation0p2,401,7,2,2,2,2,2,2,2
defaultIsolation0p2,411,9,2,2,2,2,2,2,2
defaultIsolation0p2,421,10,1,1,3,3,1,3,3
defaultIsolation0p2,431,16,2,2,3,2,2,3,3
defaultIsolation0p2,441,13,2,2,6,4,2,6,4
defaultIsolation0p2,451,7,2,2,4,2,2,3,3
defaultIsolation0p2,461,9,1,1,4,4,1,4,4
defaultIsolation0p2,471,6,1,1,3,2,1,2,2
defaultIsolation0p2,481,7,3,3,4,3,3,3,4
defaultIsolation0p2,491,6,1,1,6,4,1,4,4
defaultIsolation0p2,501,20,6,4,10,9,6,9,11
defaultIsolation0p2,511,18,4,4,8,7,4,8,9
defaultIsolation0p2,521,23,4,4,8,7,4,7,8
defaultIsolation0p2,531,16,2,2,4,3,2,4,4
defaultIsolation0p2,541,22,2,1,3,2,2,2,2
defaultIsolation0p2,551,30,0,0,10,7,0,9,7
defaultIsolation0p2,561,28,3,3,9,6,3,6,7
defaultIsolation0p2,571,20,0,0,5,4,0,5,5
defaultIsolation0p2,581,17,1,1,5,4,1,5,4
defaultIsolation0p2,591,15,1,1,2,1,1,1,1
defaultIsolation0p2,601,22,2,2,6,5,2,6,5
defaultIsolation0p2,611,24,2,2,6,6,2,6,7
defaultIsolation0p2,621,23,2,2,4,3,2,3,3
defaultIsolation0p2,631,22,2,2,5,4,2,5,4
defaultIsolation0p2,641,12,4,3,3,1,3,2,3
defaultIsolation0p2,651,20,2,2,3,2,2,2,4
defaultIsolation0p2,661,19,2,2,7,7,2,7,7
defaultIsolation0p2,671,24,2,2,8,6,2,6,8
defaultIsolation0p2,681,30,1,1,12,8,1,10,8
defaultIsolation0p2,691,36,1,1,8,8,1,8,8
defaultIsolation0p2,701,36,1,1,5,3,1,4,6
defaultIsolation0p2,711,28,3,3,5,4,3,4,4
defaultIsolation0p2,721,23,2,2,4,3,2,3,3
defaultIsolation0p2,731,32,1,1,9,7,1,9,8
defaultIsolation0p2,741,24,2,2,9,4,2,5,6
defaultIsolation0p2,751,21,4,3,6,5,4,6,7
defaultIsolation0p2,761,27,1,1,7,4,1,5,4
defaultIsolation0p2,771,22,3,2,5,4,3,4,5
defaultIsolation0p2,781,28,3,3,5,5,3,5,5
defaultIsolation0p2,791,23,4,4,15,11,4,14,11
defaultIsolation0p2,801,26,5,5,3,3,5,3,4
defaultIsolation0p2,811,32,4,4,12,7,4,9,8
defaultIsolation0p2,821,30,1,1,12,11,1,12,14
defaultIsolation0p2,831,34,5,5,12,11,5,12,13
defaultIsolation0p2,841,31,2,2,4,4,2,4,4
defaultIsolation0p2,851,25,4,2,5,5,4,5,5
defaultIsolation0p2,861,24,1,1,7,3,1,4,3
defaultIsolation0p2,871,20,2,2,7,6,2,7,6
defaultIsolation0p2,881,19,2,2,11,8,2,10,8
defaultIsolation0p2,891,34,6,5,12,11,6,11,11
defaultIsolation0p2,901,18,1,1,10,8,1,8,10
defaultIsolation0p2,911,37,5,5,9,8,5,8,9
defaultIsolation0p2,921,36,2,2,10,8,2,9,9
defaultIsolation0p2,931,32,5,4,10,6,5,9,8
defaultIsolation0p2,941,33,3,3,14,11,3,13,11
defaultIsolation0p2,951,29,3,3,9,8,3,8,8
defaultIsolation0p2,961,30,0,0,10,5,0,6,5
defaultIsolation0p2,971,26,4,4,11,7,4,8,7
defaultIsolation0p2,981,30,4,4,10,7,4,10,9
defaultIsolation0p2,991,21,1,1,6,6,1,6,7
defaultIsolation0p2,1001,26,1,1,5,4,1,4,4
defaultIsolation0p2,1011,30,2,2,14,9,2,12,12
defaultIsolation0p2,1021,29,5,5,14,12,5,13,14
defaultIsolation0p2,1031,34,3,2,13,8,3,11,8
defaultIsolation0p2,1041,28,1,1,10,7,1,8,9
defaultIsolation0p2,1051,30,2,2,8,6,2,7,6
defaultIsolation0p2,1061,26,1,1,9,7,1,8,8
defaultIsolation0p2,1071,31,4,4,15,9,4,11,9
defaultIsolation0p2,1081,39,6,6,18,15,6,16,17
defaultIsolation0p2,1091,43,5,5,18,13,5,15,13
defaultIsolation0p2,1101,44,10,10,18,13,10,15,17
defaultIsolation0p2,1111,49,4,4,15,12,4,14,12
defaultIsolation0p2,1121,37,3,3,15,10,3,14,11
defaultIsolation0p2,1131,31,1,1,12,5,1,7,7
defaultIsolation0p2,1141,30,0,0,9,5,0,5,5
defaultIsolation0p2,1151,44,1,1,20,15,1,17,16
defaultIsolation0p2,1161,29,6,5,10,6,6,10,9
defaultNoIsolation,1,28,3,3,11,10,3,11,11
