pillarIndices,stage,ownPoints,ownSpan,maximumCylinderPoints,maximumQualifiedPoints,maximumRunPoints,maximumRunOwnPoints,longestRunHeight,longestRunRobustHeight,longestRunOwnHeight,longestRunPoints,longestRunOwnPoints,longestRunRadialRms,maximumPeakContrast,minimumSeedTiltDegrees,minimumRadialRms,frame,baseline,fine,previous,subsetFound,subsetAccepted,defaultCore,range,wholeTilt,wholeRadialStd,coreFraction,coreHeight,coreIsolation,coreCount,failCount,failHeight,failHeightStd,failTilt,failRadial,failCoreFraction,failCoreHeight,failIsolation,failCoreCount,defaultFootprintDrop,subsetFootprintDrop,nearestAcceptedCellMeters,fineOriginalOwnCount,fineOffGroundOwnCount,fineGroundRemovedCount,fineOutsideFilterCount,fineOriginalOwnHeight,fineOffGroundOwnHeight,fineAxisNearestAccepted,fineAxisOverlapHeight,densityCoreEvaluated,failEligibility,failLine
8736,10,25,5.88795530796051,33,28,28,10,4.01968383789062,3.81896995306015,3.7970724105835,19,9,0.106080126111351,1.78571428571429,0.408942126995319,0.0766899649990511,1,1,0,0,1,1,0,23.9750348816977,1.0329013847677,0.176973813973228,0.76,5.52549195289612,0.295774647887324,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
8737,10,41,5.32240760326385,33,29,29,22,4.34809863567352,3.94865484833717,3.24019873142242,27,20,0.0912963273873197,2,0.905926715292756,0.0734454724964565,1,1,0,0,1,1,0,23.8663936996695,3.20625145345671,0.219993570742661,0.51219512195122,3.68549859523773,0.307692307692308,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
9153,10,29,5.85144460201263,23,22,22,22,2.4807665348053,2.32746838331223,2.4807665348053,17,17,0.0772533979444981,1.77777777777778,1.59202731542622,0.0625283019621664,1,1,0,1,1,1,1,24.9879236654516,1.9090757846564,0.158491142318944,0.586206896551724,2.2774099111557,0.377777777777778,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
1292,10,23,2.14303064346313,13,13,13,13,2.12316560745239,2.07944102287292,2.12316560745239,13,13,0.0994533212302017,1.3,1.27115826955397,0.0994533212302017,11,1,0,0,1,1,0,33.4618627057739,2.30173214839462,0.200665086104703,0.347826086956522,2.12316560745239,0.195652173913043,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
1594,10,28,4.32017278671265,18,16,16,16,2.73739695549011,2.64195158481598,2.73739695549011,16,16,0.0972247335339837,1.71428571428571,0.548340642962135,0.0900564615259589,11,1,0,0,1,1,0,33.3711498570001,3.06909472600965,0.144829202993347,0.5,4.2905740737915,0.304347826086957,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
3288,3,16,3.05360293388367,9,0,0,0,0,0,0,0,0,0,0,0.482539051718061,Inf,11,1,0,0,0,0,0,24.8995515537147,1.83044125909449,0.185398647397209,0.375,3.01759433746338,0.193548387096774,6,0,0,0,0,0,0,0,1,1,0,0,3.49857113690718,0,0,0,0,0,0,NaN,NaN,1,0,0
3746,10,27,3.42559862136841,182,182,182,26,3.7737832069397,3.38938504457474,3.42559862136841,180,24,0.0705095492937248,2.015625,0.187055220051745,0.0533564907389192,11,0,1,1,1,1,1,7.6497047445537,1.40902311366391,0.0676781213992109,0.962962962962963,3.42559862136841,0.829015544041451,160,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,3.25616192817688,3.25616192817688,0.0144994131611733,3.01439070701599,1,0,0
3846,10,159,3.60094046592712,184,184,184,158,3.7737832069397,3.41104687452316,3.60094046592712,184,158,0.0718778340204928,2.06451612903226,0.137833381075894,0.0378227726584128,11,1,1,1,1,1,1,7.57703528838973,0.200596238318451,0.0641775415870781,0.993710691823899,3.60094046592712,0.948186528497409,183,0,0,0,0,0,0,0,0,0,0,0,0,158,158,0,0,3.60094046592712,3.60094046592712,0.0144994131611733,3.01439070701599,1,0,0
3868,10,60,2.65898895263672,40,38,38,38,1.63137829303741,1.56875860691071,1.49862420558929,34,25,0.0806440616578541,1.5,0.86884272485018,0.0693764175633938,11,1,0,1,1,1,1,12.524912339464,3.86122438002134,0.16091573069565,0.616666666666667,2.65898895263672,0.378640776699029,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
5789,10,47,7.68559002876282,46,37,33,25,3.73239493370056,3.43833156377077,1.31819581985474,23,6,0.0699097334403623,1.63636363636364,0.279765644029447,0.0685797540494497,11,0,1,0,1,1,0,23.7295477806996,0.558951387688269,0.190198181824835,0.574468085106383,7.18373340368271,0.233333333333333,28,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,3.28005123138428,3.28005123138428,0.0243995102642086,3.08999752998352,1,0,0
5889,10,40,6.35647797584534,52,40,38,17,4.61278128623962,4.10226300358772,2.82363438606262,38,17,0.0864923349963012,1.45454545454545,0.344969602847013,0.068027481171033,11,0,1,0,1,1,0,23.8721951562734,3.55019968653116,0.181398850579899,0.575,6.35647797584534,0.260869565217391,30,0,0,0,0,0,0,0,1,0,0,0,0,17,17,0,0,3.3064968585968,3.3064968585968,0.0243995102642086,3.08999752998352,1,0,0
6866,10,21,3.31056976318359,23,23,23,17,3.31056976318359,3.04462187290192,3.31056976318359,23,17,0.0849365886065664,1.875,0.699390988302359,0.0643408928075592,11,1,0,1,1,1,1,14.5658053590178,3.20453292713464,0.189387390010118,0.761904761904762,3.31056976318359,0.44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
6867,4,9,0.665303885936737,13,1,0,0,0,0,0,0,0,0,0,8.21670227619229,Inf,11,1,0,0,0,0,0,14.7550042532926,5.77094291270452,0.087176855611871,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0.6,0,0,0,0,0,0,NaN,NaN,0,0,0
7873,10,44,3.77168524265289,29,26,26,26,3.19587182998657,2.87090282440186,3.19587182998657,26,26,0.104062938402459,1.5,0.26929601050381,0.068229019456782,11,1,0,1,1,1,1,21.8892456638878,1.11671477015959,0.152556666354953,0.590909090909091,3.74891245365143,0.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
8736,10,28,5.86725056171417,32,22,20,11,3.1888382434845,3.04865655899048,2.07271456718445,14,9,0.0958470917199322,1.625,0.439669518796953,0.0789396739767041,11,1,0,0,1,1,0,23.9896840429137,1.4319950815191,0.173457830655668,0.75,5.78359639644623,0.319444444444444,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
8737,10,37,5.76574790477753,29,23,23,20,3.04897773265839,3.04497315883637,3.04897773265839,22,20,0.090938017010265,1.91666666666667,1.04665442396581,0.0720338508384351,11,1,0,0,1,1,0,23.8571206547401,2.71621600240702,0.192378448969069,0.594594594594595,5.74893581867218,0.337837837837838,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
1192,3,15,4.96686220169067,11,0,0,0,0,0,0,0,0,0,0,3.12045638409323,Inf,21,1,0,0,0,0,0,33.76938076414,4.52700092523962,0.110538904442101,0.533333333333333,2.13975882530212,0.204545454545455,9,0,0,0,0,0,0,0,1,1,0,0,1.89736659610103,0,0,0,0,0,0,NaN,NaN,1,0,0
1292,3,16,2.12800478935242,8,0,0,0,0,0,0,0,0,0,0,1.85924456121802,Inf,21,1,0,0,0,0,0,33.5879847196027,2.1427488984265,0.153198216091977,0.5625,2.12800478935242,0.290322580645161,9,0,0,0,0,0,0,0,1,1,0,0,2.4738633753706,0,0,0,0,0,0,NaN,NaN,1,0,0
1494,5,19,4.34550023078918,12,12,10,0,0,0,0,0,0,0,0,1.12932938912419,Inf,21,1,0,0,0,0,0,33.5940424474496,3.89318218915008,0.154968551432278,0.526315789473684,2.76009678840637,0.285714285714286,12,0,0,0,0,0,0,0,1,0,0,0,2.68328157299975,0,0,0,0,0,0,NaN,NaN,1,0,0
1594,8,15,3.99284172058105,17,12,12,6,1.8648453950882,1.86212025880814,1.85008561611176,12,6,0.104548343846332,0,1.26455801284572,0.104548343846332,21,1,0,0,0,0,0,33.566934196123,1.65817024536698,0.094738726298498,0.8,3.99284172058105,0.272727272727273,12,0,0,0,0,0,0,0,1,0,0,0,2.16333076527839,0,0,0,0,0,0,NaN,NaN,1,0,0
1896,10,18,2.70141732692719,15,14,14,14,2.70141732692719,2.59227015972137,2.70141732692719,14,14,0.0872977348597803,1.55555555555556,1.29976528696879,0.085506189522529,21,1,0,1,1,1,1,33.0922219463664,2.71370176456532,0.144781589758506,0.666666666666667,2.70141732692719,0.382352941176471,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
3746,10,164,3.74126648902893,159,159,159,158,3.73877096176147,3.41159151792526,3.73877096176147,156,156,0.0740943272460037,1.89285714285714,0.0833569543182993,0.0362110342554901,21,1,1,1,1,1,1,7.94179774384546,0.85478052095913,0.0792513492136254,0.957317073170732,3.73877096176147,0.908045977011494,158,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,3.24235677719116,3.24235677719116,0.00901431626176132,2.85133922100067,1,0,0
3868,9,77,3.29578268527985,43,39,33,25,1.64778280258179,1.63819591701031,1.64199030399323,25,18,0.0919559232099854,1.13793103448276,0.717415596524763,0.0913697846172208,21,1,0,0,0,0,0,12.6991910226497,3.93031494017357,0.164257232049318,0.38961038961039,1.62272530794144,0.303030303030303,30,0,0,0,0,0,0,0,1,0,0,0,13.2136293273271,0,0,0,0,0,0,NaN,NaN,1,0,0
5944,7,161,1.69214674830437,141,85,85,63,1.05866101384163,1.00801426172256,1.01522412896156,85,63,0.0965083999431914,0,1.25671585169547,Inf,21,1,0,1,0,0,1,6.92104004271626,8.38468831997453,0.157261431873389,0.695652173913043,1.67551013827324,0.369281045751634,113,0,0,0,0,0,0,0,0,0,0,0,13.2544332206247,0,0,0,0,0,0,NaN,NaN,1,0,0
5945,7,144,1.6403656899929,139,71,71,36,0.880791395902634,0.870748104155064,0.879729151725769,71,36,0.0933501521611093,0,1.55973904462302,Inf,21,1,0,1,0,0,1,6.82206525215841,7.96163750103731,0.140370607884477,0.666666666666667,1.6403656899929,0.378205128205128,118,0,0,0,0,0,0,0,0,0,0,0,13.2136293273271,0,0,0,0,0,0,NaN,NaN,1,0,0
6586,9,20,3.83756041526794,40,29,28,6,3.13668537139893,3.04204440116882,1.83023452758789,14,6,0.0384723202289318,1.27272727272727,2.93510160131239,0.0384723202289318,21,0,1,0,0,0,0,23.4995331247589,3.31559124802021,0.207628297991791,0.4,2.06437253952026,0.111111111111111,10,0,0,0,0,0,0,0,1,1,0,0,0.6,8,8,0,0,1.34447193145752,1.34447193145752,0.148335076772584,0,1,0,0
6587,10,56,6.35332822799683,53,53,53,41,7.0291690826416,6.58318421542644,6.35332822799683,44,36,0.0793155347873573,1.69230769230769,0.647470710943515,0.0316209758645254,21,0,1,0,1,1,0,23.8224247257378,2.58252477296479,0.173727188186927,0.553571428571429,4.78653621673584,0.329787234042553,31,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,1.13538265228271,1.13538265228271,0.148335076772584,0,1,0,0
7773,5,18,3.5140997171402,21,15,11,0,0,0,0,0,0,0,0,3.19610821397821,Inf,21,1,1,0,0,0,0,21.5983363375796,0.814789325816922,0.140457608283386,0.555555555555556,2.17012304067612,0.313725490196078,16,0,0,0,0,0,0,0,1,0,0,0,0.6,6,4,2,0,1.57510805130005,1.37625062465668,0.129314103711875,0.580240726470947,1,0,0
7873,10,32,3.33962464332581,26,24,24,23,2.57409179210663,2.56140298843384,2.57409179210663,23,20,0.0887957747797121,1.45454545454545,0.189142187339013,0.0699009382201423,21,1,1,1,1,1,1,21.6965371363427,1.87631312952428,0.130381845840683,0.625,2.18695437908173,0.480769230769231,25,0,0,0,0,0,0,0,0,0,0,0,0,18,17,1,0,1.77952253818512,1.58027815818787,0.129314103711875,0.580240726470947,1,0,0
3546,10,124,3.16536092758179,119,119,119,119,3.16536092758179,2.7859502017498,3.16536092758179,116,116,0.069271241936306,1.98333333333333,0.0286985229579343,0.0352041343978216,31,1,1,1,1,1,1,9.0351630570669,0.42326344505218,0.0786814825674838,0.943548387096774,3.16536092758179,0.928571428571429,117,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,0,3.16536092758179,3.16536092758179,0.0165033684697613,2.30529999732971,1,0,0
3668,10,52,3.15529024600983,38,38,38,34,1.59653550386429,1.58887944221497,0.73550945520401,22,7,0.0797036446651079,1.58333333333333,1.56518194080856,0.0797036446651079,31,1,0,1,1,1,1,13.2441855678359,6.68699907813417,0.15108223982151,0.596153846153846,3.15370571613312,0.351648351648352,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
3669,9,21,1.59653550386429,33,30,27,18,1.59653550386429,1.58568941652775,1.59653550386429,27,18,0.0872721702093695,0.967741935483871,3.38867592872116,0.0836264479040149,31,1,0,0,0,0,0,13.509239257837,4.25290469120878,0.0767245377380854,1,1.59653550386429,0.3125,25,0,0,0,0,0,0,0,1,0,0,0,0.6,0,0,0,0,0,0,NaN,NaN,1,0,0
4003,5,13,4.23029996454716,14,12,7,0,0,0,0,0,0,0,0,1.8360995557809,Inf,31,1,0,0,0,0,0,28.8779061830107,1.17671279621737,0.163077210471082,0.692307692307692,2.36824537813663,0.256410256410256,10,0,0,0,0,0,0,0,1,1,0,0,25.973832986296,0,0,0,0,0,0,NaN,NaN,1,0,0
4103,4,24,2.64259859919548,16,10,0,0,0,0,0,0,0,0,0,1.4165394795924,Inf,31,1,0,1,0,0,1,28.8101963102277,2.50974902808717,0.159657750094618,0.541666666666667,2.37527585029602,0.365853658536585,15,0,0,0,0,0,0,0,0,0,0,0,26.0499520153109,0,0,0,0,0,0,NaN,NaN,1,0,0
5744,7,264,2.87123763561249,187,111,111,98,1.45608103275299,0.907057136297226,0.926402688026428,110,89,0.0935050747258135,0,1.38657349693937,Inf,31,1,0,1,0,0,1,5.99077238473457,8.38794015228677,0.184659547668496,0.621212121212121,1.57468974590302,0.421994884910486,165,0,0,0,0,0,0,0,0,0,0,0,13.2544332206247,0,0,0,0,0,0,NaN,NaN,1,0,0
5745,7,106,1.52315276861191,182,108,108,28,0.926402688026428,0.90878958106041,0.910449385643005,108,28,0.0954897118345871,0,1.36195195209811,Inf,31,1,0,1,0,0,1,5.87189384362173,4.89241985448197,0.0972458808900651,0.839622641509434,1.52315276861191,0.365591397849462,136,0,0,0,0,0,0,0,0,0,0,0,13.2136293273271,0,0,0,0,0,0,NaN,NaN,1,0,0
6566,10,29,2.20392608642578,21,21,21,17,2.22758424282074,2.08682942688465,2.09672290086746,21,17,0.0913324007081628,1.4,1.24625114591851,0.0913324007081628,31,1,0,1,1,1,1,13.4493504146075,1.06267910229139,0.159631056550715,0.482758620689655,2.09672290086746,0.355555555555556,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
7672,10,35,3.57666492462158,30,24,24,23,2.45497858524323,2.34099770784378,2.44382274150848,21,20,0.0703945909981048,1.63636363636364,0.866507426085366,0.0650768413659707,31,1,0,1,1,1,1,20.7720681648543,1.56311810157396,0.128475589766195,0.657142857142857,3.3909056186676,0.482142857142857,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
9742,3,10,2.91873025894165,8,0,0,0,0,0,0,0,0,0,0,2.53693634831968,Inf,31,1,0,0,0,0,0,29.0955523508753,6.44293273698785,0.174190595073503,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,7.68374908491942,0,0,0,0,0,0,NaN,NaN,0,0,0
9743,3,20,3.452232837677,9,0,0,0,0,0,0,0,0,0,0,0.482144975098142,Inf,31,1,0,0,0,0,0,29.0839135726632,4.06311993434112,0.181676790416752,0.45,2.90890216827393,0.225,9,0,0,0,0,0,0,0,1,1,0,0,7.22495674727538,0,0,0,0,0,0,NaN,NaN,1,0,0
9845,4,10,2.89717781543732,13,6,0,0,0,0,0,0,0,0,0,0.848210323561891,Inf,31,1,0,0,0,0,0,29.1628037768896,3.97814567010027,0.0895695812782369,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,6.84105255059483,0,0,0,0,0,0,NaN,NaN,0,0,0
9846,8,15,2.66074872016907,17,16,16,12,2.36299693584442,2.36151177883148,2.36299693584442,16,12,0.103308545671259,0,0.51150633102229,0.103308545671259,31,1,0,0,0,0,0,29.2766685682703,2.28128456833762,0.155330187520474,0.733333333333333,2.36299693584442,0.333333333333333,11,0,0,0,0,0,0,0,1,1,0,0,6.48999229583518,0,0,0,0,0,0,NaN,NaN,1,0,0
593,10,27,5.02278542518616,17,15,15,15,3.65932106971741,3.49014127254486,3.65932106971741,15,15,0.102632530156214,1.5,0.927683180898409,0.0993136025565046,41,1,0,0,1,1,0,36.8217128239112,2.4287957110896,0.15617035272319,0.481481481481481,4.67266774177551,0.291666666666667,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
893,3,21,2.25208210945129,11,0,0,0,0,0,0,0,0,0,0,1.52893455599673,Inf,41,1,0,0,0,0,0,35.5586819487498,1.06156657712986,0.19532200199465,0.285714285714286,1.94122862815857,0.24,6,0,0,0,0,0,1,0,1,1,0,0,1.8,0,0,0,0,0,0,NaN,NaN,1,0,0
3246,10,96,3.35526371002197,89,89,89,89,3.35526371002197,2.93412052989006,3.35526371002197,87,87,0.0659122068317184,2.05555555555556,0.189112543433038,0.0379608879024351,41,1,1,1,1,1,1,10.7371626169495,0.963136254574153,0.0863727858905532,0.90625,3.35526371002197,0.90625,87,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,2.57688325643539,2.57688325643539,0.0194231696451491,2.24872487783432,1,0,0
3468,7,43,3.44451057910919,37,22,22,16,1.18184596300125,1.10164487361908,1.17874324321747,22,16,0.0932838194139039,0,0.334558965866481,Inf,41,1,0,1,0,0,1,14.2302031323724,5.30276102528711,0.189139038099417,0.511627906976744,3.28445708751678,0.385542168674699,32,0,0,0,0,0,0,0,0,0,0,0,13.2544332206247,0,0,0,0,0,0,NaN,NaN,1,0,0
3469,7,24,1.5493072271347,35,28,17,11,0.664435803890228,0.660779052972794,0.664435803890228,17,11,0.100852886983045,0,1.68054137002143,Inf,41,1,0,0,0,0,0,14.4669586856476,1.27640286187261,0.116672959152863,0.833333333333333,1.44538915157318,0.30379746835443,24,0,0,0,0,0,0,1,1,0,0,0,13.8520756567382,0,0,0,0,0,0,NaN,NaN,1,0,0
3703,4,27,5.69860847294331,14,11,0,0,0,0,0,0,0,0,0,0.286461583206737,Inf,41,1,0,0,0,0,0,29.2822776977331,1.69924744940561,0.176418890049531,0.407407407407407,1.88561876118183,0.289473684210526,11,0,0,0,0,0,0,0,1,1,0,0,25.973832986296,0,0,0,0,0,0,NaN,NaN,1,0,0
6366,10,39,2.79177045822144,26,20,20,20,2.79177045822144,2.57497876882553,2.79177045822144,20,20,0.0658418959428845,1.75,0.400469157496542,0.0327775436360022,41,1,1,1,1,1,1,12.3228460751502,0.445031099480419,0.164992461791776,0.692307692307692,2.79177045822144,0.490909090909091,27,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,1.57338699698448,1.57338699698448,0.0181631352516355,1.57338699698448,1,0,0
8135,10,55,4.86796820163727,47,40,40,29,3.2440619468689,3.13676804304123,3.2440619468689,40,29,0.0885733055654467,1.9,0.474533138612649,0.0612274460485833,41,1,0,1,1,1,1,20.981966658743,1.59317764039788,0.163748270908571,0.709090909090909,4.85332250595093,0.355555555555556,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
8136,10,58,5.06824469566345,45,38,38,27,3.44426918029785,3.27964863777161,3.44426918029785,38,27,0.0677256037219904,1.58823529411765,0.709171410853216,0.0655382820207667,41,1,0,0,1,1,0,20.8709455508662,4.60868373666806,0.180277413636397,0.482758620689655,3.62731790542603,0.261538461538462,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
9442,7,25,3.47297692298889,17,12,12,12,1.22717785835266,1.22673292160034,1.22717785835266,12,12,0.0937687977935846,0,0.210277820263158,Inf,41,1,0,0,0,0,0,27.398306087217,0.960522040938664,0.161687059759405,0.52,3.2224497795105,0.282608695652174,13,0,0,0,0,0,0,0,1,0,0,0,1.34164078649987,0,0,0,0,0,0,NaN,NaN,1,0,0
9545,10,24,2.74776101112366,18,18,18,18,2.74152898788452,2.54443335533142,2.74152898788452,18,18,0.100486907552612,1.41666666666667,0.332539578918342,0.0619710626390988,41,1,0,0,1,1,0,27.5329500479388,3.66078973447061,0.144245138260712,0.458333333333333,2.22517776489258,0.289473684210526,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,1,0,0
2946,10,72,3.58468067646027,68,68,68,68,3.58468067646027,3.14108523726463,3.58468067646027,67,67,0.0717446783833908,1.94285714285714,0.390051197151005,0.0395454176569349,51,1,1,1,1,1,1,12.6308595363374,1.02451466609686,0.0834785182916596,0.916666666666667,3.58468067646027,0.891891891891892,66,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,3.45910108089447,3.45910108089447,0.0137061896031927,2.17730659246445,1,0,0
3068,7,42,1.5761946439743,31,17,17,17,0.857806921005249,0.853969299793243,0.857806921005249,17,17,0.0945901448710905,0,1.21577424242464,Inf,51,1,0,0,0,0,0,15.6527014944931,4.50007208349935,0.163863015723503,0.428571428571429,1.56724834442139,0.272727272727273,18,0,0,0,0,0,0,0,1,0,0,0,13.2136293273271,0,0,0,0,0,0,NaN,NaN,1,0,0
3069,9,21,1.58517241477966,30,28,28,20,1.58517241477966,1.57360726594925,1.58517241477966,28,20,0.0886523630795245,1.12,2.28875979771063,0.0886523630795245,51,1,0,1,0,0,1,15.8462482760428,6.5264849047911,0.0784542577543356,0.952380952380952,1.58517241477966,0.370967741935484,23,0,0,0,0,0,0,0,0,0,0,0,13.8130373198656,0,0,0,0,0,0,NaN,NaN,1,0,0
5886,10,48,5.59612154960632,58,58,58,38,6.80517303943634,6.22041475474834,5.59612154960632,54,37,0.0775621538780097,1.9,2.70345940684813,0.0589202657166103,51,0,1,0,1,1,0,22.060822667694,4.79330740461396,0.158920272940463,0.583333333333333,3.52014946937561,0.288659793814433,28,0,0,0,0,0,0,0,1,0,0,0,0,23,23,0,0,3.45859885215759,3.45859885215759,0.0282667587567115,3.63995444774628,1,0,0
