variant,frames,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount,fineRecallExact,fineRecallTolerant,coarsePrecisionExact,coarseRecallExact,coarsePrecisionTolerant,coarseRecallTolerant
default,117,869,306,260,924,569,280,658,609,0.8496732026143791,0.9150326797385621,0.6547756041426928,0.6158008658008658,0.7008055235903338,0.7121212121212122
defaultIsolation0p2,117,2778,306,289,924,696,304,802,777,0.9444444444444444,0.9934640522875817,0.2505399568034557,0.7532467532467533,0.2796976241900648,0.8679653679653679
defaultNoIsolation,117,5415,306,289,924,687,304,795,778,0.9444444444444444,0.9934640522875817,0.12686980609418283,0.7435064935064936,0.14367497691597414,0.8603896103896104
subset,117,2104,306,296,924,591,301,679,685,0.9673202614379085,0.9836601307189542,0.280893536121673,0.6396103896103896,0.3255703422053232,0.7348484848484849
height1p35,117,2302,306,299,924,606,304,697,700,0.9771241830065359,0.9934640522875817,0.263249348392702,0.6558441558441559,0.3040834057341442,0.7543290043290043
peak1p25,117,2172,306,298,924,604,303,691,698,0.9738562091503268,0.9901960784313726,0.27808471454880296,0.6536796536796536,0.32136279926335176,0.7478354978354979
rms0p101,117,2106,306,296,924,591,301,679,685,0.9673202614379085,0.9836601307189542,0.28062678062678065,0.6396103896103896,0.32526115859449195,0.7348484848484849
points11,117,2282,306,296,924,606,301,695,704,0.9673202614379085,0.9836601307189542,0.26555652936021035,0.6558441558441559,0.30850131463628394,0.7521645021645021
contrast3,117,2862,306,289,924,613,302,712,713,0.9444444444444444,0.9869281045751634,0.21418588399720476,0.6634199134199135,0.24912648497554157,0.7705627705627706
