frame,pillar,variant,found,score,ownCount,supportCount,height,ownHeight,robustHeight,radialRms,peakContrast
851,4166,rms0p101,1,0.48969013702461,7,26,2.33644425868988,1.68334484100342,2.26484887599945,0.0573521912877275,1.52941176470588
851,4166,points11,1,0.486526635189911,7,26,2.33644425868988,1.68334484100342,2.26484887599945,0.0573521912877275,1.52941176470588
851,4166,contrast3,1,0.486526635189911,7,26,2.33644425868988,1.68334484100342,2.26484887599945,0.0573521912877275,1.52941176470588
1031,4717,base,0,0,0,0,0,0,0,0,0
1031,4718,base,0,0,0,0,0,0,0,0,0
1031,4717,search48x12,0,0,0,0,0,0,0,0,0
1031,4718,search48x12,0,0,0,0,0,0,0,0,0
1031,4717,fit0p08,0,0,0,0,0,0,0,0,0
1031,4718,fit0p08,0,0,0,0,0,0,0,0,0
1031,4717,fit0p10,0,0,0,0,0,0,0,0,0
1031,4718,fit0p10,0,0,0,0,0,0,0,0,0
1031,4717,fit0p20,0,0,0,0,0,0,0,0,0
1031,4718,fit0p20,1,0.284465258926001,17,21,2.13550233840942,1.95460176467896,1.93818151950836,0.0904580623283727,1.61538461538462
1031,4717,height1p35,0,0,0,0,0,0,0,0,0
1031,4718,height1p35,0,0,0,0,0,0,0,0,0
1031,4717,peak1p25,0,0,0,0,0,0,0,0,0
1031,4718,peak1p25,1,0.0971592588855342,13,13,1.62139177322388,1.62139177322388,1.59275436401367,0.0895129013164149,1.25
1031,4717,rms0p101,0,0,0,0,0,0,0,0,0
1031,4718,rms0p101,0,0,0,0,0,0,0,0,0
1031,4717,points11,0,0,0,0,0,0,0,0,0
1031,4718,points11,0,0,0,0,0,0,0,0,0
1031,4717,contrast3,0,0,0,0,0,0,0,0,0
1031,4718,contrast3,1,0.224988959045445,17,19,2.13550233840942,1.9670684337616,1.97966803312302,0.0879734383159427,1.42857142857143
1081,7532,base,0,0,0,0,0,0,0,0,0
1081,7532,search48x12,0,0,0,0,0,0,0,0,0
1081,7532,fit0p08,0,0,0,0,0,0,0,0,0
1081,7532,fit0p10,0,0,0,0,0,0,0,0,0
1081,7532,fit0p20,0,0,0,0,0,0,0,0,0
1081,7532,height1p35,1,0.160579875665715,14,14,1.3843332529068,1.3843332529068,1.34868922233582,0.0815959265399391,1.75
1081,7532,peak1p25,0,0,0,0,0,0,0,0,0
1081,7532,rms0p101,0,0,0,0,0,0,0,0,0
1081,7532,points11,0,0,0,0,0,0,0,0,0
1081,7532,contrast3,0,0,0,0,0,0,0,0,0
