effectiveXYWeight,maximumVRatePerSecond,sufficientOnFraction
0,12.2363424136064,NaN
1,6.42107528746139,NaN
2,2.46432503845354,NaN
4,-0.165032938711385,0.986692390158321
8,-0.981152647400424,0.925768754643345
16,-1.28288919395202,0.905106497380872
32,-1.41161463738819,0.896569684214483
64,-1.47108490585685,0.892679883562475
128,-1.49967502470565,0.8908218642479
