step,jacobianFrobeniusError,spectralAbscissaPerSecond
0.0001,2.17412464454739e-10,0.0305700329578356
1e-05,5.76746659116617e-11,0.0305700329524466
1e-06,1.09424527612045e-09,0.0305700329333743
