OriginalIndex,X,Y,Z,LatestBatch,InitialApprovedPreviewCurb,BoundarySeed,FinalCurb,NearestFinalCurbXYMeters
26033,8.64211559295654,6.08453369140625,-2.28994154930115,1,0,0,1,0
26161,8.829421043396,6.0543909072876,-2.3299674987793,1,1,0,0,0.0964145990478639
26354,8.45594787597656,6.03362655639648,-2.34421062469482,1,0,0,0,0.0524569237841847
27817,13.1788425445557,6.14158630371094,-2.2468478679657,1,0,0,0,0.103877917265307
27881,13.5228490829468,6.20056486129761,-2.3054666519165,0,0,0,1,0
28009,13.8379240036011,6.13930940628052,-2.35815215110779,0,0,0,1,0
28074,12.73548412323,6.1252703666687,-2.30626487731934,0,0,1,0,0.108826526188264
28075,11.6762580871582,6.15409517288208,-2.24598264694214,0,0,0,0,0.152976667632159
28331,12.3123483657837,6.10541439056396,-2.36217737197876,0,0,1,0,0.0829565912282464
28460,11.5248689651489,6.07526922225952,-2.3431921005249,0,0,1,0,0.0991732516316353
29031,15.1212320327759,6.2225866317749,-2.28153824806213,1,0,1,1,0
29160,14.0301961898804,6.17991781234741,-2.25945711135864,1,0,0,1,0
29224,14.3223133087158,6.20333623886108,-2.30675363540649,1,0,0,1,0
29288,14.6188640594482,6.22490978240967,-2.35480308532715,1,0,0,0,0.18485922081612
29352,14.8012733459473,6.19491338729858,-2.38420724868774,1,0,0,1,0
34405,14.9252843856812,-3.05845832824707,-2.13724589347839,1,0,0,1,0
34918,14.1396751403809,-3.0903046131134,-2.16368865966797,1,0,0,0,0.103960834979225
34982,13.4807147979736,-3.03389930725098,-2.06443309783936,1,1,0,0,0.479899351177298
35046,12.9771394729614,-3.00514316558838,-1.98915457725525,1,0,0,0,0.0964511307264762
35113,11.2144508361816,-3.11020827293396,-2.05732369422913,1,0,1,1,0
35492,15.2442502975464,-3.06086754798889,-2.04888534545898,1,0,0,1,0
35556,14.795973777771,-3.06619668006897,-1.9907238483429,1,0,0,0,0.129541944585581
35821,8.67575740814209,-3.06329607963562,-1.96322536468506,0,0,0,0,0.141486488749312
35885,8.64646339416504,-3.11367988586426,-1.96051144599915,1,0,0,0,0.08989586281807
36270,8.65188884735107,-3.12183475494385,-2.0496346950531,0,0,0,0,0.0919744053500191
36334,8.56460857391357,-3.1508424282074,-2.03284287452698,0,0,0,1,0
36398,8.36773872375488,-3.13778829574585,-1.98947024345398,1,0,0,0,0.10595780551126
36719,8.4916820526123,-3.13192081451416,-2.10384273529053,1,0,0,1,0
36783,8.26620006561279,-3.10750699043274,-2.05135273933411,0,0,0,1,0
36847,8.2122106552124,-3.14585113525391,-2.04214000701904,1,0,0,1,0
36911,8.03931045532227,-3.13729596138,-2.00274467468262,1,0,0,0,0.0104227932100819
37296,8.04665851593018,-3.14468789100647,-2.09098482131958,0,0,0,1,0
37360,7.93766021728516,-3.15939569473267,-2.06677746772766,1,0,0,1,0
