name,status,theta,normalizedPositionGain,certificateConstructionDelay,runtimeDelay,certificateMargin,seconds,errorMessage,odomPositionRmseM,pvaPositionRmseM,pvaPositionMaximumM,pvaPositionP95M,pvaPositionAfter5RmseM,headingRmseDeg,maximumVelocityComponent,maximumAccelerationComponent,maximumDifferenceFromStoredState
baseline,completed,2,3,0,0,0.127958119831288,9.014215,"",0.254624816099415,0.195741995644374,1.13506127503235,0.348827771950175,0.19808578320978,0.538750084001544,14.9356040682708,2.5046450581013,0
first_measurement_initialization,completed,2,3,0,0,0.127958119831288,9.010452,"",0.253687350496522,0.194520975413453,1.13506127446404,0.346491580293063,0.198083181787137,0.532555251436197,14.9356040641469,2.50462566529881,1.08514669344378
theta_25,completed,2.5,3,0,0,0.0895129131035785,9.092478,"",0.25517817027264,0.195811174956593,1.15574781582018,0.357352150782111,0.198476465269328,0.54491027174695,15.0544793190719,2.90488875866082,0.905954498240666
theta_3,completed,3,3,0.1,0,0.300857646979906,8.884357,"",0.255778648719861,0.196324221518711,1.15944232456558,0.360210255978196,0.199178746590555,0.549540860668021,15.2865923761668,3.39071044049527,1.80669599923349
theta_4,completed,4,3,0.075,0,0.471565125906803,8.96857,"",0.257169910096545,0.19772567076446,1.13095466441247,0.374453506447442,0.200807088070894,0.556129853778756,15.6961042958725,4.29425016825437,4.35971841145467
theta_6,completed,6,3,0.05,0,0.805559245200999,8.903017,"",0.259353256173755,0.199820105293817,1.05672260293307,0.39348149083971,0.203119977406657,0.563963076224537,16.6004433889022,10.1475440719553,11.2809883586869
theta_8,completed,8,3,0.0375,0,1.13582077538622,8.815452,"",0.259569923651889,0.199648185462775,1.0179538906057,0.401130724188883,0.203018048823673,0.568542109782423,17.3806649216741,17.0844226174634,18.0654665292788
position_gain_6,completed,2,6,0.075,0,0.0367354862225237,9.279283,"",0.250455802924332,0.18984546066575,1.00190452617199,0.333869474503306,0.192626682884818,0.538767589928293,14.8892977991038,2.26937093285302,0.864206372489046
position_gain_9,failed,2,9,0.05,0,NaN,NaN,"VehicleLocalization:InfeasibleCertificate: Fixed-gain synthesis failed: Infeasible problem (<a href=""yalmip.github.io/debugginginfeasible"">learn to debug</a>) (SeDuMi)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
