name,analyticPeakGain,peakFrequencyHz,measuredGain,relativeError,k1,k2,k3,durationSeconds,fitStartSeconds,noiseAmplitudeM
baseline,1.35460364886985,0.358716511941866,1.35460364888654,1.23245857963639e-11,6,12,12,45,30,0.01
position_gain_6,1.12134205890328,0.213617043617394,1.12134205470637,3.74275821446446e-09,12,12,12,45,30,0.01
