variant,accepted,reason,errorM,forwardErrorM,leftErrorM,yawErrorDeg,similarity,initialSimilarity,rank,iterations,pairs
reproduced_recorded_seed,1,accepted,0.692822052408022,-0.311541941323573,-0.618824704661347,3.53271442683461,0.43856927626804,0.503763821931937,3,11,134
reference_seed,1,accepted,0.228168405082663,-0.0758516819345786,0.21519141113358,-0.68279186857129,0.425399533399784,0.509091870770447,3,13,133
single_recorded_seed,1,accepted,0.496091983360062,0.0029291162096924,0.496083335975267,-2.20342924734507,0.470643218015117,0.54433929181675,3,13,34
single_reference_seed,1,accepted,0.496092482769774,0.00292923547077424,0.496083834689496,-2.20343165450628,0.470643154618834,0.544743648652305,3,13,34
fine_recorded_seed,0,acceptedDirectional,0.154720721999942,-0.0500234066377779,-0.146410930618363,0.620387539546415,0.994952648891431,0.987733350707604,2,3,16
fine_reference_seed,0,acceptedDirectional,0.011738039936624,-0.00546498114413943,-0.0103882415570673,-0.0780241454466699,0.98286152705645,0.975954435388471,2,3,16
without_curb,1,accepted,0.781743491225954,-0.351736616242901,-0.698143422849587,4.14322514148181,0.381652013274777,0.486546758376589,3,9,8
without_pole,1,accepted,0.162687977934743,-0.00907046708910907,-0.162434924789224,0.662520508348019,0.764526287782054,0.738606997153994,3,9,129
without_sign,1,accepted,0.901542082472136,-0.657419074574078,-0.616910274557295,4.18793365269805,0.299734583257327,0.286137710265229,3,12,131
only_curb,0,acceptedDirectional,0.164923857187945,-0.0770774132696532,-0.145804495930026,0.637103441240053,0.536781571336083,0.538197949042634,2,9,126
only_pole,1,accepted,0.894408420869481,-0.687048682516147,-0.572652190404495,4.77680408019076,0.192691374099923,0.0340774714878243,3,7,5
only_sign,0,acceptedDirectional,0.160925189785815,-0.00624304654433251,-0.160804045587933,0.619997148284879,0.994926951353004,0.939016045265354,2,3,3
uniform_map_priors,1,accepted,0.680738825761582,-0.30881359636186,-0.60666260112299,3.47983898180712,0.433981504537406,0.502600973829423,3,11,134
uniform_reference_seed,1,accepted,0.265970595931488,-0.0630163316444728,0.258397561610447,-0.892670673056177,0.422439644197068,0.508806816327868,3,15,133
distance_gate_1m,1,accepted,0.153350941369124,-0.133476849946262,0.0755012698384591,0.163224733974714,0.412320809299125,0.497831284881499,3,11,118
distance_gate_0p5m,1,accepted,0.14601236623805,-0.142610809948283,0.0313331769906778,0.34318372364757,0.410916151097996,0.49321404132341,3,10,106
reference_window_motion,1,accepted,0.667318778277575,-0.318557923333582,-0.586374625408766,3.49912590181629,0.437038738480303,0.505959482411295,3,11,134
