variant,accepted,reason,errorM,yawErrorDeg,similarity
without_source100,1,accepted,0.228173957797708,-0.682823879936435,0.427514522933039
without_source142,1,accepted,0.757270718011618,3.93236188480173,0.424519493475195
without_two_distant_poles,1,accepted,0.160111612724061,0.593306453840027,0.424993532194019
without_sign_colocated_poles,0,inconsistentClasses,0.841397182232729,3.71809695888339,0.421644465627369
