globalTarget,frame,effectiveCount
1087,929,6.99958904950735
1087,930,0
1087,931,0
1087,932,0
1087,934,0
1087,936,0
1087,942,0
1087,944,0
1087,951,10.9985939955887
1087,955,2.9998180208143
1087,957,0
1087,962,0
1088,955,0
1088,964,7.99960914313612
1088,965,7.99954139525792
1088,966,6.99972307319569
1088,967,10.9995597963375
1088,968,8.99951628743158
1088,969,9.99958561782315
1088,970,10.9995215663501
1088,971,8.99949552722867
1088,972,8.99931096673471
1088,973,13.9987200838616
1088,974,13.9986241859996
1088,975,9.99904401365031
1088,976,7.99930685703277
1088,977,12.9992509890338
1088,978,13.9989197106707
1088,979,4.99978504496957
1088,980,8.99937387101003
1090,955,7.9994128214061
1090,964,0
1090,965,0
1090,966,0
1090,967,7.99953159122658
1090,968,12.9988846895555
1090,972,2.46479348559376e-99
1090,973,7.99947148429399
1090,975,7.92490079732079e-115
1090,976,2.13193284945007e-114
1090,978,1.47213178409792e-122
1298,924,1.49583323702083e-17
1298,925,5.98843553781371e-15
1298,926,2.08270000845006e-10
1298,927,8.00408532552529e-14
1298,928,1.91012306252011e-13
1298,929,8.97359703981115e-08
1298,930,1.62395603660972e-10
1298,931,1.74112018019113e-07
1298,932,2.18287466497591e-10
1298,933,1.10668078069051e-07
1298,934,3.08091894823109e-08
1298,935,3.08659918265134e-06
1298,936,2.99627943393202e-05
1298,937,0.000459621692700885
1298,938,5.56805325469164e-07
1298,939,6.72557886377065e-06
1298,940,1.00193660652268
1298,941,1.07642438847373e-06
1298,942,0.000241457155651477
1298,943,2.3629707256004e-05
1298,944,2.15857174781332e-05
1298,945,5.56316612995019e-05
1298,946,0.000188244907434685
1298,947,0.00084283304958947
1298,948,4.99950224335923
1298,949,0.000542487314281468
1298,950,4.99977598556492
1298,951,4.99971455872738
1298,952,6.99864494394863
1298,953,6.99942433093526
1298,954,6.99953128089769
1298,955,9.99884797881042
1298,956,7.99942112697027
1298,957,6.99966475378893
1298,958,11.9991246175447
1298,959,10.9993269561785
1298,960,11.998683115662
1298,961,9.99914441323463
1298,962,7.68642618426204
1298,963,10.9993934153041
1298,964,8.11127561111701
1298,965,2.11810424685558e-06
1298,968,1.09911032108964e-12
1298,970,8.6450732250797e-15
1298,971,1.92278790193482e-15
1298,974,1.12109299608093e-19
1298,979,2.53355429764988e-24
