class,sourceComponents,pairs,uniqueTargets,totalWeight,robustWeight
curb,126,126,8,0.333333333333333,0.247339180670708
pole,14,5,3,0.333333333333333,0.161813211330419
trafficSign,3,3,1,0.333333333333333,0.305396055155539
