source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,globalTarget,sourceX,sourceY,targetBodyXY_1,targetBodyXY_2,sourceAtReference_1,sourceAtReference_2,sourceAtSolution_1,sourceAtSolution_2,targetWorldXY_1,targetWorldXY_2,referenceDistanceM,solutionDistanceM
1,60,curb,34.0488556168813,NaN,0.00274627103144694,0.000512539762284512,7.94904337912835e-05,720,3.22036314096641,-3.41006022973601,0.493562827514168,-2.57586571745119,484466.736249655,4976626.33995488,484466.672908358,4976625.9170189,484463.936749374,4976626.88228192,2.85154702464451,2.90143045556838
2,60,curb,5.85114379754393,NaN,0.00274627103144694,0.00361027303656456,0.00186463419128266,720,3.8577188000194,-2.90641394885641,0.493562827514168,-2.57586571745119,484467.31700816,4976626.90793496,484467.217565248,4976626.51970512,484463.936749374,4976626.88228192,3.38035612632525,3.30079001644308
3,60,curb,0.880284135267951,NaN,0.00274627103144694,0.00365606373536819,0.00320469674315335,720,4.56771888903189,-2.43672350344488,0.493562827514168,-2.57586571745119,484467.97358369,4976627.44980009,484467.839504255,4976627.10099774,484463.936749374,4976626.88228192,4.07653138948576,3.90887864679586
4,60,curb,0.513360334096332,NaN,0.00274627103144694,0.00307751646160883,0.00284392327702663,720,4.8152412525969,-2.06153841867994,0.493562827514168,-2.57586571745119,484468.180209033,4976627.84897065,484468.021140698,4976627.51214172,484463.936749374,4976626.88228192,4.35217612007162,4.1326717572455
5,60,curb,0.460933705375385,NaN,0.00274627103144694,0.00353021050408335,0.00328774156014208,720,5.45585935009721,-2.43374568919923,0.493562827514168,-2.57586571745119,484468.856469604,4976627.54631335,484468.714765494,4976627.25172966,484463.936749374,4976626.88228192,4.96433126218068,4.79227812957136
6,67,curb,0.665063916133589,NaN,0.000957182492639536,0.0029984844095843,0.0027101018569298,727,5.6459081425733,-2.00168191424377,4.61767604402681,-2.49452796209654,484468.999949811,4976627.99599221,484468.830264547,4976627.70939506,484468.02935174,4976627.39757943,1.14024491907309,0.859470947733149
7,60,curb,0.138918057488934,NaN,0.00274627103144694,0.00349183463287274,0.00341590958892846,720,6.49417322313286,-2.42983140337524,0.493562827514168,-2.57586571745119,484469.888594845,4976627.65957635,484469.73795038,4976627.42837538,484463.936749374,4976626.88228192,6.00238712019038,5.82684744712272
8,68,curb,0.739498488478864,NaN,0.00097718142650001,0.00313487944531408,0.00280320491742134,728,6.50145362113987,-2.00405021047825,8.17765180139982,-2.44159243371538,484469.850985204,4976628.08375572,484469.674274935,4976627.84943127,484471.563946783,4976627.82520947,1.73236356936391,1.88982707943353
9,68,curb,0.52920677777038,NaN,0.00097718142650001,0.00340417756114239,0.00313843646529653,728,7.40821060450632,-2.44354535351157,8.17765180139982,-2.44159243371538,484470.798991832,4976627.74221855,484470.641525127,4976627.56695778,484471.563946783,4976627.82520947,0.769443675230569,0.957891248831956
10,68,curb,0.818911353485029,NaN,0.00097718142650001,0.00320257851629118,0.00283156977445357,728,7.295042175857,-2.0341837880664,8.17765180139982,-2.44159243371538,484470.643332999,4976628.1373822,484470.461812713,4976627.95177908,484471.563946783,4976627.82520947,0.972101617944837,1.10937792243991
11,68,curb,0.212781157795368,NaN,0.00097718142650001,0.00361934634501434,0.00350018267739956,728,8.28647647912943,-2.43809888265254,8.17765180139982,-2.44159243371538,484471.671798058,4976627.8401466,484471.506638654,4976627.7184807,484471.563946783,4976627.82520947,0.108880739337019,0.121141450803942
12,68,curb,1.14250441708436,NaN,0.00097718142650001,0.00315385595929904,0.0026664305671654,728,8.22579732477721,-2.05468596347166,8.17765180139982,-2.44159243371538,484471.571069785,4976628.2150349,484471.383001756,4976628.08644992,484471.563946783,4976627.82520947,0.389890507627546,0.317785580934762
13,68,curb,0.0256802771651927,NaN,0.00097718142650001,0.00310855424474627,0.0030958339449441,728,9.40205655375632,-2.44255930752736,8.17765180139982,-2.44159243371538,484472.781641803,4976627.95322028,484472.607406027,4976627.89972636,484471.563946783,4976627.82520947,1.22440513407615,1.04611660994861
14,65,curb,1.829082011689,NaN,0.000918154900082931,0.00293979239456927,0.00227423145841006,725,9.2724250817348,-2.02630017714067,9.11085080705195,-2.42169874929918,484472.608884961,4976628.353509,484472.410312295,4976628.28860943,484472.489858744,4976627.94329072,0.427137305011112,0.354362315514018
15,65,curb,0.00715444873416103,NaN,0.000918154900082931,0.00282961032023044,0.00282637493549771,725,10.1766458382513,-2.41695141176205,9.11085080705195,-2.42169874929918,484473.549224512,4976628.06027685,484473.3669335,4976628.05387675,484472.489858744,4976627.94329072,1.06580560410001,0.884018889415597
16,71,curb,1.51462928763652,NaN,0.00172314115876086,0.00267661439713078,0.00215449306880683,731,10.1705683571202,-2.06904505527262,14.0402000440997,-2.35269571638159,484473.506534227,4976628.40560758,484473.303045596,4976628.39592076,484477.384516737,4976628.53114143,3.88001380030502,4.08371048203294
17,71,curb,0.0908946358490294,NaN,0.00172314115876086,0.00350691793315938,0.00345664741980236,731,11.109989387725,-2.50367393351176,14.0402000440997,-2.35269571638159,484474.4865106,4976628.07235025,484474.301694593,4976628.12368131,484477.384516737,4976628.53114143,2.93409763177141,3.10963279509562
18,71,curb,1.79205762422299,NaN,0.00172314115876086,0.00227811752216078,0.00177047158560749,731,11.0478649701173,-2.0565271720183,14.0402000440997,-2.35269571638159,484474.377631719,4976628.5104656,484474.166026622,4976628.5542552,484477.384516737,4976628.53114143,3.00695610240459,3.21857311059083
19,71,curb,0.0724482659255329,NaN,0.00172314115876086,0.0029182075856259,0.00288476815357412,731,12.0211297953535,-2.55431060682674,14.0402000440997,-2.35269571638159,484475.397915973,4976628.11796999,484475.208557077,4976628.22537373,484477.384516737,4976628.53114143,2.02911143947331,2.19733800838943
20,71,curb,1.83235836807337,NaN,0.00172314115876086,0.00257032472630565,0.00198760421251151,731,11.8697140583199,-2.00291294089159,14.0402000440997,-2.35269571638159,484475.189261278,4976628.6503508,484474.967494397,4976628.74388593,484477.384516737,4976628.53114143,2.19848980087173,2.42636708108635
21,71,curb,0.116674375322208,NaN,0.00172314115876086,0.00302091999008548,0.00296555922684184,731,12.8292152721897,-2.63886319088098,14.0402000440997,-2.35269571638159,484476.210412251,4976628.11900723,484476.019445519,4976628.27647376,484477.384516737,4976628.53114143,1.24433755118664,1.38862343794781
22,71,curb,3.2502974951821,NaN,0.00172314115876086,0.00157184900117205,0.00103407880251196,731,13.0607820539634,-2.15522789206076,14.0402000440997,-2.35269571638159,484476.389747205,4976628.624344,484476.167301634,4976628.79190062,484477.384516737,4976628.53114143,0.999126188752797,1.24483250327186
23,71,curb,0.00408759554664733,NaN,0.00172314115876086,0.00272229306082387,0.00272051380320682,731,13.7468807356944,-2.56925428441441,14.0402000440997,-2.35269571638159,484477.115640348,4976628.28489091,484476.912731988,4976628.49782097,484477.384516737,4976628.53114143,0.364600918758903,0.472959937120822
24,71,curb,3.96739041757893,NaN,0.00172314115876086,0.00120297380595641,0.00073586170048782,731,13.9408350000687,-2.16801250210758,14.0402000440997,-2.35269571638159,484477.266250926,4976628.70433063,484477.037211152,4976628.92574404,484477.384516737,4976628.53114143,0.209717194139406,0.525673276824804
25,71,curb,0.0961346152496499,NaN,0.00172314115876086,0.00259511420134565,0.00255580203411305,731,14.7321949636681,-2.56099230828121,14.0402000440997,-2.35269571638159,484478.094602828,4976628.39689471,484477.882932724,4976628.66993407,484477.384516737,4976628.53114143,0.722664817922832,0.517379835077401
26,71,curb,6.86614540499224,NaN,0.00172314115876086,0.00182889867838882,0.000871492072326328,731,14.8503015006352,-1.98472472687653,14.0402000440997,-2.35269571638159,484478.151351342,4976628.98239713,484477.903495657,4976629.25782066,484477.384516737,4976628.53114143,0.88975671922004,0.892973588088696
27,71,curb,0.796758395552449,NaN,0.00172314115876086,0.00196132140935115,0.00173955996791113,731,15.7991210001392,-2.49864832769904,14.0402000440997,-2.35269571638159,484479.149026384,4976628.5712762,484478.924607526,4976628.90895613,484477.384516737,4976628.53114143,1.76496603209347,1.58575647224761
28,71,curb,13.5107008447003,NaN,0.00172314115876086,0.00116991258812475,0.000370025017495302,731,15.8232560641808,-1.91655861024181,14.0402000440997,-2.35269571638159,484479.111712931,4976629.15266991,484478.851540405,4976629.48694587,484477.384516737,4976628.53114143,1.83562097015569,1.75091992051597
29,71,curb,2.81026114305293,NaN,0.00172314115876086,0.000480984103949224,0.000331795143894683,731,16.1705233845649,-2.369276567656,14.0402000440997,-2.35269571638159,484479.504735256,4976628.7390498,484479.269302525,4976629.09832915,484477.384516737,4976628.53114143,2.13038786595228,1.96827827836185
30,71,curb,1.7583851566678,NaN,0.00172314115876086,0.00148760665265255,0.00116097582686033,731,17.3753297771606,-2.49537306688218,14.0402000440997,-2.35269571638159,484480.716121438,4976628.74056272,484480.478293581,4976629.17448293,484477.384516737,4976628.53114143,3.33818021718853,3.15995940554163
31,71,curb,7.83792292766915,NaN,0.00172314115876086,0.00183903811754061,0.000815875292166332,731,17.1103647864283,-2.02635978491397,14.0402000440997,-2.35269571638159,484480.403227117,4976629.1790568,484480.138974509,4976629.5928637,484477.384516737,4976628.53114143,3.08745958442469,2.95199793429354
32,76,curb,17.0627294369483,NaN,0.00272072512547887,0.000819796168639209,0.000219782332560102,736,18.5255590294674,-1.84997629351846,24.2565935748213,-2.17726619004678,484481.791969085,4976629.5035281,484481.505084144,4976630.00229055,484487.525595869,4976629.78173581,5.74037243013392,6.02455025994633
33,76,curb,1.25017999361079,NaN,0.00272072512547887,0.00115960954209216,0.000966318094265738,736,18.8171746533948,-2.53408938812722,24.2565935748213,-2.17726619004678,484482.154023251,4976628.8539381,484481.90647705,4976629.37624412,484487.525595869,4976629.78173581,5.45111007018567,5.63373054231714
36,147,pole,2.6219197314769,NaN,0.000372624613405367,0.0561544747729366,0.0395591346578187,1088,10.6567136258671,-3.59045583211665,10.3474479347709,-3.22138239191701,484474.150232341,4976626.94386864,484474.035590613,4976626.97662312,484473.803810907,4976627.27831245,0.481518921537954,0.38044484864626
37,172,trafficSign,0.586273903291485,NaN,0.000234215350395996,0.110973135790945,0.101456159964489,1298,10.6733510284541,-3.5735191125517,10.7154943989855,-3.60559993355971,484474.164993163,4976626.96246364,484474.049177591,4976626.99609232,484474.210281306,4976626.93500045,0.0529645424408483,0.172298068565809
38,60,curb,82.5482046350991,NaN,0.00274627103144694,0.00328372163727829,0.00023112246826753,720,3.19722114388878,-4.25947570110835,0.493562827514168,-2.57586571745119,484466.802709329,4976625.4928272,484466.79144043,4976625.07559609,484463.936749374,4976626.88228192,3.1850134802558,3.37836864763867
39,60,curb,20.1028927692077,NaN,0.00274627103144694,0.00438157499595758,0.00103915892515348,720,4.14935632455346,-3.75981015648654,0.493562827514168,-2.57586571745119,484467.696915493,4976626.0900059,484467.647150184,4976625.7267396,484463.936749374,4976626.88228192,3.84272696491385,3.88617449711629
40,60,curb,14.9226338126579,NaN,0.00274627103144694,0.00484765231068166,0.00143098998498935,720,4.55313723579168,-3.07234773809431,0.493562827514168,-2.57586571745119,484468.026036449,4976626.81617599,484467.93090027,4976626.47180972,484463.936749374,4976626.88228192,4.08982136200401,4.01518726889133
41,62,curb,7.69152355658709,NaN,0.000524631086834545,0.00272053806054918,0.00121962013759957,722,4.32663609018606,7.36025140100141,0.308330382899975,6.53187673043922,484466.70188061,4976637.16687833,484465.9714665,4976636.72125102,484462.793186041,4976635.919845,4.10280213406716,3.27776116929433
42,60,curb,24.4852026381048,NaN,0.00274627103144694,0.00505908888855908,0.00102876515654702,720,4.8473758988029,-3.52405384158205,0.493562827514168,-2.57586571745119,484468.36621854,4976626.39797635,484468.296204749,4976626.07536624,484463.936749374,4976626.88228192,4.45586680438122,4.43350471694734
43,60,curb,4.12696491043921,NaN,0.00274627103144694,0.00475212417150923,0.00286218333860354,720,5.1626386560538,-2.81617575664849,0.493562827514168,-2.57586571745119,484468.605163306,4976627.13512449,484468.489273549,4976626.82583705,484463.936749374,4976626.88228192,4.67525592963147,4.55287408003667
44,62,curb,9.40461128498031,NaN,0.000524631086834545,0.00342238382550473,0.00136636410320369,722,4.93862733127766,7.36321282355267,0.308330382899975,6.53187673043922,484467.310155296,4976637.23428719,484466.5744317,4976636.82601273,484462.793186041,4976635.919845,4.7043351847042,3.88831051888929
45,62,curb,19.6194345533137,NaN,0.000524631086834545,0.00338594911488072,0.000818038056625931,722,4.81339256587766,7.68525923044061,0.308330382899975,6.53187673043922,484467.15169457,4976637.54135043,484466.397351327,4976637.12272838,484462.793186041,4976635.919845,4.65036304659061,3.79959679875917
46,60,curb,0.989209680200597,NaN,0.00274627103144694,0.00463126653566941,0.00399842208288291,720,5.85742130141512,-2.63210081136755,0.493562827514168,-2.57586571745119,484469.276691274,4976627.39136012,484469.143736626,4976627.12296428,484463.936749374,4976626.88228192,5.36415325225772,5.21254680937907
47,68,curb,0.439149496458187,NaN,0.00097718142650001,0.00326004818547086,0.00304602269241872,728,6.08211714669028,-2.02414277827555,8.17765180139982,-2.44159243371538,484469.436098017,4976628.01960425,484469.264129038,4976627.759837,484471.563946783,4976627.82520947,2.13671001863204,2.30074666561401
