source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,stepX,stepY,stepYawDeg
1,60,curb,18.9533971061662,NaN,0.00274627103144694,0.000512539762284512,0.000127100862664838,0.000293411500269863,0.00161368704250651,-0.00741747553515059
2,60,curb,2.14832025235989,NaN,0.00274627103144694,0.00361027303656456,0.00268675232671534,0.0013986151749268,0.00784796179228373,-0.035614499534492
3,60,curb,0.0550309474179015,NaN,0.00274627103144694,0.00365606373536819,0.00362415324153311,-0.000360902446959849,-0.0020811684953297,0.00928257676548407
4,67,curb,1.81184870972986,NaN,0.000957182492639536,0.00307751646160883,0.00238586440624234,-0.00104862879216395,-0.00618260533548632,0.027381234507344
5,60,curb,0.0822494132242138,NaN,0.00274627103144694,0.00353021050408335,0.00348435669707562,-0.000354064242361938,-0.00213555289039432,0.00926152246575535
6,68,curb,1.92023658785061,NaN,0.00097718142650001,0.0029984844095843,0.00229375579989563,-0.000877594175237449,-0.00532510418023439,0.022934305899819
7,68,curb,0.0512956941359958,NaN,0.00097718142650001,0.00349183463287274,0.00346340935496235,0.000215302447314111,0.00139318117698379,-0.00576524038600288
8,68,curb,2.16449020249884,NaN,0.00097718142650001,0.00313487944531408,0.0023284828981552,-0.00078736018077179,-0.0050957122569613,0.0210848266677148
9,68,curb,0.0533598964914017,NaN,0.00097718142650001,0.00340417756114239,0.00337536014229216,0.000154333109470564,0.00111126973156647,-0.00431267556169581
10,68,curb,1.81290320214631,NaN,0.00097718142650001,0.00320257851629118,0.00248249485638023,-0.000572630358266669,-0.00405300909936439,0.015889326189801
11,68,curb,0.0249858285985943,NaN,0.00097718142650001,0.00361934634501434,0.00360493477981155,7.55052843233009e-05,0.00065303654272539,-0.0022847615424375
12,65,curb,1.52044112037562,NaN,0.000918154900082931,0.00315385595929904,0.00253674140763146,-0.00034819819495962,-0.00296089686930528,0.0104634540783852
13,68,curb,0.0127549634481777,NaN,0.00097718142650001,0.00310855424474627,0.00310222324568917,1.56488974698748e-05,0.000265751121402365,-0.000682017104351072
14,65,curb,2.01483952617907,NaN,0.000918154900082931,0.00293979239456927,0.00222311666280498,-0.000143555871115126,-0.00209896566994675,0.00572297534181234
15,65,curb,0.00223997536584947,NaN,0.000918154900082931,0.00282961032023044,0.0028285965623713,-2.21812369913376e-06,6.4444822693873e-05,-6.70048031172828e-05
16,71,curb,1.22101851079308,NaN,0.00172314115876086,0.00267661439713078,0.00223916457413402,3.80240832331781e-05,-0.00104213723866326,0.00110167283646801
17,71,curb,0.368488324456795,NaN,0.00172314115876086,0.00350691793315938,0.00331166816465527,-0.000161191714323032,0.000276808228578076,0.00215677505455575
18,71,curb,1.16018735570697,NaN,0.00172314115876086,0.00227811752216078,0.00192144055609326,0.000140874340843472,-0.000293984498966511,-0.00179908672590421
19,71,curb,0.547176158650837,NaN,0.00172314115876086,0.0029182075856259,0.00268329038183734,-0.000269650001941741,-0.000262968635819803,0.00480491455861734
20,71,curb,1.01459146673341,NaN,0.00172314115876086,0.00257032472630565,0.00221134658610526,0.000204945396650911,0.000142270553569386,-0.00355698275860152
21,71,curb,0.74962012225362,NaN,0.00172314115876086,0.00302091999008548,0.00269739637412714,-0.000368339451087891,-0.000715265156705153,0.00715046623366247
22,71,curb,1.00178383179951,NaN,0.00172314115876086,0.00157184900117205,0.00135470892199602,0.000331680278969714,0.000704154997482689,-0.00653785678292684
