source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,iteration
1,60,curb,18.9533971061662,NaN,0.00274627103144694,0.000512539762284512,0.000127100862664838,1
2,60,curb,2.14832025235989,NaN,0.00274627103144694,0.00361027303656456,0.00268675232671534,1
3,60,curb,0.0550309474179015,NaN,0.00274627103144694,0.00365606373536819,0.00362415324153311,1
4,67,curb,1.81184870972986,NaN,0.000957182492639536,0.00307751646160883,0.00238586440624234,1
5,60,curb,0.0822494132242138,NaN,0.00274627103144694,0.00353021050408335,0.00348435669707562,1
6,68,curb,1.92023658785061,NaN,0.00097718142650001,0.0029984844095843,0.00229375579989563,1
7,68,curb,0.0512956941359958,NaN,0.00097718142650001,0.00349183463287274,0.00346340935496235,1
8,68,curb,2.16449020249884,NaN,0.00097718142650001,0.00313487944531408,0.0023284828981552,1
9,68,curb,0.0533598964914017,NaN,0.00097718142650001,0.00340417756114239,0.00337536014229216,1
10,68,curb,1.81290320214631,NaN,0.00097718142650001,0.00320257851629118,0.00248249485638023,1
11,68,curb,0.0249858285985943,NaN,0.00097718142650001,0.00361934634501434,0.00360493477981155,1
12,65,curb,1.52044112037562,NaN,0.000918154900082931,0.00315385595929904,0.00253674140763146,1
13,68,curb,0.0127549634481777,NaN,0.00097718142650001,0.00310855424474627,0.00310222324568917,1
14,65,curb,2.01483952617907,NaN,0.000918154900082931,0.00293979239456927,0.00222311666280498,1
15,65,curb,0.00223997536584947,NaN,0.000918154900082931,0.00282961032023044,0.0028285965623713,1
16,71,curb,1.22101851079308,NaN,0.00172314115876086,0.00267661439713078,0.00223916457413402,1
17,71,curb,0.368488324456795,NaN,0.00172314115876086,0.00350691793315938,0.00331166816465527,1
18,71,curb,1.16018735570697,NaN,0.00172314115876086,0.00227811752216078,0.00192144055609326,1
19,71,curb,0.547176158650837,NaN,0.00172314115876086,0.0029182075856259,0.00268329038183734,1
20,71,curb,1.01459146673341,NaN,0.00172314115876086,0.00257032472630565,0.00221134658610526,1
21,71,curb,0.74962012225362,NaN,0.00172314115876086,0.00302091999008548,0.00269739637412714,1
22,71,curb,1.00178383179951,NaN,0.00172314115876086,0.00157184900117205,0.00135470892199602,1
23,71,curb,0.500069514580709,NaN,0.00172314115876086,0.00272229306082387,0.00252061576453351,1
24,71,curb,0.965905703679538,NaN,0.00172314115876086,0.00120297380595641,0.00104194630528413,1
25,71,curb,0.414529615149847,NaN,0.00172314115876086,0.00259511420134565,0.00243369970500846,1
26,71,curb,2.49694979850077,NaN,0.00172314115876086,0.00182889867838882,0.00130681174618029,1
27,71,curb,0.181548400972561,NaN,0.00172314115876086,0.00196132140935115,0.00190595763946844,1
28,71,curb,4.97554462139371,NaN,0.00172314115876086,0.00116991258812475,0.000651367387720726,1
29,71,curb,0.021558864040364,NaN,0.00172314115876086,0.000480984103949224,0.000479330691914447,1
30,71,curb,0.130419811706355,NaN,0.00172314115876086,0.00148760665265255,0.00145719903289435,1
31,71,curb,1.9613464768789,NaN,0.00172314115876086,0.00183903811754061,0.00139976899854281,1
32,76,curb,4.45722311061236,NaN,0.00272072512547887,0.000819796168639209,0.000478529867274057,1
33,76,curb,0.927603189393315,NaN,0.00272072512547887,0.00115960954209216,0.00100974649152882,1
36,147,pole,3.96300750525277,NaN,0.000372624613405367,0.0561544747729366,0.0343645559009278,1
37,172,trafficSign,0.134281486526518,NaN,0.000234215350395996,0.110973135790945,0.108639022285773,1
38,60,curb,60.7164910254972,NaN,0.00274627103144694,0.00328372163727829,0.00030647059325798,1
39,60,curb,14.8338861554771,NaN,0.00274627103144694,0.00438157499595758,0.00129885181141622,1
40,60,curb,7.30515455315395,NaN,0.00274627103144694,0.00484765231068166,0.00223515171464503,1
41,62,curb,17.3345074953243,NaN,0.000524631086834545,0.00272053806054918,0.000720954757346675,1
42,60,curb,16.9729047646303,NaN,0.00274627103144694,0.00505908888855908,0.00136155687128563,1
43,60,curb,1.47997868153084,NaN,0.00274627103144694,0.00475212417150923,0.00384228434457347,1
44,62,curb,18.7748391561265,NaN,0.000524631086834545,0.00342238382550473,0.000854746708898145,1
45,62,curb,32.3256510509921,NaN,0.000524631086834545,0.00338594911488072,0.000548589107155464,1
46,60,curb,0.174212545423676,NaN,0.00274627103144694,0.00463126653566941,0.00450567530935028,1
47,68,curb,1.81534385504164,NaN,0.00097718142650001,0.00326004818547086,0.00252627805154969,1
48,62,curb,0.0971187957703997,NaN,0.000524631086834545,0.00220204752890516,0.00216835346847904,1
49,62,curb,19.3025206975992,NaN,0.000524631086834545,0.00280241333687374,0.000685454228283104,1
50,62,curb,34.455606465834,NaN,0.000524631086834545,0.00300675874740884,0.000461662257435677,1
51,68,curb,0.0593082935562952,NaN,0.00097718142650001,0.00422463119122214,0.00418491912530328,1
52,68,curb,1.77861310955251,NaN,0.00097718142650001,0.00322438480634124,0.00251007300571692,1
53,62,curb,2.11214562895097,NaN,0.000524631086834545,0.00277094788949401,0.00207105031146296,1
54,62,curb,6.27256041088124,NaN,0.000524631086834545,0.00297230340072728,0.00148347427722556,1
55,68,curb,0.0346351794810714,NaN,0.00097718142650001,0.00427278770145232,0.00424923999109238,1
56,68,curb,2.29286854109203,NaN,0.00097718142650001,0.00329256862809249,0.0024088576134109,1
57,62,curb,1.50289814354322,NaN,0.000524631086834545,0.00260136695706807,0.00209709236219179,1
58,62,curb,7.2977705519432,NaN,0.000524631086834545,0.00312295185874442,0.00144071299719149,1
