source,frame,localComponent,meanX,meanY,meanZ,coarseHits,semanticProbability,occupancyProbability,frameFinePolePoints,nearbyFinePolePoints,nearbyFineSignPoints,nearbyRawPoints
36,957,36,13.0793020114562,-3.58036198845801,-0.288211028303637,30,0.638806509971619,0.993262053000915,22,0,24,80
100,958,63,-17.8581215773816,-11.2903278261303,-0.722010012717715,12,0.855944633483887,0.864664716763387,0,0,0,31
105,958,68,11.8601474586315,-3.57275131087507,-0.17606852358101,49,0.675449832361572,0.999716037016097,0,0,28,114
141,959,33,10.6821015385391,-3.5705042643074,-0.211377756652889,40,1,0.99872736619866,0,0,35,107
142,959,34,16.6279162909446,-11.0941163812691,-2.49276882229603,29,0.723576484055355,0.992040056151294,0,0,0,50
