elapsedSeconds,referenceInitializedVy,referenceVy,originalVy
0,0.383744888448445,0.383744888448445,0.0035453675031703
0.25,0.0808254338864819,0.372462720847427,0.0127192711253843
0.5,-0.00776021534982254,0.365656951151329,0.01508676912554
1,0.0107259751862402,0.317528475790482,0.0158228177441122
2,-0.00175989048366918,0.298481599722064,0.00226398964410321
5,-0.013930016502443,0.36667996789527,-0.0105530772922891
