mode,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,headingRmseDeg,mapXRmseM,mapYRmseM,forwardRmseM,leftRmseM,meanForwardErrorM,meanLeftErrorM,fractionAtMost10cm,fractionAtMost20cm,fractionAtMost30cm
recursive,accepted_matching_measurements,1072,0.19713208540338312,0.11871927792141865,0.3988736549347071,1.0877679469523678,0.5892639365245861,0.14643398570733807,0.1319778274004761,0.14587725279765806,0.13259293424498494,0.0035039351621393533,-0.03043419862958928,0.4048507462686567,0.7714552238805971,0.8889925373134329
recursive,all_outputs_with_prediction,1170,0.22262786693455563,0.12655746650598232,0.473913815332894,1.0877679469523678,0.6910240026448335,0.17284419723532668,0.14031411410797454,0.17262140132732973,0.14058811805988153,0.003567971218756321,-0.024316802623283965,0.3803418803418803,0.7401709401709402,0.8615384615384616
referenceSeed,accepted_matching_measurements,1071,0.20577257214830152,0.11916678293341625,0.39458032095824186,2.2082849426116904,0.6272520696751238,0.14881317583162948,0.1421161150166739,0.16424084305012335,0.12396490197920021,0.004375505374998584,-0.014671849930828052,0.38468720821662,0.7815126050420168,0.9010270774976658
referenceSeed,all_outputs_with_prediction,1170,0.27102000817031213,0.12956092374760697,0.6403124239760019,2.2082849426116904,0.8358320309289947,0.2035322313320492,0.17895942455661085,0.21873340187670295,0.16002357242631735,0.046778158811643065,-0.0013670280807105625,0.35213675213675216,0.7153846153846154,0.8247863247863247
recursive,accepted_in_both_modes,1062,0.19548334185169466,0.11842322413992226,0.39768287215834397,1.0877679469523678,0.5776750009360739,0.14457741815182698,0.13157168047136245,0.14447327183983558,0.1316860306387868,0.003959082909523695,-0.029952530526891796,0.4067796610169492,0.7740112994350282,0.891713747645951
referenceSeed,accepted_in_both_modes,1062,0.20363408666774185,0.11902173990934532,0.39083182647482345,2.2082849426116904,0.6237533920258188,0.14678040162943912,0.14114657257796218,0.16245727195319995,0.12277815783977798,0.004325233470984092,-0.014513152337847399,0.3860640301318267,0.7843691148775894,0.9030131826741996
