case,baselinePositionRmseM,positionRmseM,baselinePositionMaximumM,positionMaximumM,outageWindowPositionRmseM,outageWindowPositionMaximumM,yawRmseDeg,amortizedComputationMsPerSample
fusion,0.2826381399084596,0.26796514359875934,2.2228493937693488,2.0291425290999485,0.2677045010550165,0.6089697833323937,0.5550754593092279,0.910708383233533
positionOutage,0.29016505993622876,0.2709767256437782,2.2228493952566777,2.0291425294865246,0.2854172468591812,0.7330913139042333,0.556583559118413,0.8509788708297691
lidarOnly,0.46960218736795023,0.3905696053303012,3.65918290601911,1.8930955885009508,0.2857792223436584,0.7330872303031156,0.586722391414725,0.6707814371257484
gpsOnly,0.2161682589109447,0.21969506137799424,1.58037158309186,1.577362818930663,0.20139084275513625,0.22555123195704346,1.9172993253426849,0.45451009409751925
fusion_delay300ms,0.22121597613629918,0.22607815761403321,1.576414201086714,1.625751997256163,0.2197721595690695,0.42046020885807744,0.5617887473412447,1.2291001710863987
outageNoLidar,9.440985171726389,9.592426650720078,42.74984456935389,43.53498569518434,22.79103448796949,43.278114118511986,1.4862564858848548,0.4437639863130881
