scenario,samples,completed,firstFailingSampleTime,positionRmseM,positionMedianM,positionP95M,positionMaximumM,yawRmseDeg,yawMaximumAbsDeg,outageWindowPositionRmseM,outageWindowPositionMaximumM,computationSeconds,amortizedComputationMsPerSample,acceptedLidarEvents,acceptedGpsEvents,outsideTrackRateEnvelope,velocityOutsideEnvelope,accelerationOutsideEnvelope,revisedHistoryVelocityOutsideEnvelope,revisedHistoryAccelerationOutsideEnvelope,maximumAbsLateralVelocityMps,maximumAbsSideSlipDeg,meanTranslationWeight,maximumQualifiedPoseGapSeconds,shortQualifiedIntervalCount,longQualifiedIntervalCount,fixedDelayMatchesConfiguration,timingWithinCertificate,flowCertificateVerified,unconditionalStabilityClaimed,informationWithinCertificate,weightSectorViolationCount,minimumLidarWeight,medianMinimumLidarWeight,gainInformationScale,invariantExtensionSamples
fusion,11690,1,NaN,0.267965143598759,0.213592711713786,0.421803056091191,2.02914252909995,0.555075459309228,3.03563401248788,0.267704501055016,0.608969783332394,10.646181,0.910708383233533,962,1168,0,31,0,25,0,0.476519335913027,4.74314009903029,0.102223865598038,1.29870115643714,0,184,1,0,1,0,0,962,0.11069707821981,0.598514577759091,5,31
positionOutage,11690,1,NaN,0.270976725643778,0.210978335041811,0.450895669879598,2.02914252948652,0.556583559118413,3.03563401248788,0.285417246859181,0.733091313904233,9.947943,0.850978870829769,962,968,0,31,0,25,0,0.476519335913027,4.74314009903029,0.1118287984526,1.29870115643714,0,184,1,0,1,0,0,962,0.11069707821981,0.598514577759091,5,31
lidarOnly,11690,1,NaN,0.390569605330301,0.235896218286918,0.802085547191398,1.89309558850095,0.586722391414725,3.15590408903241,0.285779222343658,0.733087230303116,7.841435,0.670781437125748,962,0,0,0,0,0,0,0.476519335913027,4.74314009903029,0.156152028358867,1.29870115643714,0,184,1,0,1,0,0,962,0.11069707821981,0.598514577759091,5,0
gpsOnly,11690,1,NaN,0.219695061377994,0.186624299384847,0.237078855097044,1.57736281893066,1.91729932534268,2.48047878927671,0.201390842755136,0.225551231957043,5.313223,0.454510094097519,0,1168,0,20,0,22,0,0.476519335913027,4.74314009903029,0,Inf,0,0,0,0,1,0,0,0,NaN,NaN,5,20
fusion,11690,1,NaN,0.226078157614033,0.188992965105128,0.303914019347157,1.62575199725616,0.561788747341245,3.05246399943462,0.21977215956907,0.420460208858077,14.368181,1.2291001710864,961,1168,0,56,0,25,0,0.476519335913027,4.74314009903029,0.102131959338693,1.29870115643714,0,183,1,0,1,0,0,961,0.11069707821981,0.598627747690173,5,56
outageNoLidar,11690,1,NaN,9.59242665072008,0.186156626609149,29.6720108112625,43.5349856951843,1.48625648588485,2.42526377337392,22.7910344879695,43.278114118512,5.187601,0.443763986313088,0,968,0,123,103,125,100,0.476519335913027,4.74314009903029,0,Inf,0,0,0,0,1,0,0,0,NaN,NaN,5,123
