case,ownPoints,supportedOwnPoints,span,score,radialRms,radius,radialExcessScore
Synthetic: minority shaft with dense end clutter,860,33,2.16949152542373,0.937147259061187,0.0254783925987095,0.06,9.9498743710662
Recorded frame 1 / pillar 5789,45,13,2.61863589286804,0.465675741580204,0.0863729124338948,0.15,7.18315398341322
Recorded frame 301 / pillar 4944,241,185,1.3936695754528,0.569855455297774,0.0374158848881623,0.06,19.2556903069041
