frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
75,83.4,NaN,13,21,13,0,NaN,NaN,NaN,NaN,17,14,15,16
76,82.558,NaN,11,19,11,0,NaN,NaN,NaN,NaN,9,7,9,7
77,80.842,NaN,13,25,13,0,NaN,NaN,NaN,NaN,14,9,12,11
78,80.093,NaN,9,19,9,0,NaN,NaN,NaN,NaN,8,6,7,6
79,80.882,NaN,9,21,9,0,NaN,NaN,NaN,NaN,10,7,9,8
80,85.684,NaN,12,18,12,0,NaN,NaN,NaN,NaN,11,7,9,8
81,88.686,NaN,12,24,12,4,4,3,NaN,NaN,9,9,10,9
82,86.874,NaN,9,23,9,0,NaN,NaN,NaN,NaN,9,7,9,8
83,88.882,NaN,10,22,10,0,NaN,NaN,NaN,NaN,11,8,10,11
84,90.834,NaN,9,23,9,0,NaN,NaN,NaN,NaN,6,6,8,6
85,91.563,NaN,8,23,8,0,NaN,NaN,NaN,NaN,10,7,9,8
86,95.827,NaN,11,27,11,0,NaN,NaN,NaN,NaN,13,13,14,13
87,96.54,NaN,10,22,10,0,NaN,NaN,NaN,NaN,4,4,5,4
88,105.765,NaN,9,23,9,0,NaN,NaN,NaN,NaN,10,7,7,7
89,103.361,NaN,12,19,12,0,NaN,NaN,NaN,NaN,11,9,10,10
90,107.935,NaN,11,27,11,0,NaN,NaN,NaN,NaN,12,10,15,12
91,105.862,NaN,13,27,13,4,4,4,NaN,NaN,11,9,12,10
92,110.923,NaN,15,31,15,0,NaN,NaN,NaN,NaN,20,14,18,15
93,110.246,NaN,13,27,13,0,NaN,NaN,NaN,NaN,16,13,15,14
94,109.946,NaN,13,26,13,0,NaN,NaN,NaN,NaN,11,11,13,11
95,109.282,NaN,17,29,17,0,NaN,NaN,NaN,NaN,13,10,14,12
96,116.032,NaN,16,27,16,0,NaN,NaN,NaN,NaN,8,6,9,6
97,116.766,NaN,18,29,18,0,NaN,NaN,NaN,NaN,16,13,18,14
98,112.653,NaN,15,26,15,0,NaN,NaN,NaN,NaN,13,12,15,13
99,116.443,NaN,14,22,14,0,NaN,NaN,NaN,NaN,13,11,12,12
100,123.997,NaN,16,25,16,0,NaN,NaN,NaN,NaN,11,9,13,9
101,131.814,NaN,13,28,13,2,2,1,NaN,NaN,15,10,13,11
102,143.357,NaN,15,28,15,0,NaN,NaN,NaN,NaN,11,10,17,10
103,139.978,NaN,13,19,13,0,NaN,NaN,NaN,NaN,12,6,11,7
104,143.988,NaN,13,22,13,0,NaN,NaN,NaN,NaN,12,9,11,9
105,144.808,NaN,14,19,14,0,NaN,NaN,NaN,NaN,13,8,10,9
106,148.815,NaN,15,24,15,0,NaN,NaN,NaN,NaN,8,8,9,8
107,146.219,NaN,11,24,11,0,NaN,NaN,NaN,NaN,10,7,9,9
108,161.169,NaN,16,21,16,0,NaN,NaN,NaN,NaN,7,7,7,7
109,162.818,NaN,14,26,14,0,NaN,NaN,NaN,NaN,12,11,12,12
110,171.94,NaN,13,34,13,0,NaN,NaN,NaN,NaN,15,15,17,15
111,169.779,NaN,17,22,17,3,3,3,NaN,NaN,16,11,12,14
112,187.079,NaN,18,28,18,0,NaN,NaN,NaN,NaN,15,14,15,14
113,187.344,NaN,14,24,14,0,NaN,NaN,NaN,NaN,12,12,14,12
114,193.2,NaN,15,32,15,0,NaN,NaN,NaN,NaN,15,12,15,13
115,190.797,NaN,17,24,17,0,NaN,NaN,NaN,NaN,13,12,12,13
116,199.388,NaN,15,29,15,0,NaN,NaN,NaN,NaN,16,14,16,15
117,203.834,NaN,14,26,14,0,NaN,NaN,NaN,NaN,15,15,19,15
118,200.897,NaN,13,25,13,0,NaN,NaN,NaN,NaN,10,9,12,10
119,198.464,NaN,8,21,8,0,NaN,NaN,NaN,NaN,15,7,9,8
120,203.697,NaN,10,21,10,0,NaN,NaN,NaN,NaN,11,10,14,10
121,205.303,NaN,10,18,10,2,2,0,NaN,NaN,11,9,11,10
122,204.437,NaN,10,20,10,0,NaN,NaN,NaN,NaN,18,7,7,9
123,215.308,NaN,7,17,7,0,NaN,NaN,NaN,NaN,10,8,11,9
124,211.344,NaN,10,19,10,0,NaN,NaN,NaN,NaN,11,7,8,7
125,215.166,NaN,10,17,10,0,NaN,NaN,NaN,NaN,8,8,8,8
126,221.451,NaN,10,21,10,0,NaN,NaN,NaN,NaN,9,7,8,7
127,223.575,NaN,9,16,9,0,NaN,NaN,NaN,NaN,14,7,8,7
128,232.34,NaN,7,14,7,0,NaN,NaN,NaN,NaN,5,4,5,4
129,234.728,NaN,7,15,7,0,NaN,NaN,NaN,NaN,10,9,10,10
130,234.845,NaN,6,13,6,0,NaN,NaN,NaN,NaN,7,4,5,4
131,224.09,NaN,8,13,8,0,0,0,NaN,NaN,8,3,4,3
132,219.74,NaN,5,11,5,0,NaN,NaN,NaN,NaN,6,5,7,5
133,212.87,NaN,7,15,7,0,NaN,NaN,NaN,NaN,7,6,9,6
134,210.593,NaN,8,13,8,0,NaN,NaN,NaN,NaN,9,7,8,7
135,213.8,NaN,6,12,6,0,NaN,NaN,NaN,NaN,7,5,6,7
136,211.307,NaN,6,8,6,0,NaN,NaN,NaN,NaN,5,3,4,4
137,214.834,NaN,7,11,7,0,NaN,NaN,NaN,NaN,8,5,6,8
138,213.031,NaN,5,9,5,0,NaN,NaN,NaN,NaN,6,5,5,6
139,204.641,NaN,8,14,8,0,NaN,NaN,NaN,NaN,8,6,8,6
140,205.127,NaN,5,13,5,0,NaN,NaN,NaN,NaN,3,2,2,2
141,201.075,NaN,5,12,5,2,2,2,NaN,NaN,8,5,6,5
142,186.933,NaN,5,12,5,0,NaN,NaN,NaN,NaN,5,4,6,5
143,191.455,NaN,6,17,6,0,NaN,NaN,NaN,NaN,7,3,4,4
144,180.59,NaN,6,17,6,0,NaN,NaN,NaN,NaN,5,5,8,5
145,178.131,NaN,9,18,9,0,NaN,NaN,NaN,NaN,11,6,7,8
146,169.014,NaN,7,15,7,0,NaN,NaN,NaN,NaN,7,5,7,6
147,164.951,NaN,7,17,7,0,NaN,NaN,NaN,NaN,5,5,11,5
148,183.711,NaN,9,12,9,0,NaN,NaN,NaN,NaN,12,9,12,10
149,217.079,NaN,7,10,7,0,NaN,NaN,NaN,NaN,11,7,7,8
150,159.537,NaN,9,15,9,0,NaN,NaN,NaN,NaN,8,8,11,8
151,165.855,NaN,5,13,5,6,6,5,NaN,NaN,8,8,10,8
152,162.372,NaN,7,9,7,0,NaN,NaN,NaN,NaN,7,6,8,6
153,164.998,NaN,9,13,9,0,NaN,NaN,NaN,NaN,7,5,8,5
154,163.752,NaN,7,13,7,0,NaN,NaN,NaN,NaN,7,5,9,6
155,171.94,NaN,8,10,8,0,NaN,NaN,NaN,NaN,9,5,7,5
156,182.428,NaN,8,15,8,0,NaN,NaN,NaN,NaN,7,6,7,6
157,191.079,NaN,8,12,8,0,NaN,NaN,NaN,NaN,4,4,5,4
158,193.49,NaN,6,10,6,0,NaN,NaN,NaN,NaN,5,5,7,5
159,200.521,NaN,6,7,6,0,NaN,NaN,NaN,NaN,7,6,7,7
160,218.035,NaN,6,8,6,0,NaN,NaN,NaN,NaN,5,5,5,5
161,231.04,NaN,6,10,6,1,1,1,NaN,NaN,3,3,3,3
162,231.959,NaN,5,9,5,0,NaN,NaN,NaN,NaN,6,5,6,6
163,255.76,NaN,5,7,5,0,NaN,NaN,NaN,NaN,5,3,4,3
164,252.694,NaN,4,5,4,0,NaN,NaN,NaN,NaN,6,5,5,5
165,261.749,NaN,3,4,3,0,NaN,NaN,NaN,NaN,5,3,4,4
166,272.826,NaN,5,5,5,0,NaN,NaN,NaN,NaN,5,4,4,4
167,274.12,NaN,3,9,3,0,NaN,NaN,NaN,NaN,3,1,2,1
168,289.904,NaN,3,6,3,0,NaN,NaN,NaN,NaN,7,2,4,3
169,298.48,NaN,5,7,5,0,NaN,NaN,NaN,NaN,3,3,4,3
170,306.513,NaN,6,7,6,0,NaN,NaN,NaN,NaN,7,4,5,4
171,319.243,NaN,3,4,3,3,3,2,NaN,NaN,6,4,4,4
172,308.964,NaN,3,7,3,0,NaN,NaN,NaN,NaN,2,2,2,2
173,309.749,NaN,6,9,6,0,NaN,NaN,NaN,NaN,2,2,3,2
174,308.421,NaN,6,6,6,0,NaN,NaN,NaN,NaN,5,5,5,5
175,312.38,NaN,4,9,4,0,NaN,NaN,NaN,NaN,2,2,2,2
176,322.551,NaN,7,8,7,0,NaN,NaN,NaN,NaN,7,5,6,5
177,321.85,NaN,3,5,3,0,NaN,NaN,NaN,NaN,2,2,2,2
178,311.939,NaN,4,5,4,0,NaN,NaN,NaN,NaN,3,3,4,3
179,310.425,NaN,4,4,4,0,NaN,NaN,NaN,NaN,5,3,4,3
180,301.711,NaN,4,4,4,0,NaN,NaN,NaN,NaN,4,2,2,2
181,311.757,NaN,4,7,4,2,2,2,NaN,NaN,4,4,6,4
182,305.625,NaN,5,5,5,0,NaN,NaN,NaN,NaN,4,4,4,4
183,294.995,NaN,4,4,4,0,NaN,NaN,NaN,NaN,6,4,4,6
184,289.384,NaN,7,9,7,0,NaN,NaN,NaN,NaN,4,4,8,4
185,270.176,NaN,7,8,7,0,NaN,NaN,NaN,NaN,5,4,6,4
186,269.124,NaN,7,8,7,0,NaN,NaN,NaN,NaN,5,4,6,5
187,261.808,NaN,7,10,7,0,NaN,NaN,NaN,NaN,4,4,4,4
188,246.315,NaN,8,10,8,0,NaN,NaN,NaN,NaN,7,6,7,6
189,241.234,NaN,8,11,8,0,NaN,NaN,NaN,NaN,8,4,7,4
190,242.266,NaN,7,11,7,0,NaN,NaN,NaN,NaN,12,7,8,7
191,223.463,NaN,8,13,8,3,3,2,NaN,NaN,4,4,6,4
192,216.515,NaN,7,8,7,0,NaN,NaN,NaN,NaN,7,6,8,6
193,208.779,NaN,8,13,8,0,NaN,NaN,NaN,NaN,7,6,8,7
194,198.545,NaN,7,10,7,0,NaN,NaN,NaN,NaN,6,6,6,6
