frame,start,source_components,decision,observable_rank,x_m,y_m,yaw_rad,xy_difference_m,yaw_difference_deg,similarity,iterations,registration_s
28,1,26,accepted,3,484200.37930074934,4977499.95369199,-2.125905570872644,0.0881829952228288,0.12278728911101602,0.9011619713419615,6,0.232527
28,2,26,accepted,3,484200.4805872794,4977500.0367782395,-2.1294939859472715,0.05828671021118808,-0.08281374980624837,0.9390195878063794,8,0.04937
28,3,26,accepted,3,484200.48059003777,4977500.036768062,-2.129493152415338,0.058277830419372,-0.08276599194438357,0.939020016543703,3,0.028307
214,1,35,accepted,3,484219.47210482165,4977372.365515189,-1.5483771718176247,0.027054532607125228,0.22147863578783367,0.9475215047208712,4,0.02954
214,2,35,accepted,3,484219.47210497956,4977372.365515471,-1.5483771595442721,0.027054760465745314,0.22147933899913566,0.9475215135673261,6,0.04381
214,3,35,accepted,3,484219.4721039569,4977372.365514252,-1.548377243548893,0.027053869765555835,0.22147452588890332,0.9475214586325932,4,0.021985
458,1,38,accepted,3,484275.40963022294,4977036.807731857,-1.3196807076108379,0.06697773401513647,0.2331630779917925,0.9727222440522885,5,0.026934
458,2,38,accepted,3,484275.34168874327,4977037.091185858,-1.314595764398195,0.22591211080565163,0.5245088631399283,0.7375014221266925,8,0.025277
458,3,38,accepted,3,484275.40547487244,4977036.867382586,-1.3229387277920974,0.007242556774641287,0.04649227203717365,0.9672648735018174,3,0.019772
600,1,12,accepted,3,484337.29460981383,4976874.327673483,-1.322484235297276,0.11699241527717431,0.7239282938602162,0.7590871335143115,6,0.020575
600,2,12,accepted,3,484337.29459379584,4976874.3276608875,-1.3224847828980184,0.11698426191226187,0.7238969186488238,0.75909139295547,8,0.021591
600,3,12,accepted,3,484337.29459710483,4976874.327660913,-1.3224848868491588,0.1169834523708878,0.7238909626872055,0.75909112779698,7,0.019943
855,1,45,inconsistentClasses,3,484352.39753232006,4976622.946705703,-0.1494981859808651,0.8651631395061107,1.870020474570339,0.6305153506872393,12,0.027584
855,2,45,accepted,3,484351.61361167155,4976623.299355598,-0.18412000620559107,0.13474654502137673,-0.1136637033671352,0.9494411402246052,7,0.023335
855,3,45,accepted,3,484351.61361598514,4976623.299347026,-0.18411965300229866,0.13474022691760743,-0.11364346630916947,0.9494410286470187,5,0.021532
943,1,13,accepted,3,484444.2824395643,4976627.068637519,0.1107850426211953,0.10248760160137088,0.3565184028554257,0.8776730180361799,8,0.021887
943,2,13,accepted,3,484444.35790383443,4976627.005388915,0.1050432653437383,0.07011326858768517,0.027538797953022987,0.8792826679451085,9,0.026266
943,3,13,accepted,3,484444.35790304735,4976627.005397333,0.10504255381005104,0.07010580360042079,0.027498030075761522,0.8792866593901998,6,0.020998
1137,1,40,accepted,3,484670.17644744174,4976659.014058677,0.13956472529398342,0.2421952239506648,0.6415532601644593,0.9267738884208723,5,0.021707
1137,2,40,accepted,3,484670.1227109678,4976659.088312483,0.1286460759954834,0.17623835443674063,0.01596073737693059,0.9571868938075183,6,0.022389
1137,3,40,accepted,3,484670.1227109664,4976659.08831249,0.1286460762695492,0.1762383529757115,0.015960753079744115,0.9571868937687851,5,0.022742
