frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
260,original_fixed,all,xy,1,1,accepted,0.40197148435065,0.446381928258773,0.182359687988688,-0.671481349993161,0.0385235389161947,0.178244194162682
260,original_fixed,all,xy,2,1,accepted,0.40197148435065,0.446381928268844,0.182354466784321,-0.671450083216725,0.0385218822186487,0.178239210463149
260,original_fixed,all,xy,3,1,accepted,0.40197148435065,0.446381928264937,0.182356179677496,-0.671453352090257,0.0385269204782305,0.178239873948102
260,original_fixed,all,xyz,1,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188687622,0.230324886534349,0.271860929325046
260,original_fixed,all,xyz,2,1,accepted,0.232985396222752,0.266487542619264,0.356311546562194,-1.31822188680265,0.230324886520877,0.271860929268419
260,original_fixed,all,xyz,3,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188682663,0.230324886534349,0.271860929325046
260,original_futureGrid,all,xy,1,1,accepted,0.463476489377781,0.548760036399027,0.187911313501899,-0.746433714593868,-0.0685312541616362,0.174968937086108
260,original_futureGrid,all,xy,2,1,accepted,0.463476489377781,0.548760036399027,0.187911313501899,-0.74643371460019,-0.0685312541616362,0.174968937086108
260,original_futureGrid,all,xy,3,1,accepted,0.463476489377781,0.548760036399679,0.18791085892266,-0.746429380539125,-0.0685316799545415,0.17496828210753
260,original_futureGrid,all,xyz,1,1,accepted,0.203077344798405,0.292601438529346,0.245432844918714,-1.1757096313359,-0.0454036100007257,0.241196586965478
260,original_futureGrid,all,xyz,2,1,accepted,0.203077344798405,0.292601438529346,0.245432844918714,-1.17570963125397,-0.0454036100007257,0.241196586965478
260,original_futureGrid,all,xyz,3,1,accepted,0.203077344798405,0.292601438529667,0.245432888794731,-1.17571108984915,-0.0454032972177287,0.241196690491154
260,pitchCorrected_fixed,all,xy,1,1,accepted,0.39722209278407,0.443240994378381,0.201531546486043,-0.751710046330196,0.0526254609374281,0.194539263620944
260,pitchCorrected_fixed,all,xy,2,1,accepted,0.39722209278407,0.443240994377897,0.201531762217264,-0.751713615767647,0.052624301156944,0.19453980083813
260,pitchCorrected_fixed,all,xy,3,1,accepted,0.39722209278407,0.443240994377681,0.201532232532311,-0.751716238115441,0.0526247914238867,0.194540155435966
260,pitchCorrected_fixed,all,xyz,1,1,accepted,0.227990136447525,0.274969282528371,0.187393129251025,-0.619864175774025,-0.047041128291658,0.181392715232832
260,pitchCorrected_fixed,all,xyz,2,1,accepted,0.227990136447525,0.274969282531869,0.187391477410252,-0.619858360669288,-0.0470368871516424,0.181392108574438
260,pitchCorrected_fixed,all,xyz,3,1,accepted,0.227990136447525,0.274969282532199,0.187390712770812,-0.619852082238037,-0.0470376822578739,0.181391112462988
260,pitchCorrected_futureGrid,all,xy,1,1,accepted,0.451777116348479,0.542021573601317,0.209095245389104,-0.872224925231473,-0.0594265971553787,0.200472694387196
260,pitchCorrected_futureGrid,all,xy,2,1,accepted,0.451777116348479,0.542021573601317,0.209095245389104,-0.872224925236702,-0.0594265971553787,0.200472694387196
260,pitchCorrected_futureGrid,all,xy,3,1,accepted,0.451777116348479,0.542021573601317,0.209095245389104,-0.872224925228343,-0.0594265971553787,0.200472694387196
260,pitchCorrected_futureGrid,all,xyz,1,1,accepted,0.207260901079942,0.268170501768308,0.227690672551859,-0.951639789836148,-0.0529945156653031,0.221437629314707
260,pitchCorrected_futureGrid,all,xyz,2,1,accepted,0.207260901079942,0.268170501768279,0.227690659743738,-0.951639038447394,-0.0529945859854619,0.221437599315853
260,pitchCorrected_futureGrid,all,xyz,3,1,accepted,0.207260901079942,0.268170501768279,0.227690659743738,-0.951639038511361,-0.0529945859854619,0.221437599315853
