frame,mapFrame,class,travelM,pairs,medianZResidualM,iqrZResidualM
260,261,curb,1.40390256209896,610,0.0948793055214558,0.0483033235323149
260,261,roadMarking,1.40390256209896,66,0.0916377013378018,0.0167742817493437
260,262,curb,2.81128496428993,416,0.173058758779613,0.0484598981194415
260,262,roadMarking,2.81128496428993,41,0.167421366923061,0.0214589302789119
260,263,curb,4.22186379041083,300,0.256103027295821,0.0547400513859029
260,263,roadMarking,4.22186379041083,28,0.257069217205157,0.0126602718308226
260,264,curb,5.6355018576061,209,0.335930035728791,0.0817567800123324
260,264,roadMarking,5.6355018576061,18,0.330443938020324,0.0197788412711195
260,265,curb,7.05209417181395,144,0.429573679253897,0.0644183998567975
260,265,roadMarking,7.05209417181395,9,0.433578134221435,0.00967149631048969
260,266,curb,8.47183453669222,105,0.513962085481731,0.0681392523247959
260,266,roadMarking,8.47183453669222,3,0.521716803666877,0.013206416396035
550,551,curb,1.22923973287659,668,0.0708128348200661,0.0406715084601261
550,551,roadMarking,1.22923973287659,84,0.0735205698748407,0.0114413194339302
550,552,curb,2.45839716833336,515,0.154707531835415,0.0478076382483636
550,552,roadMarking,2.45839716833336,64,0.158583114900063,0.0125241769236781
550,553,curb,3.68823220180468,392,0.241400292018016,0.0532149915706805
550,553,roadMarking,3.68823220180468,46,0.238359165216647,0.0122219681170086
550,554,curb,4.91777244433766,292,0.322078263486629,0.0634019066147185
550,554,roadMarking,4.91777244433766,30,0.328450198210856,0.00785406136064015
550,555,curb,6.14796836041384,228,0.409849431553808,0.0666215884177432
550,555,roadMarking,6.14796836041384,22,0.411506457374676,0.0169321205215076
550,556,curb,7.37828607213898,168,0.481639748545785,0.0693950739801137
550,556,roadMarking,7.37828607213898,11,0.486627172072463,0.00583137692485092
900,901,curb,1.06799946053631,734,0.0454493145009955,0.0421036749674264
900,901,roadMarking,1.06799946053631,14,0.0506374171597538,0.00465713398002765
900,902,curb,2.13790423084012,558,0.125289926740862,0.0630768690156098
900,902,roadMarking,2.13790423084012,11,0.139159955847041,0.00927108380460895
900,903,curb,3.2099425980335,388,0.183034232257877,0.073672483570403
900,903,roadMarking,3.2099425980335,13,0.181868003905968,0.0118940910808586
900,904,curb,4.28477954090703,299,0.247927166333745,0.102163941361679
900,904,roadMarking,4.28477954090703,6,0.249359007448359,0.022937333981522
900,905,curb,5.3615257252611,194,0.306972586843759,0.103208240107224
900,905,roadMarking,5.3615257252611,5,0.315056792292213,0.00960270350989068
900,906,curb,6.44043509206473,166,0.385009909950412,0.109774389736224
900,906,roadMarking,6.44043509206473,3,0.382370834717382,0.00767539482779644
