frame,source,class,component,meanZ,marginalHeightSdM,conditionalHeightSdM,conditionalSlopeNorm,xyAreaFactor,mixtureWeight
260,fixed,curb,1,243.155201326519,0.187079652802858,0.0986902599286159,0.394254004894544,0.515286712807917,0.0915113543293813
260,fixed,curb,2,243.258125042798,0.223552663271724,0.0929649871498152,0.917781010256841,0.301522594121356,0.0538093919711673
260,fixed,curb,3,243.680229229096,0.214923130546456,0.0580358160227976,0.553006642969424,0.665190893047553,0.118073562008272
260,fixed,curb,4,243.491594833445,0.29180008628329,0.105760919698737,0.56137554839281,0.834740348840781,0.147270649515487
260,fixed,curb,5,242.964305102908,0.241487156217286,0.130727691246049,0.57018375951778,0.304722968443406,0.0544056778258158
260,fixed,curb,6,243.16639964368,0.264930804546831,0.0960312199922891,1.09912967527404,0.271219221312969,0.0484180685490922
260,fixed,curb,7,242.822931983764,0.291732631092833,0.143111658674775,0.395540224089238,0.43756505159572,0.0781242241875076
260,fixed,curb,8,242.97979594011,0.334273982775403,0.114047020877919,0.839773208102508,0.393836665412384,0.0703019510559353
260,fixed,curb,9,242.61869748568,0.265122152278403,0.128251301082692,0.447608276178983,0.495560877404858,0.0884729739606702
260,fixed,curb,10,242.59782574848,0.303671354141078,0.137620123207625,0.172210983419108,0.647263293186695,0.115263955152324
260,fixed,curb,11,242.452287814449,0.265057130232654,0.121806949493247,0.101517442824992,0.760397876206259,0.134348191444348
260,coarse,curb,1,-1.80879475317547,0.031911652232456,0.0212027013861851,0.142947976521835,0.0172170839893937,0.0161489096225008
260,coarse,curb,2,-1.87968126328236,0.0151691480064387,0.0135679325254662,0.0678338103202532,0.01,0.0113989998149566
260,coarse,curb,3,-1.81877023975463,0.0352815904989092,0.0293675475360001,0.0870173730433706,0.0242158240194145,0.0107165975281254
260,coarse,curb,4,-2.04152809696631,0.0583418657738747,0.0179843813058371,0.254402184530087,0.0347853593840677,0.0204854184152855
260,coarse,curb,5,-1.92078657929456,0.0161127428460771,0.01332801892195,0.0905452338005442,0.01,0.0140912470416158
260,coarse,curb,6,-2.33443347136072,0.0174582138832407,0.014310978745737,0.0999925593892073,0.01,0.0219779490805507
260,coarse,curb,7,-2.20518721072694,0.0669728932385068,0.0312764612338852,0.396848036268521,0.0319187415038244,0.0200471833671807
260,coarse,curb,8,-2.41609337210523,0.0563380415543809,0.0178827018831154,0.129527382239874,0.044038287015948,0.0247973258217114
260,coarse,curb,9,-2.28747515567509,0.0665082661332919,0.0325168248829113,0.365906464574103,0.0384832531242346,0.0201395739729102
260,coarse,curb,10,-2.49584056687649,0.0292148780595993,0.017819612711623,0.102465250901446,0.0627152039608768,0.0231498719376004
260,coarse,curb,11,-2.60833248659687,0.0273520684489479,0.0236577665565682,0.0686570845478216,0.0405126783775877,0.0238410613336678
260,coarse,curb,12,-2.37035835725845,0.0629502252024912,0.0323520496946003,0.378359089388147,0.03358095929232,0.0193020032809282
260,coarse,curb,13,-2.56237667052933,0.0282587831450084,0.0164191160643757,0.11056106383246,0.044441413623642,0.0228084236691207
260,coarse,curb,14,-2.67394235348709,0.033847484146749,0.0257971721207746,0.0807744449587222,0.0513580281176791,0.0236027064055339
260,coarse,curb,15,-2.45667779325723,0.064471013877715,0.0302863890245805,0.372040185922925,0.0381703987804536,0.0191688823226394
260,coarse,curb,16,-2.63323606352517,0.0293898948152738,0.0144471490115866,0.123399572525604,0.0440124793774356,0.0226351313334282
260,coarse,curb,17,-2.74659047604998,0.0365779276244223,0.0305437107465633,0.083601740902897,0.049272928862572,0.0245639039299359
260,coarse,curb,18,-2.53119070324358,0.0649497359950946,0.03265741087409,0.380996794381568,0.0326208370813988,0.0194256287689645
260,coarse,curb,19,-2.70722194691034,0.0331191816475566,0.0143556229248673,0.143039034201338,0.0433788082542749,0.0222366551477593
260,coarse,curb,20,-2.82169128374549,0.0422082145638178,0.0349771499818836,0.102289951284696,0.047524069000797,0.0245412498250974
260,coarse,curb,21,-2.60628116297216,0.0656403282378657,0.0311926700839427,0.375654914200398,0.0358748558934957,0.0198613895321648
260,coarse,curb,22,-2.79607531565351,0.0307079033598101,0.0129189925683611,0.131254250754069,0.0433388816032509,0.0228348464505976
260,coarse,curb,23,-2.89861095993372,0.0411561289310227,0.0333618584289655,0.0985100086849644,0.0470644194699722,0.0241259082154157
260,coarse,curb,24,-2.68232637559156,0.0629079719547555,0.027570567108005,0.364294721400897,0.0401036973744467,0.0193633052102169
260,coarse,curb,25,-2.86446790064168,0.0320952827421197,0.0139496490831897,0.141483807760217,0.0453273225869063,0.0243477030010088
260,coarse,curb,26,-2.97747184040969,0.0473169811716482,0.0383198072322571,0.132241296244633,0.0609931215590935,0.0253777706968321
260,coarse,curb,27,-2.75624955149533,0.074200682424614,0.0326719392472445,0.330797778288325,0.05102291558913,0.0202717576551162
260,coarse,curb,28,-2.94465343951249,0.0366169150225233,0.0171462008588803,0.148229366093708,0.0380762548071074,0.024279410242437
260,coarse,curb,29,-3.05718464323018,0.0555182422328709,0.0459565442614399,0.255073731724039,0.0256279506377067,0.0244564112772332
260,coarse,curb,30,-2.81047501648266,0.091877085259484,0.0289723202129265,0.360910040745703,0.0602424913946355,0.0197409306201198
260,coarse,curb,31,-3.02542207103816,0.0259942830273415,0.0126088864845929,0.129568912969941,0.0205683534946464,0.0174124817851356
260,coarse,curb,32,-3.13282737884426,0.0415109061973046,0.0374042844024946,0.100391427090696,0.0411342428150526,0.0219280085684493
260,coarse,curb,33,-2.91164587096749,0.0745699909768804,0.0274956645879223,0.403051619217545,0.0349548120064477,0.0182683247933455
260,coarse,curb,34,-3.13950662267309,0.0376434573389646,0.0120643082988639,0.0986641252229576,0.0375252603391602,0.0192830496601994
260,coarse,curb,35,-3.20932605280968,0.0473715418493408,0.035155921814397,0.178836210134155,0.0354948473372569,0.0188788025942058
260,coarse,curb,36,-3.00127332886602,0.068030432947289,0.0313442683740144,0.356910585003398,0.0492334895570043,0.017871505858854
260,coarse,curb,37,-3.21695276543711,0.0232420734931181,0.013445373551207,0.144124668903837,0.0135532992385686,0.0140341023219627
260,coarse,curb,38,-3.30076808473133,0.054664013737445,0.0438664781143094,0.268240707062254,0.0318524742965269,0.0183761126284045
260,coarse,curb,39,-3.10206295809152,0.0663117850492715,0.0284136840202819,0.326710920859983,0.0291251343139594,0.0128448784455131
260,coarse,curb,40,-3.25620202185762,0.0512349546957103,0.0125676224663454,0.18090295048328,0.0284281042832968,0.0178945743544803
260,coarse,curb,41,-3.39650079848604,0.0488636829056106,0.0364418469226163,0.157660092498745,0.033330554089427,0.0172295129139158
260,coarse,curb,42,-3.15767943351969,0.0877586581989829,0.0293079196009186,0.326013408857392,0.0681439329813085,0.0164418641987197
260,coarse,curb,43,-2.96530645786913,0.050913467831345,0.0105678989364337,0.340965441016351,0.0146069423711442,0.00538578866905044
260,coarse,curb,44,-3.3427250578134,0.020643606714574,0.0123178039933252,0.165659350164133,0.01,0.00477223889285708
260,coarse,curb,45,-3.48428761681892,0.0549890172040354,0.0102741784486094,0.235384174570437,0.033306350333684,0.0118307103663895
260,coarse,curb,46,-3.20949503305471,0.0736316222986143,0.022258363896297,0.307263853639394,0.0634658684354206,0.014761002528728
260,coarse,curb,47,-3.4301504204176,0.0174709039755836,0.0102329259907152,0.037864841924539,0.0384892530288897,0.00694950213809056
260,coarse,curb,48,-3.44706534352354,0.0221683200761887,0.0101446648169195,0.166369662578208,0.011847662540419,0.00705530127884117
260,coarse,curb,49,-3.28736791330808,0.0647963011857608,0.0382163981255815,0.326838507275979,0.0298943096234213,0.0124818224871084
260,coarse,curb,50,-3.5187473084344,0.0164567558581251,0.011310741531671,0.119537416476041,0.01,0.00701639318754182
260,coarse,curb,51,-3.58183792622197,0.0455199780711807,0.0176169101609766,0.278088929745098,0.0151885784045403,0.00700489327011535
260,coarse,curb,52,-3.36610917596453,0.0665479931415812,0.0142505792920834,0.301644388238118,0.0417057319139195,0.0139258531107049
260,coarse,curb,53,-3.60508511471191,0.0260016171166213,0.0109098824002262,0.132154105798621,0.0179069965033839,0.00661720762168823
260,coarse,curb,54,-3.68749734802587,0.0311589026957033,0.0130389706087628,0.0993925371481664,0.0290037684360778,0.0065691276262051
260,coarse,curb,55,-3.49089695939087,0.0574976013182043,0.0201226345792446,0.33331307458404,0.0456739100770929,0.0106659576263498
260,coarse,curb,56,-3.67286434051204,0.0111003219564762,0.0107181330503798,0.0288769310207725,0.01,0.00467803687086156
