frame,map,source,variant,start,accepted,reason,recordedPoseScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM,minimumCurvature,maximumCurvature,x,y,yaw
260,fixed,coarse,xy,1,1,accepted,0.40197148435065,0.446381928258773,0.182359687988688,-0.671481349993161,0.0385235389161947,0.178244194162682,0.239951847075499,33.5313889740228,484229.799554296,4977311.84571112,-1.34894322928088
260,fixed,coarse,xy,2,1,accepted,0.40197148435065,0.446381928268844,0.182354466784321,-0.671450083216725,0.0385218822186487,0.178239210463149,0.239952960610939,33.5314022173091,484229.799549064,4977311.84571157,-1.34894268357268
260,fixed,coarse,xy,3,1,accepted,0.40197148435065,0.446381928264937,0.182356179677496,-0.671453352090257,0.0385269204782305,0.178239873948102,0.239952527746844,33.5313842558568,484229.799550876,4977311.84570683,-1.34894274062529
260,fixed,coarse,xyz,1,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188687622,0.230324886534349,0.271860929325046,0.128980023894326,20.7570590509285,484229.935022246,4977311.68078603,-1.3602309810556
260,fixed,coarse,xyz,2,1,accepted,0.232985396222752,0.266487542619264,0.356311546562194,-1.31822188680265,0.230324886520877,0.271860929268419,0.128980023894565,20.7570590508577,484229.935022246,4977311.68078603,-1.36023098105432
260,fixed,coarse,xyz,3,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188682663,0.230324886534349,0.271860929325046,0.1289800238938,20.7570590507894,484229.935022246,4977311.68078603,-1.36023098105474
260,fixed,coarse,xyzNoCross,1,1,accepted,0.34056560449919,0.38534026469451,0.258637780183171,-1.08730447824167,0.0923538955340626,0.241586960156715,0.171878097517216,29.9498654459524,484229.873636319,4977311.80800346,-1.35620071197476
260,fixed,coarse,xyzNoCross,2,1,accepted,0.34056560449919,0.38534026469451,0.258637780183171,-1.08730447824166,0.0923538955340626,0.241586960156715,0.171878097517372,29.9498654459516,484229.873636319,4977311.80800346,-1.35620071197476
260,fixed,coarse,xyzNoCross,3,1,accepted,0.34056560449919,0.38534026469451,0.258637780183171,-1.08730447824168,0.0923538955340626,0.241586960156715,0.171878097517285,29.9498654459518,484229.873636319,4977311.80800346,-1.35620071197476
260,fixed,coarse,xyzExactPose,1,0,insufficientOverlap,0.108045595656835,0.143723413326755,1.29462079061191,-7.78060073844661,0.539596288969844,1.17680875099338,0.0120617312779505,14.7383700371386,484230.886979141,4977311.58936705,-1.47302076952676
260,fixed,coarse,xyzExactPose,2,0,insufficientOverlap,0.108045595656835,0.143723413330925,1.29462015730975,-7.78058101025821,0.53960079451613,1.17680598837288,0.0120618689051564,14.738361573941,484230.886977496,4977311.58936202,-1.47302042520491
260,fixed,coarse,xyzExactPose,3,0,insufficientOverlap,0.108045595656835,0.143723413330764,1.29462373919883,-7.78060353891091,0.539602863757457,1.17680898004812,0.012061521047726,14.7383552241915,484230.886980885,4977311.5893607,-1.47302081840408
260,fixed,coarse,xyzWideHeight,1,1,accepted,0.223225385800723,0.259868051408299,0.196635870991662,-0.769014707184525,-0.0117365189625373,0.19628530225998,0.129901123517246,22.4716018747867,484229.805472587,4977311.8987821,-1.35064550749439
260,fixed,coarse,xyzWideHeight,2,1,accepted,0.223225385800723,0.259868051407909,0.196637247336249,-0.76902367673683,-0.0117362891308405,0.196286694804855,0.129900867451507,22.4716003510828,484229.805473995,4977311.89878219,-1.35064566404261
260,fixed,coarse,xyzWideHeight,3,1,accepted,0.223225385800723,0.259868051407909,0.196637247169083,-0.769023675597734,-0.0117362891712578,0.196286694634974,0.12990086748527,22.4716003514037,484229.805473995,4977311.89878219,-1.35064566402273
260,fixed,fine,xy,1,1,accepted,0.401941693368214,0.447843361000673,0.137838864915958,-0.41343117489793,0.0264868346273246,0.135270101178141,0.269619706255287,38.6380186827134,484229.754961184,4977311.84747442,-1.34443940409012
260,fixed,fine,xy,2,1,accepted,0.401941693368214,0.447843361000976,0.137837642553989,-0.413425896591221,0.0264859249031411,0.135269033732286,0.269619836261192,38.6380230926602,484229.754959935,4977311.84747506,-1.34443931196629
260,fixed,fine,xy,3,1,accepted,0.401941693368214,0.447843361001058,0.137838009460771,-0.413424720782151,0.0264878365610173,0.135269033287092,0.269619577489003,38.6380179419358,484229.754960377,4977311.8474732,-1.34443929144455
260,fixed,fine,xyz,1,1,accepted,0.231044799313364,0.265953332069168,0.325219555272807,-0.943436508498639,0.243780493691769,0.215264558223689,0.140868696801657,23.4936222752781,484229.883077072,4977311.65459631,-1.35368974221458
260,fixed,fine,xyz,2,1,accepted,0.231044799313364,0.265953332063417,0.325221472737211,-0.943448756008663,0.243780886548891,0.215267010205459,0.14086887374968,23.4936160953384,484229.883079548,4977311.65459649,-1.35368995597396
260,fixed,fine,xyz,3,1,accepted,0.231044799313364,0.265953332065819,0.325222718026696,-0.943423833032833,0.243786849874121,0.215262138215537,0.140866764657407,23.4936057986674,484229.883076189,4977311.65458956,-1.35368952098597
260,fixed,fine,xyzNoCross,1,1,accepted,0.329486840910957,0.374687615810519,0.20975349086158,-0.743927400534145,0.090939145096913,0.189014811106594,0.211712363398708,33.1556181052798,484229.82216428,4977311.79721173,-1.35020765139289
260,fixed,fine,xyzNoCross,2,1,accepted,0.329486840910957,0.37468761581052,0.209753488303414,-0.743927387683165,0.0909391427728942,0.189014809385883,0.211712363744922,33.1556181153535,484229.822164277,4977311.79721173,-1.35020765116859
260,fixed,fine,xyzNoCross,3,1,accepted,0.329486840910957,0.37468761581052,0.209753488303414,-0.743927387787156,0.0909391427728942,0.189014809385883,0.21171236374271,33.1556181152824,484229.822164277,4977311.79721173,-1.35020765117041
260,fixed,fine,xyzExactPose,1,0,searchBoundary,0.0814732121573951,0.205650007319967,3.54142129448271,-0.479275256748983,3.53699830677514,0.176939997980746,0.0621264013251797,16.1629570939345,484230.608023726,4977308.44193313,-1.34558860011137
