frame,mapFrame,class,travelM,pairs,medianZResidualM,iqrZResidualM
260,261,curb,1.40390256209896,611,0.00962366355946864,0.0493245807575646
260,261,roadMarking,1.40390256209896,65,0.00693391460104431,0.0114219874078929
260,262,curb,2.81128496428993,416,0.00365769258243298,0.0471396011244445
260,262,roadMarking,2.81128496428993,41,-0.00156503921266449,0.0103155697315935
260,263,curb,4.22186379041083,300,0.000464902466790873,0.0555714502755915
260,263,roadMarking,4.22186379041083,28,0.00149466342107063,0.0118164274520216
260,264,curb,5.6355018576061,209,-0.0043734240057125,0.0809663756904767
260,264,roadMarking,5.6355018576061,18,-0.0102411253995593,0.0171476290434835
260,265,curb,7.05209417181395,148,0.00328060871449498,0.0609441971706668
260,265,roadMarking,7.05209417181395,9,0.0120374030599173,0.00946011732622343
260,266,curb,8.47183453669222,105,0.000183969921743632,0.0720630779670607
260,266,roadMarking,8.47183453669222,3,0.0138734779050398,0.00631797960778724
550,551,curb,1.22923973287659,668,-0.00388133691919024,0.0419345072222186
550,551,roadMarking,1.22923973287659,84,-0.00187681290882358,0.0106804755285163
550,552,curb,2.45839716833336,518,0.00505479140881748,0.0476265379862904
550,552,roadMarking,2.45839716833336,64,0.00894685896994052,0.0110538977556559
550,553,curb,3.68823220180468,391,0.0152651018220984,0.0537248923994653
550,553,roadMarking,3.68823220180468,46,0.0157643433420438,0.00907629239857477
550,554,curb,4.91777244433766,291,0.0226429816643492,0.0612910014841289
550,554,roadMarking,4.91777244433766,30,0.0272461237961403,0.0102753439797967
550,555,curb,6.14796836041384,229,0.0351243156979868,0.0778599197378269
550,555,roadMarking,6.14796836041384,22,0.0369013409225312,0.0100713955385099
550,556,curb,7.37828607213898,165,0.0280489544269056,0.0696216693254902
550,556,roadMarking,7.37828607213898,11,0.0379614975817453,0.00592424013291692
900,901,curb,1.06799946053631,735,-0.0177421878666926,0.0413624486574425
900,901,roadMarking,1.06799946053631,14,-0.0172040827230979,0.0177801958998418
900,902,curb,2.13790423084012,558,-0.00275567694702017,0.0648424151397198
900,902,roadMarking,2.13790423084012,11,0.0145088986886028,0.0187986429061799
900,903,curb,3.2099425980335,387,-0.00828912873592103,0.0776055895936194
900,903,roadMarking,3.2099425980335,13,-0.00784821432631833,0.0097777579345445
900,904,curb,4.28477954090703,296,-0.0132089179529312,0.105887024632956
900,904,roadMarking,4.28477954090703,6,-0.00222591917272785,0.0407613781773779
900,905,curb,5.3615257252611,191,-0.0194789398560282,0.110129185454854
900,905,roadMarking,5.3615257252611,4,-0.00548315204601646,0.0137846560424607
900,906,curb,6.44043509206473,165,-0.000551637996745624,0.113708875285098
900,906,roadMarking,6.44043509206473,3,-0.00120051792632925,0.00797258800498524
