frame,source,mode,class,mapComponents,sourceComponents,recordedPoseScore,optimizedPoseScore,recordedGradientX,recordedGradientY,optimizedGradientYaw
260,coarse,xy,curb,11,65,0.491827968291115,0.514015314729297,0.580870099850665,0.0932214586802511,4.53998300082271
260,coarse,xy,roadMarking,5,13,0.345135316288331,0.322919168187988,0.0740374132404926,-0.0814123612755621,-6.86935680308789
260,coarse,xy,pole,1,1,0.368951168472503,0.502211301959286,2.41562988793338,0.716509121488517,2.32948364787526
260,coarse,xyz,curb,11,65,0.23985146173939,0.261681060885968,0.206366004759845,-0.0482709322882622,1.53415829400765
260,coarse,xyz,roadMarking,5,13,0.194203388041582,0.199218465236525,-0.0426427155072972,-0.113967203929701,-2.91189130494668
260,coarse,xyz,pole,1,1,0.264901338887285,0.338563101780319,1.72975572981111,0.514933542542076,1.37773118104513
260,fine,xy,curb,11,54,0.464276887660667,0.501394033696577,0.935487157584169,0.16375174758632,4.76519570689868
260,fine,xy,roadMarking,5,13,0.331566294201738,0.328505452285463,0.4743426443274,0.0241851623470881,-5.93942084917777
260,fine,xy,pole,1,2,0.409981898242235,0.513630597090139,2.11424725415899,0.679323298980667,1.17422546036415
260,fine,xyz,curb,11,54,0.242395201143782,0.275535375398756,0.394114269593787,-0.00884043073660799,1.05348218614736
260,fine,xyz,roadMarking,5,13,0.187858509375182,0.205480350090202,0.192797090419709,-0.0508149955565857,-2.35594256328014
260,fine,xyz,pole,1,2,0.262880687421128,0.31684427072738,1.56796056440884,0.483247602943394,1.30239357605183
550,coarse,xy,curb,12,71,0.390085569145283,0.532168809544854,0.123302926233773,-0.0157228694011239,-5.30084049745401
550,coarse,xy,roadMarking,4,17,0.50731370347572,0.708824720636249,1.35168420890548,0.3591556993751,5.07741998551162
550,coarse,xy,pole,3,1,0,0,0,0,0
550,coarse,xyz,curb,12,71,0.205899831599584,0.434299824811308,-0.014336092831065,-0.0715534420959707,-4.99161484682861
550,coarse,xyz,roadMarking,4,17,0.270923034446034,0.556750787694672,0.595732344115416,0.109228280649938,3.68924364035024
550,coarse,xyz,pole,3,1,0,0,0,0,0
550,fine,xy,curb,12,56,0.470735835747206,0.703330751998378,0.560596631827628,0.0988908028403578,-7.04831023137024
550,fine,xy,roadMarking,4,18,0.404066066691354,0.767760424100365,1.73832029670238,0.466407024499879,3.31887093996612
550,fine,xy,pole,3,0,0,0,0,0,0
550,fine,xyz,curb,12,56,0.262397394162312,0.577067671569516,0.198220432018617,-0.0258432326058721,-7.21471028540735
550,fine,xyz,roadMarking,4,18,0.238380382438686,0.617357600604221,0.811769868996266,0.172601391949636,0.805560612807428
550,fine,xyz,pole,3,0,0,0,0,0,0
900,coarse,xy,curb,9,69,0.468651186688164,0.609198688135979,0.0237992129263471,0.375271974034511,-0.919115472873804
900,coarse,xy,roadMarking,2,11,0.24007074690211,0.442120092934002,0.0674363330156697,0.0338227474612421,0.168257698560582
900,coarse,xy,pole,3,12,0.159594486452342,0.0145823544337428,-0.0426760537714644,-0.00704926789226342,0.542548127150143
900,coarse,xyz,curb,9,69,0.308403620470197,0.376913761380418,0.00725814835300673,0.291418452393506,-0.035675586281203
900,coarse,xyz,roadMarking,2,11,0.136455440440424,0.235866296832332,0.0405096304657012,-0.0208352215007827,-0.264456613720397
900,coarse,xyz,pole,3,12,0.0847316400776004,0.00897404634332234,-0.017656058022649,0.0136437688087873,0.28481439560042
900,fine,xy,curb,9,56,0.415374034301491,0.586539854551337,0.0289933315444342,0.365292126135853,-2.63279505141177
900,fine,xy,roadMarking,2,10,0.270234494037546,0.51330756348092,-0.00972317701023977,0.721667404829916,1.67061139853385
900,fine,xy,pole,3,11,0.144057640978675,0.0183828228612535,-0.0365186611381101,-0.0200661201028872,0.581064921821081
900,fine,xyz,curb,9,56,0.277969040289422,0.371662969771557,0.015022767444573,0.257544493265032,-0.622308063329986
900,fine,xyz,roadMarking,2,10,0.155240498971561,0.263494001676397,0.0061251597626924,0.290001822512305,0.181991471376907
900,fine,xyz,pole,3,11,0.0683099870593513,0.00943796308752095,-0.0199778455347414,0.0093073573403574,0.28317797687472
