frame,geometry,mode,class,longitudinalOffsetM,yawOffsetDeg,score
260,original,xy,all,1.2,0,0.353105094577793
260,original,xy,all,1.3,0,0.353002689022879
260,original,xy,all,1.4,0,0.353814084009109
260,original,xy,all,1.5,0,0.355406083867241
260,original,xy,all,1.6,0,0.357637827282422
260,original,xy,all,1.7,0,0.360372101616667
260,original,xy,all,1.8,0,0.363483100837279
260,original,xy,all,1.9,0,0.366860893842496
260,original,xy,all,2,0,0.370413172039035
260,original,xy,all,2.1,0,0.374064979151154
260,original,xy,all,2.2,0,0.377757125274587
260,original,xy,all,2.3,0,0.381443898231312
260,original,xy,all,2.4,0,0.385090546745105
260,original,xy,all,2.5,0,0.388670859793566
260,original,xy,all,2.6,0,0.392165036269792
260,original,xy,all,2.7,0,0.395557929518946
260,original,xy,all,2.8,0,0.398837676147676
260,original,xy,all,2.9,0,0.401994676784293
260,original,xy,all,3,0,0.405020869906708
260,original,xy,all,3.1,0,0.407909235911289
260,original,xy,all,3.2,0,0.410653473596905
260,original,xy,all,3.3,0,0.413247799666357
260,original,xy,all,3.4,0,0.415686830881049
260,original,xy,all,3.5,0,0.417965521956928
260,original,xy,all,3.6,0,0.420079138970962
260,original,xy,all,3.7,0,0.422023251931227
260,original,xy,all,3.8,0,0.423793741115537
260,original,xy,all,3.9,0,0.425386809965505
260,original,xy,all,4,0,0.426798999029739
260,original,xy,all,4.1,0,0.428027202802165
260,original,xy,all,4.2,0,0.429068685456162
260,original,xy,all,4.3,0,0.429921094556718
260,original,xy,all,4.4,0,0.430582473889604
260,original,xy,all,4.5,0,0.431051274896649
260,original,xy,all,4.6,0,0.431326364249076
260,original,xy,all,4.7,0,0.431407030275393
260,original,xy,all,4.8,0,0.431292987895531
260,original,xy,all,4.9,0,0.430984378498512
260,original,xy,all,5,0,0.430481769720648
260,original,xy,all,5.1,0,0.429786152897898
260,original,xy,all,5.2,0,0.428898935597231
260,original,xy,all,5.3,0,0.427821934592748
260,original,xy,all,5.4,0,0.426557365765986
260,original,xy,all,5.5,0,0.425107830695854
260,original,xy,all,5.6,0,0.423476302413969
260,original,xy,all,5.7,0,0.421666109931726
260,original,xy,all,5.8,0,0.419680918879081
260,original,xy,all,5.9,0,0.417524712158627
260,original,xy,all,6,0,0.415201770204387
260,original,xy,all,6.1,0,0.412716646857474
260,original,xy,all,6.2,0,0.410074147502683
260,original,xy,all,6.3,0,0.407279305602242
260,original,xy,all,6.4,0,0.404337356975182
260,original,xy,all,6.5,0,0.401253716079034
260,original,xy,all,6.6,0,0.398033951603077
260,original,xy,all,6.7,0,0.394683760694531
260,original,xy,all,6.8,0,0.391208944920712
260,original,xy,all,6.9,0,0.387615387345121
260,original,xy,all,7,0,0.383909027831777
260,original,xy,all,7.1,0,0.380095840947752
260,original,xy,all,7.2,0,0.376181815747524
260,original,xy,all,7.3,0,0.372172933217994
260,original,xy,all,7.4,0,0.368075148315055
260,original,xy,all,7.5,0,0.363894372359251
260,original,xy,all,7.6,0,0.359636454959067
260,original,xy,all,7.7,0,0.355307169760623
260,original,xy,all,7.8,0,0.350912201024521
260,original,xy,all,7.9,0,0.346457130138439
260,original,xy,all,8,0,0.341947425108349
260,original,xy,all,8.1,0,0.337388432057542
260,original,xy,all,8.2,0,0.332785365741858
260,original,xy,all,8.3,0,0.328143303237034
260,original,xy,all,8.4,0,0.323467179751468
260,original,xy,all,8.5,0,0.318761782427582
260,original,xy,all,8.6,0,0.314031748536352
260,original,xy,all,8.7,0,0.309281563858164
260,original,xy,all,8.8,0,0.304515560319342
260,original,xy,all,8.9,0,0.299737916777713
260,original,xy,all,9,0,0.294952660006438
260,original,xy,all,9.1,0,0.290163664940353
260,original,xy,all,9.2,0,0.285374656933274
260,original,xy,all,9.3,0,0.280589214960566
260,original,xy,all,9.4,0,0.275810773067554
260,original,xy,all,9.5,0,0.271042623767322
260,original,xy,all,9.6,0,0.266287922321461
260,original,xy,all,9.7,0,0.261549688346122
260,original,xy,all,9.8,0,0.256830810298908
260,original,xy,all,9.9,0,0.252134049202605
260,original,xy,all,10,0,0.247462040838468
260,original,xyz,all,-10,0,1.53582798078979e-05
260,original,xyz,all,-9.9,0,1.74036945933381e-05
260,original,xyz,all,-9.8,0,1.97132267528728e-05
260,original,xyz,all,-9.7,0,2.23197910247594e-05
260,original,xyz,all,-9.6,0,2.52602241787683e-05
260,original,xyz,all,-9.5,0,2.8575724489732e-05
260,original,xyz,all,-9.4,0,3.23123358286866e-05
260,original,xyz,all,-9.3,0,3.65214804454691e-05
260,original,xyz,all,-9.2,0,4.12605452851782e-05
260,original,xyz,all,-9.1,0,4.65935253516597e-05
260,original,xyz,all,-9,0,5.25917292525192e-05
260,original,xyz,all,-8.9,0,5.93345526107904e-05
260,original,xyz,all,-8.8,0,6.69103234287219e-05
260,original,xyz,all,-8.7,0,7.54172254156916e-05
260,original,xyz,all,-8.6,0,8.49643060024023e-05
260,original,xyz,all,-8.5,0,9.5672573538815e-05
260,original,xyz,all,-8.4,0,0.000107676190334284
260,original,xyz,all,-8.3,0,0.000121123769571224
260,original,xyz,all,-8.2,0,0.000136179780399379
260,original,xyz,all,-8.1,0,0.000153026068506822
260,original,xyz,all,-8,0,0.000171863501518481
260,original,xyz,all,-7.9,0,0.000192913742269977
260,original,xyz,all,-7.8,0,0.000216421158419546
260,original,xyz,all,-7.7,0,0.000242654877797613
260,original,xyz,all,-7.6,0,0.000271910991428343
260,original,xyz,all,-7.5,0,0.000304514912485647
260,original,xyz,all,-7.4,0,0.000340823900728591
260,original,xyz,all,-7.3,0,0.000381229752041876
260,original,xyz,all,-7.2,0,0.000426161659689364
260,original,xyz,all,-7.1,0,0.000476089257377521
260,original,xyz,all,-7,0,0.000531525838765493
260,original,xyz,all,-6.9,0,0.000593031757937575
260,original,xyz,all,-6.8,0,0.000661218021025941
260,original,xyz,all,-6.7,0,0.000736750054671946
260,original,xyz,all,-6.6,0,0.000820351655484775
260,original,xyz,all,-6.5,0,0.000912809126103865
260,original,xyz,all,-6.4,0,0.00101497557556142
260,original,xyz,all,-6.3,0,0.0011277753831719
260,original,xyz,all,-6.2,0,0.00125220882786666
260,original,xyz,all,-6.1,0,0.00138935684951092
260,original,xyz,all,-6,0,0.00154038593268832
260,original,xyz,all,-5.9,0,0.00170655311369915
260,original,xyz,all,-5.8,0,0.00188921105917447
260,original,xyz,all,-5.7,0,0.00208981319880247
260,original,xyz,all,-5.6,0,0.00230991891203323
260,original,xyz,all,-5.5,0,0.00255119868980575
260,original,xyz,all,-5.4,0,0.00281543925430546
260,original,xyz,all,-5.3,0,0.00310454862413042
260,original,xyz,all,-5.2,0,0.00342056102655056
260,original,xyz,all,-5.1,0,0.00376564163019181
260,original,xyz,all,-5,0,0.00414209108080071
260,original,xyz,all,-4.9,0,0.00455234971916562
260,original,xyz,all,-4.8,0,0.00499900143814691
260,original,xyz,all,-4.7,0,0.00548477717796118
260,original,xyz,all,-4.6,0,0.00601255789576535
260,original,xyz,all,-4.5,0,0.00658537698431848
260,original,xyz,all,-4.4,0,0.00720642215966215
260,original,xyz,all,-4.3,0,0.00787903665843341
260,original,xyz,all,-4.2,0,0.00860671981604451
260,original,xyz,all,-4.1,0,0.00939312720376627
260,original,xyz,all,-4,0,0.0102420704461652
260,original,xyz,all,-3.9,0,0.01115751734359
260,original,xyz,all,-3.8,0,0.012143593460788
260,original,xyz,all,-3.7,0,0.0132045869250949
260,original,xyz,all,-3.6,0,0.0143449597524589
260,original,xyz,all,-3.5,0,0.0155693712020022
260,original,xyz,all,-3.4,0,0.0168827213324115
260,original,xyz,all,-3.3,0,0.0182902275881682
260,original,xyz,all,-3.2,0,0.0197975530155338
260,original,xyz,all,-3.1,0,0.0214110112422876
260,original,xyz,all,-3,0,0.0231378815795652
260,original,xyz,all,-2.9,0,0.0249868749621705
260,original,xyz,all,-2.8,0,0.0269687956193349
260,original,xyz,all,-2.7,0,0.0290974425692533
260,original,xyz,all,-2.6,0,0.0313907834441087
260,original,xyz,all,-2.5,0,0.0338724055134271
260,original,xyz,all,-2.4,0,0.0365732020934948
260,original,xyz,all,-2.3,0,0.0395331825273585
260,original,xyz,all,-2.2,0,0.0428032010608043
260,original,xyz,all,-2.1,0,0.0464462941732465
260,original,xyz,all,-2,0,0.050538210558033
260,original,xyz,all,-1.9,0,0.0551666364495725
260,original,xyz,all,-1.8,0,0.0604285951887671
260,original,xyz,all,-1.7,0,0.0664255642999325
260,original,xyz,all,-1.6,0,0.0732560327168026
260,original,xyz,all,-1.5,0,0.0810055311076177
260,original,xyz,all,-1.4,0,0.0897345939258362
260,original,xyz,all,-1.3,0,0.0994656067547311
260,original,xyz,all,-1.2,0,0.110169984872421
260,original,xyz,all,-1.1,0,0.121757511420073
260,original,xyz,all,-1,0,0.134069826601683
260,original,xyz,all,-0.9,0,0.146879914932792
260,original,xyz,all,-0.799999999999999,0,0.159898932155345
260,original,xyz,all,-0.699999999999999,0,0.172790866771694
260,original,xyz,all,-0.6,0,0.185194441813497
260,original,xyz,all,-0.5,0,0.196750494054612
260,original,xyz,all,-0.399999999999999,0,0.207132029592252
260,original,xyz,all,-0.299999999999999,0,0.216073462650985
260,original,xyz,all,-0.199999999999999,0,0.22339536124223
260,original,xyz,all,-0.0999999999999996,0,0.229021427188116
260,original,xyz,all,0,0,0.232985396222752
260,original,xyz,all,0.100000000000001,0,0.23542689944934
260,original,xyz,all,0.200000000000001,0,0.236576860542368
260,original,xyz,all,0.300000000000001,0,0.236734426812949
260,original,xyz,all,0.4,0,0.236238508974763
260,original,xyz,all,0.5,0,0.235437563120429
260,original,xyz,all,0.600000000000001,0,0.234661207174077
260,original,xyz,all,0.700000000000001,0,0.234196690544004
260,original,xyz,all,0.800000000000001,0,0.234272268709348
260,original,xyz,all,0.9,0,0.235048376572351
260,original,xyz,all,1,0,0.236616365591956
260,original,xyz,all,1.1,0,0.239003651480725
260,original,xyz,all,1.2,0,0.24218352020437
260,original,xyz,all,1.3,0,0.246087604176181
260,original,xyz,all,1.4,0,0.250619135126272
260,original,xyz,all,1.5,0,0.255665414928946
260,original,xyz,all,1.6,0,0.261108419683233
260,original,xyz,all,1.7,0,0.266832956867932
260,original,xyz,all,1.8,0,0.272732242901492
260,original,xyz,all,1.9,0,0.278711110961936
260,original,xyz,all,2,0,0.284687271139555
260,original,xyz,all,2.1,0,0.290591137392507
260,original,xyz,all,2.2,0,0.296364729864534
260,original,xyz,all,2.3,0,0.301960092209988
260,original,xyz,all,2.4,0,0.307337562150981
260,original,xyz,all,2.5,0,0.312464123738881
260,original,xyz,all,2.6,0,0.317311975401484
260,original,xyz,all,2.7,0,0.321857370110998
260,original,xyz,all,2.8,0,0.326079730463541
260,original,xyz,all,2.9,0,0.32996101240012
260,original,xyz,all,3,0,0.333485273206343
260,original,xyz,all,3.1,0,0.336638397267045
260,original,xyz,all,3.2,0,0.339407937054044
260,original,xyz,all,3.3,0,0.341783033500295
260,original,xyz,all,3.4,0,0.343754386125111
260,original,xyz,all,3.5,0,0.345314253560498
260,original,xyz,all,3.6,0,0.346456469891451
260,original,xyz,all,3.7,0,0.347176464373277
260,original,xyz,all,3.8,0,0.347471281263765
260,original,xyz,all,3.9,0,0.347339594309219
260,original,xyz,all,4,0,0.346781711423651
260,original,xyz,all,4.1,0,0.345799571917821
260,original,xyz,all,4.2,0,0.344396733044596
260,original,xyz,all,4.3,0,0.342578345219258
260,original,xyz,all,4.4,0,0.340351117732905
260,original,xyz,all,4.5,0,0.337723274855507
260,original,xyz,all,4.6,0,0.334704500437186
260,original,xyz,all,4.7,0,0.33130587451894
260,original,xyz,all,4.8,0,0.327539802097003
260,original,xyz,all,4.9,0,0.323419931410452
260,original,xyz,all,5,0,0.318961067397128
260,original,xyz,all,5.1,0,0.314179078925272
260,original,xyz,all,5.2,0,0.309090798176515
260,original,xyz,all,5.3,0,0.303713918181964
260,original,xyz,all,5.4,0,0.298066886123236
260,original,xyz,all,5.5,0,0.292168792737358
260,original,xyz,all,5.6,0,0.286039261427387
260,original,xyz,all,5.7,0,0.279698337156325
260,original,xyz,all,5.8,0,0.273166373504722
260,original,xyz,all,5.9,0,0.266463922467026
260,original,xyz,all,6,0,0.259611626862375
