order,frame,start,availableMs,waitingMs,computeMs,availabilityToPoseMs,accepted,reason,periodSeconds
1,1050,1,0,0.169,148.756,148.925,1,accepted,0.0916931629180908
2,550,3,91.6931629180908,57.8698370819092,160.937,218.806837081909,1,accepted,0.0916931629180908
3,900,2,183.386325836182,127.377674163818,158.802,286.179674163818,1,accepted,0.0916931629180908
4,900,3,275.079488754272,194.716511245728,120.155,314.871511245728,1,accepted,0.0916931629180908
5,550,1,366.772651672363,223.933348327637,115.438,339.371348327637,1,accepted,0.0916931629180908
6,900,1,458.465814590454,248.299185409546,116.611,364.910185409546,1,accepted,0.0916931629180908
7,260,1,550.158977508545,273.238022491455,105.782,379.020022491455,1,accepted,0.0916931629180908
8,700,1,641.852140426636,287.347859573364,103.264,390.611859573364,0,inconsistentClasses,0.0916931629180908
9,350,3,733.545303344727,299.209696655274,90.8309999999999,390.040696655273,1,accepted,0.0916931629180908
10,260,3,825.238466262817,298.371533737183,84.9949999999999,383.366533737183,1,accepted,0.0916931629180908
11,700,3,916.931629180908,291.691370819092,101.935,393.626370819092,0,inconsistentClasses,0.0916931629180908
12,550,2,1008.624792099,301.952207901001,104.992,406.944207901001,1,accepted,0.0916931629180908
13,350,1,1100.31795501709,315.27104498291,87.283,402.55404498291,1,accepted,0.0916931629180908
14,260,2,1192.01111793518,310.879882064819,89.0489999999999,399.928882064819,1,accepted,0.0916931629180908
15,700,2,1283.70428085327,308.253719146728,99.5779999999999,407.831719146728,0,inconsistentClasses,0.0916931629180908
16,1050,2,1375.39744377136,316.156556228638,98.8500000000001,415.006556228638,1,accepted,0.0916931629180908
17,120,3,1467.09060668945,323.337393310547,93.7530000000002,417.090393310547,1,accepted,0.0916931629180908
18,350,2,1558.78376960754,325.416230392456,88.0029999999998,413.419230392456,1,accepted,0.0916931629180908
19,120,1,1650.47693252563,321.748067474365,109.918,431.666067474365,1,accepted,0.0916931629180908
20,1050,3,1742.17009544373,339.993904556275,108.237,448.230904556274,1,accepted,0.0916931629180908
21,120,2,1833.86325836182,356.583741638183,102.901,459.484741638184,1,accepted,0.0916931629180908
22,350,1,1925.55642127991,367.811578720093,88.1099999999999,455.921578720093,1,accepted,0.0916931629180908
23,700,2,2017.249584198,364.249415802002,102.678,466.927415802002,0,inconsistentClasses,0.0916931629180908
24,700,1,2108.94274711609,375.251252883911,100.291,475.542252883911,0,inconsistentClasses,0.0916931629180908
25,900,2,2200.63591003418,383.87308996582,110.276,494.14908996582,1,accepted,0.0916931629180908
26,350,3,2292.32907295227,402.48592704773,85.7929999999998,488.278927047729,1,accepted,0.0916931629180908
27,1050,1,2384.02223587036,396.604764129639,106.771,503.375764129639,1,accepted,0.0916931629180908
28,350,2,2475.71539878845,411.708601211548,93.877,505.585601211548,1,accepted,0.0916931629180908
29,120,3,2567.40856170654,413.911438293457,96.9899999999999,510.901438293457,1,accepted,0.0916931629180908
30,700,3,2659.10172462463,419.233275375366,101.413,520.646275375366,0,inconsistentClasses,0.0916931629180908
31,260,2,2750.79488754272,428.971112457275,86.5119999999999,515.483112457275,1,accepted,0.0916931629180908
32,550,2,2842.48805046082,423.807949539185,112.583,536.390949539185,1,accepted,0.0916931629180908
33,900,1,2934.18121337891,444.717786621094,110.341,555.058786621094,1,accepted,0.0916931629180908
34,1050,3,3025.874376297,463.388623703003,101.136,564.524623703003,1,accepted,0.0916931629180908
35,260,3,3117.56753921509,472.857460784912,86.9819999999999,559.839460784912,1,accepted,0.0916931629180908
36,900,3,3209.26070213318,468.171297866821,110.645,578.816297866821,1,accepted,0.0916931629180908
37,550,3,3300.95386505127,487.143134948731,106.051,593.19413494873,1,accepted,0.0916931629180908
38,260,1,3392.64702796936,501.52197203064,90.4459999999996,591.967972030639,1,accepted,0.0916931629180908
39,1050,2,3484.34019088745,500.294809112549,98.9120000000003,599.206809112549,1,accepted,0.0916931629180908
40,120,1,3576.03335380554,507.532646194458,83.4739999999998,591.006646194458,1,accepted,0.0916931629180908
41,550,1,3667.72651672363,499.330483276367,96.1020000000001,595.432483276367,1,accepted,0.0916931629180908
42,120,2,3759.41967964172,503.757320358276,89.5460000000003,593.303320358276,1,accepted,0.0916931629180908
43,260,2,3851.11284255981,501.650157440186,72.8549999999997,574.505157440186,1,accepted,0.0916931629180908
44,900,2,3942.80600547791,482.828994522094,98.554,581.382994522095,1,accepted,0.0916931629180908
45,120,2,4034.499168396,489.708831604004,85.2950000000003,575.003831604004,1,accepted,0.0916931629180908
46,350,1,4126.19233131409,483.329668685913,75.8029999999996,559.132668685913,1,accepted,0.0916931629180908
47,700,3,4217.88549423218,467.457505767822,85.7600000000005,553.217505767822,0,inconsistentClasses,0.0916931629180908
48,550,1,4309.57865715027,461.543342849732,97.0569999999995,558.600342849731,1,accepted,0.0916931629180908
49,550,3,4401.27182006836,466.925179931641,97.0879999999994,564.01317993164,1,accepted,0.0916931629180908
50,900,1,4492.96498298645,472.34001701355,106.869000000001,579.20901701355,1,accepted,0.0916931629180908
51,700,2,4584.65814590454,487.545854095459,90.6000000000002,578.145854095459,0,inconsistentClasses,0.0916931629180908
52,1050,1,4676.35130882263,486.470691177368,95.0259999999998,581.496691177368,1,accepted,0.0916931629180908
53,1050,3,4768.04447174072,489.821528259277,85.9750000000004,575.796528259278,1,accepted,0.0916931629180908
54,350,3,4859.73763465881,484.121365341187,71.9539999999999,556.075365341187,1,accepted,0.0916931629180908
55,550,2,4951.4307975769,464.401202423096,94.2790000000002,558.680202423096,1,accepted,0.0916931629180908
56,260,1,5043.123960495,467.006039505005,78.4329999999995,545.439039505005,1,accepted,0.0916931629180908
57,1050,2,5134.81712341309,453.763876586914,92.7230000000003,546.486876586914,1,accepted,0.0916931629180908
58,120,1,5226.51028633118,454.812713668823,85.4930000000005,540.305713668824,1,accepted,0.0916931629180908
59,120,3,5318.20344924927,448.630550750733,78.0969999999996,526.727550750732,1,accepted,0.0916931629180908
60,700,1,5409.89661216736,435.053387832641,91.7820000000003,526.835387832642,0,inconsistentClasses,0.0916931629180908
61,260,3,5501.58977508545,435.161224914551,73.2489999999997,508.410224914551,1,accepted,0.0916931629180908
62,350,2,5593.28293800354,416.73706199646,72.9649999999999,489.70206199646,1,accepted,0.0916931629180908
63,900,3,5684.97610092163,398.026899078369,94.6720000000001,492.698899078369,1,accepted,0.0916931629180908
64,1050,3,5776.66926383972,401.023736160278,87.8220000000001,488.845736160278,1,accepted,0.0916931629180908
65,700,1,5868.36242675781,397.172573242187,83.6269999999999,480.799573242187,0,inconsistentClasses,0.0916931629180908
66,120,3,5960.0555896759,389.123410324097,77.9039999999993,467.027410324096,1,accepted,0.0916931629180908
67,260,3,6051.74875259399,375.352247406006,77.0029999999995,452.355247406006,1,accepted,0.0916931629180908
68,1050,1,6143.44191551208,360.679084487915,94.0180000000002,454.697084487915,1,accepted,0.0916931629180908
69,900,2,6235.13507843018,363.022921569824,95.739,458.761921569824,1,accepted,0.0916931629180908
70,900,3,6326.82824134827,367.087758651733,96.8680000000006,463.955758651734,1,accepted,0.0916931629180908
71,550,2,6418.52140426636,372.281595733643,95.2359999999999,467.517595733643,1,accepted,0.0916931629180908
72,350,3,6510.21456718445,375.842432815552,72.8169999999997,448.659432815552,1,accepted,0.0916931629180908
73,350,2,6601.90773010254,356.984269897461,74.2590000000005,431.243269897461,1,accepted,0.0916931629180908
74,350,1,6693.60089302063,339.56710697937,71.3420000000005,410.90910697937,1,accepted,0.0916931629180908
75,700,3,6785.29405593872,319.231944061279,84.7150000000001,403.946944061279,0,inconsistentClasses,0.0916931629180908
76,900,1,6876.98721885681,312.272781143188,95.2130000000002,407.485781143189,1,accepted,0.0916931629180908
77,260,1,6968.6803817749,315.812618225098,74.8709999999999,390.683618225098,1,accepted,0.0916931629180908
78,550,3,7060.37354469299,299.010455307007,92.5569999999993,391.567455307007,1,accepted,0.0916931629180908
79,120,1,7152.06670761108,299.893292388916,87.529,387.422292388916,1,accepted,0.0916931629180908
80,1050,2,7243.75987052917,295.748129470825,87.6610000000007,383.409129470826,1,accepted,0.0916931629180908
81,120,2,7335.45303344727,291.734966552735,87.8709999999998,379.605966552734,1,accepted,0.0916931629180908
82,260,2,7427.14619636536,287.931803634644,77.5110000000003,365.442803634644,1,accepted,0.0916931629180908
83,550,1,7518.83935928345,273.767640716553,96.6529999999999,370.420640716553,1,accepted,0.0916931629180908
84,700,2,7610.53252220154,278.746477798462,90.0359999999996,368.782477798462,0,inconsistentClasses,0.0916931629180908
85,550,3,7702.22568511963,277.108314880371,107.022000000001,384.130314880371,1,accepted,0.0916931629180908
86,260,3,7793.91884803772,292.456151962281,74.8940000000005,367.350151962281,1,accepted,0.0916931629180908
87,550,1,7885.61201095581,275.67598904419,99.3909999999989,375.066989044189,1,accepted,0.0916931629180908
88,120,3,7977.3051738739,283.393826126099,80.6759999999986,364.069826126098,1,accepted,0.0916931629180908
89,120,1,8068.99833679199,272.394663208008,85.9319999999997,358.326663208008,1,accepted,0.0916931629180908
90,900,2,8160.69149971008,266.651500289917,95.7299999999996,362.381500289917,1,accepted,0.0916931629180908
91,700,2,8252.38466262817,270.706337371827,89.243999999999,359.950337371826,0,inconsistentClasses,0.0916931629180908
92,700,1,8344.07782554626,268.275174453736,81.1770000000003,349.452174453736,0,inconsistentClasses,0.0916931629180908
93,1050,3,8435.77098846436,257.777011535644,88.3070000000004,346.084011535645,1,accepted,0.0916931629180908
94,350,1,8527.46415138245,254.409848617554,72.6139999999997,327.023848617554,1,accepted,0.0916931629180908
95,1050,2,8619.15731430054,235.350685699462,97.569,332.919685699462,1,accepted,0.0916931629180908
96,260,2,8710.85047721863,241.246522781372,77.439,318.685522781372,1,accepted,0.0916931629180908
97,350,3,8802.54364013672,227.01035986328,75.8460000000003,302.856359863281,1,accepted,0.0916931629180908
98,350,2,8894.23680305481,211.18619694519,74.4199999999999,285.60619694519,1,accepted,0.0916931629180908
99,1050,1,8985.9299659729,193.9310340271,92.0439999999996,285.9750340271,1,accepted,0.0916931629180908
100,900,3,9077.62312889099,194.305871109009,97.0150000000007,291.32087110901,1,accepted,0.0916931629180908
101,700,3,9169.31629180908,199.646708190919,81.3059999999997,280.952708190918,0,inconsistentClasses,0.0916931629180908
102,550,2,9261.00945472717,189.278545272828,101.099,290.377545272827,1,accepted,0.0916931629180908
103,120,2,9352.70261764526,198.705382354737,94.6129999999989,293.318382354736,1,accepted,0.0916931629180908
104,260,1,9444.39578056335,201.644219436645,79.6920000000014,281.336219436646,1,accepted,0.0916931629180908
105,900,1,9536.08894348145,189.664056518554,98.319,287.983056518554,1,accepted,0.0916931629180908
106,120,3,9627.78210639954,196.308893600463,82.0830000000008,278.391893600464,1,accepted,0.0916931629180908
107,120,2,9719.47526931763,186.716730682374,82.5269999999989,269.243730682373,1,accepted,0.0916931629180908
108,900,2,9811.16843223572,177.569567764282,100.349,277.918567764281,1,accepted,0.0916931629180908
109,350,2,9902.86159515381,186.244404846191,75.2880000000005,261.532404846191,1,accepted,0.0916931629180908
110,1050,1,9994.5547580719,169.857241928101,97.6299999999988,267.4872419281,1,accepted,0.0916931629180908
111,900,1,10086.24792099,175.81407901001,101.048,276.86207901001,1,accepted,0.0916931629180908
112,550,3,10177.9410839081,185.188916091919,93.1739999999994,278.362916091918,1,accepted,0.0916931629180908
113,550,2,10269.6342468262,186.687753173828,92.9660000000005,279.653753173829,1,accepted,0.0916931629180908
114,700,2,10361.3274097443,187.977590255738,89.5799999999998,277.557590255737,0,inconsistentClasses,0.0916931629180908
115,350,3,10453.0205726624,185.882427337647,77.4659999999994,263.348427337647,1,accepted,0.0916931629180908
116,1050,2,10544.7137355804,171.673264419555,90.5370000000012,262.210264419556,1,accepted,0.0916931629180908
117,120,1,10636.4068984985,170.535101501464,83.812,254.347101501464,1,accepted,0.0916931629180908
118,260,2,10728.1000614166,162.672938583373,77.2430000000011,239.915938583374,1,accepted,0.0916931629180908
119,700,3,10819.7932243347,148.242775665283,101.567000000001,249.809775665284,0,inconsistentClasses,0.0916931629180908
120,260,1,10911.4863872528,158.138612747193,82.5379999999996,240.676612747192,1,accepted,0.0916931629180908
121,700,1,11003.1795501709,149.002449829101,83.1960000000009,232.198449829102,0,inconsistentClasses,0.0916931629180908
122,350,1,11094.872713089,140.52328691101,72.6480000000009,213.171286911011,1,accepted,0.0916931629180908
123,260,3,11186.5658760071,121.50012399292,73.7190000000005,195.219123992921,1,accepted,0.0916931629180908
124,1050,3,11278.2590389252,103.543961074829,92.9339999999996,196.477961074828,1,accepted,0.0916931629180908
125,900,3,11369.9522018433,104.803798156738,95.6060000000001,200.409798156738,1,accepted,0.0916931629180908
126,550,1,11461.6453647614,108.740635238647,97.6710000000001,206.411635238647,1,accepted,0.0916931629180908
127,550,3,11553.3385276794,114.737472320556,92.3970000000001,207.134472320556,1,accepted,0.0916931629180908
128,120,1,11645.0316905975,115.459309402466,86.9750000000007,202.434309402467,1,accepted,0.0916931629180908
129,550,2,11736.7248535156,110.761146484375,96.3499999999993,207.111146484374,1,accepted,0.0916931629180908
130,350,1,11828.4180164337,115.437983566284,74.8160000000002,190.253983566285,1,accepted,0.0916931629180908
131,1050,3,11920.1111793518,98.5808206481931,92.626000000001,191.206820648194,1,accepted,0.0916931629180908
132,900,2,12011.8043422699,99.5326577301032,97.2879999999989,196.820657730102,1,accepted,0.0916931629180908
133,700,2,12103.497505188,105.147494812012,83.6509999999997,188.798494812012,0,inconsistentClasses,0.0916931629180908
134,1050,1,12195.1906681061,97.1243318939212,96.8109999999989,193.93533189392,1,accepted,0.0916931629180908
135,120,2,12286.8838310242,102.26216897583,88.6859999999992,190.948168975829,1,accepted,0.0916931629180908
136,120,3,12378.5769939423,99.2740060577386,82.668,181.942006057739,1,accepted,0.0916931629180908
137,350,2,12470.2701568604,90.2688431396488,78.1460000000003,168.414843139649,1,accepted,0.0916931629180908
138,1050,2,12561.9633197784,76.7406802215582,90.4879999999988,167.228680221557,1,accepted,0.0916931629180908
139,700,1,12653.6564826965,75.5545173034662,92.8960000000014,168.450517303468,0,inconsistentClasses,0.0916931629180908
140,900,3,12745.3496456146,76.7763543853768,93.0689999999998,169.845354385377,1,accepted,0.0916931629180908
141,700,3,12837.0428085327,78.172191467285,84.4810000000003,162.653191467285,0,inconsistentClasses,0.0916931629180908
142,550,1,12928.7359714508,70.9790285491945,94.0580000000004,165.037028549195,1,accepted,0.0916931629180908
143,260,2,13020.4291343689,73.3628656311041,71.1149999999989,144.477865631103,1,accepted,0.0916931629180908
144,260,3,13112.122297287,52.8037027130122,76.613,129.416702713012,1,accepted,0.0916931629180908
145,900,1,13203.8154602051,37.7435397949224,96.8649999999993,134.608539794922,1,accepted,0.0916931629180908
146,260,1,13295.5086231232,42.9363768768312,76.1979999999998,119.134376876831,1,accepted,0.0916931629180908
147,350,3,13387.2017860413,27.4612139587394,75.0660000000014,102.527213958741,1,accepted,0.0916931629180908
148,260,3,13478.8949489594,10.8530510406499,72.4729999999987,83.3260510406486,1,accepted,0.0916931629180908
149,1050,2,13570.5881118774,20.831888122558,88.6830000000014,109.514888122559,1,accepted,0.0916931629180908
150,120,3,13662.2812747955,17.8397252044675,78.691000000001,96.5307252044685,1,accepted,0.0916931629180908
151,350,3,13753.9744377136,4.85556228637662,76.079,80.9345622863766,1,accepted,0.0916931629180908
152,350,1,13845.6676006317,0.0613993682865299,77.5849999999991,77.6463993682857,1,accepted,0.0916931629180908
153,700,1,13937.3607635498,0.0712364501946894,90.656000000001,90.7272364501956,0,inconsistentClasses,0.0916931629180908
154,900,3,14029.0539264679,0.0870735321036875,133.719000000001,133.806073532105,1,accepted,0.0916931629180908
155,900,2,14120.747089386,42.1319106140139,99.7869999999992,141.918910614013,1,accepted,0.0916931629180908
156,550,3,14212.4402523041,50.2467476959225,99.539,149.785747695923,1,accepted,0.0916931629180908
157,1050,3,14304.1334152222,58.1115847778317,95.2079999999995,153.319584777831,1,accepted,0.0916931629180908
158,700,3,14395.8265781403,61.6464218597415,83.1939999999989,144.84042185974,0,inconsistentClasses,0.0916931629180908
159,350,2,14487.5197410583,53.164258941651,73.4649999999988,126.62925894165,1,accepted,0.0916931629180908
160,1050,1,14579.2129039764,34.9540960235597,95.1260000000005,130.08009602356,1,accepted,0.0916931629180908
161,120,2,14670.9060668945,38.4069331054686,90.0619999999996,128.468933105468,1,accepted,0.0916931629180908
162,550,2,14762.5992298126,36.7957701873785,96.8859999999996,133.681770187378,1,accepted,0.0916931629180908
163,260,2,14854.2923927307,42.012607269287,83.7289999999999,125.741607269287,1,accepted,0.0916931629180908
164,550,1,14945.9855556488,34.0694443511964,104.293,138.362444351197,1,accepted,0.0916931629180908
165,120,1,15037.6787185669,46.6902814331061,90.7979999999995,137.488281433106,1,accepted,0.0916931629180908
166,900,1,15129.371881485,45.815118515014,103.301,149.116118515014,1,accepted,0.0916931629180908
167,260,1,15221.0650444031,57.4439555969235,82.2760000000002,139.719955596924,1,accepted,0.0916931629180908
168,700,2,15312.7582073212,48.0467926788322,92.8570000000004,140.903792678833,0,inconsistentClasses,0.0916931629180908
169,900,1,15404.4513702393,49.2296297607417,98.2880000000002,147.517629760742,1,accepted,0.0916931629180908
170,700,2,15496.1445331573,55.8444668426521,98.4909999999992,154.335466842651,0,inconsistentClasses,0.0916931629180908
171,260,2,15587.8376960754,62.6613039245605,77.4480000000004,140.109303924561,1,accepted,0.0916931629180908
172,550,2,15679.5308589935,48.4361410064693,99.7920000000008,148.22814100647,1,accepted,0.0916931629180908
173,700,3,15771.2240219116,56.5529780883782,91.584000000001,148.136978088379,0,inconsistentClasses,0.0916931629180908
174,1050,2,15862.9171848297,56.4638151702876,94.6870000000022,151.15081517029,1,accepted,0.0916931629180908
175,350,2,15954.6103477478,59.4776522521983,74.4659999999975,133.943652252196,1,accepted,0.0916931629180908
176,900,2,16046.3035106659,42.2694893341067,99.965000000001,142.234489334108,1,accepted,0.0916931629180908
177,260,3,16137.996673584,50.5663264160141,77.5850000000027,128.151326416017,1,accepted,0.0916931629180908
178,350,3,16229.6898365021,36.4771634979242,72.852000000001,109.329163497925,1,accepted,0.0916931629180908
179,700,1,16321.3829994202,17.6560005798336,106.992000000002,124.648000579835,0,inconsistentClasses,0.0916931629180908
180,550,1,16413.0761623383,32.9748376617438,121.872,154.846837661744,1,accepted,0.0916931629180908
181,350,1,16504.7693252563,63.1716747436535,87.7169999999978,150.888674743651,1,accepted,0.0916931629180908
182,120,3,16596.4624881744,59.2145118255623,93.7999999999981,153.01451182556,1,accepted,0.0916931629180908
183,120,2,16688.1556510925,61.3403489074713,97.7180000000004,159.058348907472,1,accepted,0.0916931629180908
184,260,1,16779.8488140106,67.3851859893801,92.6599999999986,160.045185989379,1,accepted,0.0916931629180908
185,120,1,16871.5419769287,68.3720230712908,129.975999999999,198.34802307129,1,accepted,0.0916931629180908
186,550,3,16963.2351398468,106.681860153198,117.370999999999,224.052860153197,1,accepted,0.0916931629180908
187,1050,1,17054.9283027649,132.378697235108,107.516999999998,239.895697235106,1,accepted,0.0916931629180908
188,1050,3,17146.621465683,148.221534317017,122.084999999998,270.306534317015,1,accepted,0.0916931629180908
189,900,3,17238.3146286011,178.636371398927,129.656999999998,308.293371398925,1,accepted,0.0916931629180908
190,260,2,17330.0077915192,216.622208480835,105.229000000001,321.851208480837,1,accepted,0.0916931629180908
191,1050,1,17421.7009544373,230.179045562743,107.176000000003,337.355045562745,1,accepted,0.0916931629180908
192,120,3,17513.3941173553,245.680882644653,101.808000000002,347.488882644654,1,accepted,0.0916931629180908
193,700,1,17605.0872802734,255.815719726563,104.092999999999,359.908719726562,0,inconsistentClasses,0.0916931629180908
194,700,3,17696.7804431915,268.233556808472,99.1940000000007,367.427556808472,0,inconsistentClasses,0.0916931629180908
195,260,3,17788.4736061096,275.752393890382,89.9879999999982,365.74039389038,1,accepted,0.0916931629180908
196,120,2,17880.1667690277,274.066230972291,100.672999999997,374.739230972288,1,accepted,0.0916931629180908
197,1050,2,17971.8599319458,283.0660680542,107.455999999999,390.522068054199,1,accepted,0.0916931629180908
198,550,3,18063.5530948639,298.858905136107,123.874000000001,422.732905136108,1,accepted,0.0916931629180908
