dataset,frame,object,n,x,y,zmin,zmax,tilt,radialStd
Missisipi,100,1,12,25.820823987325,-4.28860370318095,-1.55628073215485,0.823210716247559,0.228349783660415,0.0849413694672858
Missisipi,260,1,17,-18.0346457537483,-4.28444851146025,-1.18863010406494,1.15826654434204,1.54240692561341,0.0783965095505618
Missisipi,800,1,119,5.60485986901932,-3.88704272077865,-0.899192214012146,1.37785077095032,2.20548873773769,0.0565779799898064
downTown,100,1,13,18.8864638988788,-15.9000264681303,-0.150936126708984,4.69939136505127,0.878827202847986,0.102234377293036
