accelerationRowScale,periodSeconds,isolatedChainSpectralRadius
1,0.1,0.897737886393721
1,0.5,1.29073502804192
1,1.3,6.63599511540106
1,1.5,9.27854501509319
0.1,0.1,0.975266587490216
0.1,0.5,0.882938572965913
0.1,1.3,2.19021883496123
0.1,1.5,3.03901678986891
