scenario,samples,completed,firstFailingSampleTime,positionRmseM,positionMedianM,positionP95M,positionMaximumM,yawRmseDeg,yawMaximumAbsDeg,outageWindowPositionRmseM,outageWindowPositionMaximumM,computationSeconds,amortizedComputationMsPerSample,acceptedLidarEvents,acceptedGpsEvents,outsideTrackRateEnvelope,velocityOutsideEnvelope,accelerationOutsideEnvelope,revisedHistoryVelocityOutsideEnvelope,revisedHistoryAccelerationOutsideEnvelope,maximumAbsLateralVelocityMps,maximumAbsSideSlipDeg,meanTranslationWeight,maximumQualifiedPoseGapSeconds,shortQualifiedIntervalCount,longQualifiedIntervalCount,fixedDelayMatchesConfiguration,timingWithinCertificate,flowCertificateVerified,unconditionalStabilityClaimed,invariantExtensionSamples
fusion,11690,1,NaN,0.28263813990846,0.230356249179405,0.441590600945777,2.22284939376935,0.58208720108935,3.10640810882286,0.286878670903595,0.668656876084422,9.92627,0.849124893071001,962,1168,0,49,0,34,0,0.476519335913027,4.74314009903029,0.246877673224979,1.29870115643714,0,184,1,0,1,0,49
positionOutage,11690,1,NaN,0.290165059936229,0.22925734693527,0.493096092232658,2.22284939525668,0.582082508442501,3.10640810882286,0.326940099540262,0.914760649104804,9.451868,0.808543028229256,962,968,0,49,0,34,0,0.476519335913027,4.74314009903029,0.246877673224979,1.29870115643714,0,184,1,0,1,0,49
lidarOnly,11690,1,NaN,0.46960218736795,0.271513126133634,0.903885160659473,3.65918290601911,0.58110925733177,3.1006985278482,0.327663705691631,0.914777496777081,7.57492,0.647982891360137,962,0,0,50,0,34,0,0.476519335913027,4.74314009903029,0.246877673224979,1.29870115643714,0,184,1,0,1,0,50
gpsOnly,11690,1,NaN,0.216168258910945,0.188962973764681,0.237197097630613,1.58037158309186,1.91731574772297,2.48019554935444,0.203890808889795,0.228331130508737,5.168797,0.442155431993157,0,1168,0,29,0,29,0,0.476519335913027,4.74314009903029,0,Inf,0,0,0,0,1,0,29
fusion,11690,1,NaN,0.221215976136299,0.187545097843428,0.299525461458895,1.57641420108671,0.588702621122104,3.12050900304768,0.217070662000182,0.472889568042453,13.625464,1.16556578272027,961,1168,0,72,0,34,0,0.476519335913027,4.74314009903029,0.246621043627032,1.29870115643714,0,183,1,0,1,0,72
outageNoLidar,11690,1,NaN,9.44098517172639,0.188950725757936,29.3392158724038,42.7498445693539,1.48547113137854,2.42539442951513,22.4769500112475,42.5024561906639,4.897895,0.418981608212147,0,968,0,129,91,129,90,0.476519335913027,4.74314009903029,0,Inf,0,0,0,0,1,0,129
