frame,calibration,variant,start,accepted,reason,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM,observableRank,matchedFraction,iterations,compatibility
260,identity,densityXY,1,1,accepted,0.182359687988688,-0.671481349993161,0.0385235389161947,0.178244194162682,NaN,NaN,50,0.446381928258773
260,identity,densityXY,2,1,accepted,0.182354466784321,-0.671450083216725,0.0385218822186487,0.178239210463149,NaN,NaN,51,0.446381928268844
260,identity,densityXY,3,1,accepted,0.182356179677496,-0.671453352090257,0.0385269204782305,0.178239873948102,NaN,NaN,44,0.446381928264937
260,identity,geometricXY,1,1,accepted,0.141672173385977,0.0935452437428173,-0.139988395368722,0.0217773706860293,3,1,7,0.867879150607304
260,identity,geometricXY,2,1,accepted,0.139520567982577,0.0318382999694105,-0.136199899579022,0.0302584904587971,3,1,8,0.871322346932742
260,identity,geometricXY,3,1,accepted,0.139520239783493,0.0318276684445528,-0.136199182589086,0.0302602044161642,3,1,6,0.871322347525066
260,identity,geometricHeight,1,1,accepted,0.141672329874033,0.093549048060593,-0.139988650362811,0.0217767495631387,3,1,7,0.867879150397219
260,identity,geometricHeight,2,1,accepted,0.139520569980858,0.0318383516125985,-0.136199903492788,0.0302584820560917,3,1,8,0.871322346924603
260,identity,geometricHeight,3,1,accepted,0.139520239783493,0.0318276684445528,-0.136199182589086,0.0302602044161642,3,1,6,0.871322347525066
550,identity,densityXY,1,0,searchBoundary,3.61710173559898,-0.475028332245441,3.61678986793627,-0.0474975459017963,NaN,NaN,44,0.413664510052211
550,identity,densityXY,2,0,searchBoundary,2.78286126091615,-0.489633183015904,2.78284723995031,0.00883383318630837,NaN,NaN,37,0.405907114653634
550,identity,densityXY,3,0,searchBoundary,3.19969161888705,-0.478898768582211,3.19963016856631,-0.0198302893658988,NaN,NaN,34,0.411039673706393
550,identity,geometricXY,1,0,degenerateGeometry,0.538116330529812,-0.167016055458133,0.535052105382511,0.0573448315771504,2,0.98876404494382,8,0.526678898239345
550,identity,geometricXY,2,0,degenerateGeometry,0.538248263869668,-0.0229207272367976,-0.530021715071503,0.0937452671411928,2,0.98876404494382,8,0.51765989463013
550,identity,geometricXY,3,0,degenerateGeometry,0.0774465522082661,-0.104484826449464,0.00282571115577009,0.0773949856606476,2,0.98876404494382,6,0.521157185379909
550,identity,geometricHeight,1,0,degenerateGeometry,0.538116330529812,-0.167016055458133,0.535052105382511,0.0573448315771504,2,0.98876404494382,8,0.526678898239345
550,identity,geometricHeight,2,0,degenerateGeometry,0.538248260787527,-0.0229205571202759,-0.530021717945772,0.0937452331940648,2,0.98876404494382,8,0.517659894835712
550,identity,geometricHeight,3,0,degenerateGeometry,0.0774465522082661,-0.104484826449464,0.00282571115577009,0.0773949856606476,2,0.98876404494382,6,0.521157185379909
900,identity,densityXY,1,0,searchBoundary,3.52140726545842,0.223682800441539,3.51836812954315,0.146269731108001,NaN,NaN,46,0.355300378463139
900,identity,densityXY,2,0,searchBoundary,2.51673426925535,0.126891808065666,2.51400084858526,0.117265149796849,NaN,NaN,27,0.339041583271295
900,identity,densityXY,3,0,searchBoundary,3.01984729642856,0.137425344463709,3.01666104615005,0.13868607135452,NaN,NaN,40,0.348493181500625
900,identity,geometricXY,1,1,accepted,0.040961964568074,-0.0195345716603028,-0.0409481752075842,0.00106277393886777,3,0.91304347826087,11,0.61953002905163
900,identity,geometricXY,2,1,accepted,0.0437987718036301,0.0387993635110123,-0.0406794939447044,0.0162330275644815,3,0.91304347826087,9,0.635093795061918
900,identity,geometricXY,3,1,accepted,0.0437924076521151,0.038791983517001,-0.0406764426994464,0.0162235007716486,3,0.91304347826087,6,0.635094649624075
