drive,topicExport,samples,receiverMeanHz,receiverMedianHz,rosMeanHz,clockScale
12-11-24,imu,3897,49.9992392874478,49.99663891436827,54.54444220190349,1.0909054413473198
12-11-24,steering,7792,99.98756614354957,99.98937712352631,109.07697997307328,1.0909054413473198
12-11-24,wheel_speed_report,3894,49.999152102678984,49.99338841122714,54.54434709156479,1.0909054413473198
12-11-24,corrimu,7792,100.00155471354107,107.36642080854045,109.09224018019367,1.0909054413473198
12-11-24,inspva,3897,49.99584293586586,50.35844226348696,54.540737103482016,1.0909054413473198
12-09-31,imu,5847,49.99978893398007,49.99476994616941,54.54495302269183,1.0909036655077327
12-09-31,steering,11693,99.98808115155715,99.98953989233883,109.07736423531834,1.0909036655077327
12-09-31,wheel_speed_report,5845,49.999803002057476,49.99249472340425,54.54496836960904,1.0909036655077327
12-09-31,corrimu,11695,99.99905882157981,107.42209150050186,109.0893398157848,1.0909036655077327
12-09-31,inspva,5847,50.00003118410352,50.41927950981507,54.54521729423947,1.0909036655077327
