method,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg
aligned_bestpos_10hz,accepted_lidar_frames,1083,0.0682307706680202,0.0442532390137769,0.142207844074141,0.223163754102416,0.876269621421976,0.346676859641722
unaligned_bestpos_10hz,accepted_lidar_frames,1083,0.30414909352604,0.278112456871203,0.446966264880769,1.2697952803289,0.0147737765466297,0.308254796687557
historical_transport_100hz,accepted_lidar_frames,1083,0.0993040979184422,0.066912887446265,0.199976481716039,0.403270759711562,0.735918744228994,0.375710085642502
raw_lidar,accepted_lidar_frames,1083,0.148629049118184,0.0787577505317003,0.330654846585579,0.575064923079391,0.616805170821791,0.424512740088733
