method,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,acceptedPositionRmseM
unaligned,0.397953028252893,0.287819134420933,0.581509741260652,1.84852295234051,0.0136869118905047,0.338105815859963,0.30414909352604
uncertainty_only,0.391948787894546,0.281585732620581,0.569111720071247,1.8464721834357,0.0145423438836612,0.338105815859963,0.297592980729216
geometry_only,0.121982642986198,0.0594395538334789,0.231594225144899,0.575588364971924,0.750213857998289,0.54017237736755,0.087424266402382
aligned_gain1,0.123236439074804,0.0598049917882355,0.233560490537032,0.586714429528775,0.749358426005133,0.54017237736755,0.0878727623186299
aligned_gain4,0.0784742734612255,0.0461508898139435,0.171913189765446,0.268704773566813,0.83917878528657,0.54017237736755,0.0682307706680202
