method,receiverTimeFromFirstScan,timeShiftMs,referenceX,referenceY,referenceYaw,referenceForwardShiftM,referenceLeftShiftM,unchangedMatchErrorM,unchangedMatchForwardErrorM,unchangedMatchLeftErrorM,unchangedMatchYawErrorDeg
original_piecewise_bridge,30.560393281342094,0.0,484245.48633683234,4977245.924430097,-1.4234566046542587,0.0,0.0,0.5750649258683268,0.5719196407507087,-0.06006324572918544,0.35286315802402857
neighbor_scan_radius_1,30.598893695403333,38.500414061239496,484245.58446541516,4977245.373088378,-1.4246633565743794,0.5597739833070441,0.016124437401099298,0.07714972492173591,0.012145657443664587,-0.07618768313028473,0.4220049499662502
neighbor_scan_radius_2,30.598945706022892,38.552424680798225,484245.5845969117,4977245.372344395,-1.4246646142540476,0.5605292102906818,0.01614528706432691,0.07705506068133719,0.011390430460026836,-0.07620853279351236,0.4220770097032167
neighbor_scan_radius_3,30.59851138579297,38.118104450877155,484245.5834988362,4977245.378557115,-1.4246541118662546,0.5542225992254164,0.01597118109198444,0.07806676207434095,0.017697041525292292,-0.07603442682116988,0.4214752672078688
robust_native_halfwidth_0.3,30.598866197759047,38.472916416953495,484245.5843958939,4977245.373481718,-1.424662691648099,0.5593746994373238,0.016113414465147365,0.077202714401238,0.012544941313384917,-0.07617666019433282,0.42196685249670407
robust_native_halfwidth_0.5,30.5988740181115,38.480736769404444,484245.5844156658,4977245.373369852,-1.4246628807536748,0.5594882558566041,0.016116549452323475,0.07718743760665994,0.012431384894104518,-0.07617979518150893,0.4219776874480708
robust_native_halfwidth_1.0,30.59861889257423,38.22561123213575,484245.5837706416,4977245.377019287,-1.4246567115099784,0.5557836678176815,0.016014277310995806,0.07776991149811535,0.016135972933027203,-0.07607752304018124,0.42162421582148274
robust_native_halfwidth_2.0,30.59864891257682,38.255631234726195,484245.58384653996,4977245.376589866,-1.4246574374298862,0.5562195782566343,0.016026311272081997,0.07769242335625122,0.015700062494074407,-0.07608955700126745,0.4216658079684608
