variant,originalErrorM,clockDiagnosticErrorM,accepted,rank
baseline,0.575064925868327,0.07714972408158845,1,3
without_curb,0.576142958264672,0.06460855818030482,1,3
without_pole,0.529950796479082,0.078497049254792,1,3
without_sign,0.689802410976065,0.16397553251228572,1,3
curb_only,0.251153382836236,0.6275311023878917,0,2
pole_only,0.68811061247554,0.1520008494760551,1,3
without_pole_949,0.531157112164338,0.0785937779587989,1,3
without_pole_931,0.624437900760904,0.10356425277456985,1,3
