poseMode,semanticName,pairs,uniqueTargets,weight,robustCost,remainingCorrectionM,rank
reference,curb,32,11,0.333332821139645,0.0584282686603147,0.299704024966268,2
reference,pole,3,2,0.333325511906649,0.747983140275639,0.677871777565906,3
reference,trafficSign,2,1,0.333333333333333,1.34851731893546,0.509006079900257,2
estimate,curb,32,11,0.33333284204865,0.0397543250489262,0.230696268260747,2
estimate,pole,3,2,0.333325511906649,0.0500704514589161,0.118520978111978,3
estimate,trafficSign,2,1,0.333333333333333,0.0552346454135876,0.0480077394242995,2
