variant,positionErrorM,forwardErrorM,leftErrorM,yawErrorDeg,accepted,reason,rank,similarity,x,y,yaw
baseline,0.575064925868327,0.571919640750709,-0.0600632457291854,0.352863158024029,1,accepted,3,0.931175131239781,484245.510886286,4977245.34988942,-1.41729798073775
without_curb,0.576142958264672,0.574235375208247,-0.0468448739715632,0.375512076857624,1,accepted,3,0.925699569836817,484245.524301405,4977245.34953933,-1.41690268253209
without_pole,0.529950796479082,0.527064663912122,-0.0552330222241638,0.280441439119385,1,accepted,3,0.942103922844006,484245.509079141,4977245.39496751,-1.41856197818259
without_sign,0.689802410976065,0.683746873401179,-0.0912007637166684,0.560120021852377,1,accepted,3,0.966735909921795,484245.496503182,4977245.23470261,-1.41368066606659
curb_only,0.251153382836236,-0.00805245005545226,-0.251024261293982,1.59265339664945,0,acceptedDirectional,2,0.984228946890681,484245.23685023,4977245.89554313,-1.39565955903965
pole_only,0.68811061247554,0.684457099147517,-0.0708145071862286,0.578434467312938,1,accepted,3,0.983411381864095,484245.516772822,4977245.23699293,-1.41336101869263
without_pole_949,0.531157112164338,0.528212314511306,-0.0558536355250785,0.282303080999013,1,accepted,3,0.95990535033476,484245.508633735,4977245.39374118,-1.4185294864023
without_pole_931,0.624437900760904,0.620771195556776,-0.0675708122912178,0.432807926489654,1,accepted,3,0.902735957712923,484245.510631823,4977245.300465,-1.41590268130828
