frame_index,lidar_stamp_sec,receiver_time_sec,pose_source,pose_crs,pose_height_datum,pose_reference_point,pose_x_m,pose_y_m,pose_z_m,pose_qw,pose_qx,pose_qy,pose_qz,inspva_lower_index,inspva_upper_index,interpolation_fraction,ins_status_lower,ins_status_upper
295,1717776598.56537,29.3992464622743,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484242.161001727,4977262.69209017,216.522466575699,0.768323877531596,0.0288752446044633,0.0248265107297204,-0.638927448016466,1471,1472,0.897238629848453,3,3
296,1717776598.65702,29.4988536852274,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484242.470744166,4977261.24707781,216.509224249748,0.767318023479475,0.0298066537155865,0.0254443529405824,-0.640068120703778,1476,1477,0.877599778688749,3,3
297,1717776598.74852,29.5742365222843,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484242.701719939,4977260.15436489,216.496515823525,0.766539622754843,0.0301870273091039,0.025595225274868,-0.640976313581268,1480,1481,0.646741630932939,3,3
298,1717776598.84021,29.6955812874878,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484243.070267003,4977258.39537553,216.467072063728,0.765294512528354,0.0295661709221419,0.0250205566465808,-0.642513908313343,1486,1487,0.713979891278116,3,3
299,1717776598.93279,29.8002142930673,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484243.383151084,4977256.87970123,216.442617784364,0.764155307585401,0.0292955714799493,0.0251494271830169,-0.643875719136147,1491,1492,0.945630171043522,3,3
300,1717776599.02356,29.8989308791292,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484243.672863474,4977255.45053048,216.425211278415,0.763088648335625,0.0299422356987173,0.0260652831586207,-0.645073467379129,1496,1497,0.881459472612465,3,3
301,1717776599.11555,29.9993941473357,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484243.962727857,4977253.99796032,216.406021286675,0.76213193876141,0.0301200929591933,0.0267602354130213,-0.646166834277762,1501,1502,0.904622884079695,3,3
302,1717776599.20717,30.0993117675165,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484244.245588505,4977252.55540272,216.380056985445,0.761096719431544,0.0294131809650461,0.0262010354005395,-0.647441236097917,1506,1507,0.90050389137484,3,3
303,1717776599.29848,30.1990186265198,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484244.522478981,4977251.11837521,216.35147073209,0.760215177936772,0.0280371261151777,0.0243956455407139,-0.648607473956642,1511,1512,0.885846842715774,3,3
304,1717776599.39051,30.2989406885302,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484244.795264819,4977249.68016293,216.328564875892,0.759239882620949,0.0269149416021185,0.0228998932011142,-0.649850737821893,1516,1517,0.88194994406104,3,3
305,1717776599.4817,30.3989253556374,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484245.063736434,4977248.24215598,216.317415196879,0.758186627321435,0.0269222447085092,0.0229725061859806,-0.651076412451209,1521,1522,0.881183298022148,3,3
306,1717776599.57333,30.4987022316866,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484245.326199383,4977246.80926032,216.312257339369,0.757262342171011,0.0277224621116686,0.023338640834536,-0.652104683366205,1526,1527,0.870027101656766,3,3
307,1717776599.6652,30.5603932813421,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484245.486336832,4977245.9244301,216.307329237496,0.756592340495384,0.0279352208963459,0.0235692340635238,-0.65286456860734,1529,1530,0.954579584467164,3,3
308,1717776599.757,30.6990027389524,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484245.834923659,4977243.94216687,216.287428028541,0.755180628800024,0.027474151810656,0.0236590751384677,-0.65451328254748,1536,1537,0.885052464351115,3,3
309,1717776599.84858,30.798828320497,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484246.079621662,4977242.51750079,216.271964276501,0.754150618580607,0.027659655871318,0.0233164973570849,-0.655704299881102,1541,1542,0.876331542389386,3,3
310,1717776599.94017,30.8983787559273,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484246.318231689,4977241.09796756,216.259143067208,0.753016841230346,0.0295305454500684,0.0228934170866935,-0.656939476027273,1546,1547,0.853853312540904,3,3
311,1717776600.03284,31.0000824587847,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484246.554281049,4977239.64963893,216.245014434791,0.752006177793063,0.031797153318588,0.0216838456443325,-0.658031504139411,1551,1552,0.939038456497296,3,3
312,1717776600.12543,31.1009023920878,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484246.782285657,4977238.2161683,216.225706481761,0.751221919153996,0.0318840647704089,0.0195960496875852,-0.658987882614654,1556,1557,0.980035119865582,3,3
313,1717776600.21571,31.1991545385244,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484247.000151752,4977236.82080395,216.205541418217,0.750646797643163,0.0317659379547754,0.0175743622108273,-0.659705579911827,1561,1562,0.892642442943089,3,3
314,1717776600.30752,31.2976926116307,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484247.218485937,4977235.42278532,216.196039780005,0.749823026584889,0.0297675122104175,0.018253890210554,-0.660716368430555,1566,1567,0.819546098963759,3,3
315,1717776600.39921,31.3997490370518,INSPVA,EPSG:32615,ellipsoidal,recorded_INS_output_point,484247.444900461,4977233.97657813,216.190103423042,0.749056953364834,0.0283344960155448,0.0193724332907451,-0.661615859679719,1571,1572,0.922367368701618,3,3
