index,rosTimeFromInsOrigin,receiverTimeFromInsOrigin,rosIntervalMs,receiverIntervalMs,bagMinusHeaderMs
1516,27.774634838104248,30.300000000046566,17.016887664794922,20.00000001862645,0.06556510925292969
1517,27.793601274490356,30.320000000006985,18.9664363861084,19.99999996041879,0.2238750457763672
1518,27.811347484588623,30.34000000002561,17.7462100982666,20.00000001862645,0.05745887756347656
1519,27.829970836639404,30.360000000044238,18.62335205078125,20.00000001862645,0.05340576171875
1520,27.851158618927002,30.380000000004657,21.187782287597656,19.99999996041879,0.05745887756347656
1521,27.866587162017822,30.400000000023283,15.428543090820312,20.00000001862645,0.06556510925292969
1522,27.88470482826233,30.42000000004191,18.117666244506836,20.00000001862645,0.11444091796875
1523,27.903499364852905,30.44000000000233,18.794536590576172,19.99999996041879,0.08678436279296875
1524,27.921252965927124,30.460000000020955,17.75360107421875,20.00000001862645,0.048160552978515625
1525,27.942033529281616,30.48000000003958,20.780563354492188,20.00000001862645,0.048160552978515625
1526,27.957954168319702,30.5,15.920639038085938,19.99999996041879,0.0457763671875
1527,27.976604223251343,30.520000000018626,18.650054931640625,20.00000001862645,0.10704994201660156
1528,27.994866371154785,30.540000000037253,18.262147903442383,20.00000001862645,0.0553131103515625
1529,28.013617753982544,30.55999999999767,18.75138282775879,19.99999996041879,0.05793571472167969
1530,28.06855010986328,30.580000000016298,54.932355880737305,20.00000001862645,0.0762939453125
1531,28.080679416656494,30.600000000034925,12.12930679321289,20.00000001862645,0.06365776062011719
1532,28.087271690368652,30.62000000005355,6.592273712158203,20.00000001862645,0.06198883056640625
1533,28.089457511901855,30.64000000001397,2.185821533203125,19.99999996041879,0.042438507080078125
1534,28.104880332946777,30.660000000032596,15.422821044921875,20.00000001862645,0.05745887756347656
1535,28.125998973846436,30.680000000051223,21.118640899658203,20.00000001862645,0.06103515625
1536,28.14138412475586,30.70000000001164,15.385150909423828,19.99999996041879,0.07104873657226562
1537,28.159993410110474,30.720000000030268,18.609285354614258,20.00000001862645,0.07343292236328125
1538,28.177992820739746,30.740000000048894,17.99941062927246,20.00000001862645,0.0514984130859375
1539,28.197078943252563,30.760000000009313,19.086122512817383,19.99999996041879,0.050067901611328125
1540,28.219110012054443,30.78000000002794,22.031068801879883,20.00000001862645,0.23293495178222656
1541,28.233760118484497,30.800000000046566,14.650106430053711,20.00000001862645,0.05793571472167969
1542,28.251643180847168,30.820000000006985,17.8830623626709,19.99999996041879,0.3342628479003906
1543,28.27032470703125,30.84000000002561,18.68152618408203,20.00000001862645,0.14448165893554688
1544,28.28808879852295,30.860000000044238,17.76409149169922,20.00000001862645,3.1147003173828125
1545,28.3089280128479,30.880000000004657,20.839214324951172,19.99999996041879,0.10085105895996094
1546,28.324832439422607,30.900000000023283,15.904426574707031,20.00000001862645,0.07939338684082031
1547,28.343790531158447,30.92000000004191,18.958091735839844,20.00000001862645,0.07128715515136719
1548,28.361490964889526,30.94000000000233,17.7004337310791,19.99999996041879,0.04673004150390625
