frame,originalTime,neighborTime,clockDifferenceMs
295,29.399246462274263,29.39905532393528,-0.1911383389838761
296,29.49885368522742,29.486814614375405,-12.039070852015499
297,29.574236522284302,29.59711468708136,22.8781647970564
298,29.6955812874878,29.68668084312048,-8.900444367320404
299,29.800214293067306,29.79826079038329,-1.9535026840173941
300,29.89893087912925,29.899136689426314,0.20581029706434606
301,29.999394147335742,29.999322839937562,-0.07130739817995391
302,30.099311767516493,30.09937745177324,0.06568425674657874
303,30.199018626519756,30.198735260967428,-0.28336555232755245
304,30.298940688530177,30.29942879112275,0.4881025925733695
305,30.398925355637438,30.39858204657862,-0.3433090588167431
306,30.49870223168664,30.479550752510516,-19.151479176123587
307,30.560393281342094,30.598893695403333,38.500414061239496
308,30.699002738952448,30.679755107474445,-19.247631478002347
309,30.798828320496966,30.798684778502093,-0.14354199487343067
310,30.898378755927304,30.898864907921556,0.48615199425228184
311,31.000082458784735,30.99968044999728,-0.4020087874572198
312,31.10090239208779,31.100882200362044,-0.020191725745632993
313,31.19915453852443,31.198467155226,-0.6873832984304329
314,31.2976926116307,31.2995198126048,1.8272009740982753
315,31.399749037051794,31.398511516552503,-1.237520499291378
