frame,target,semanticName,points,forwardOffsetFromMapM,leftOffsetFromMapM,forwardSpreadM
295,949,pole,93,0.320798080199527,-0.268512510921424,0.0958012003653318
296,949,pole,135,0.291670957287481,-0.230618944785665,0.100830216459305
297,949,pole,174,-0.112200521395947,-0.213159135667616,0.0991375489324368
298,949,pole,209,0.15571218246251,-0.148736603007662,0.0897511419187751
299,949,pole,279,0.188071427280197,-0.106907251806324,0.0799361209874492
300,949,pole,349,0.111440819818219,-0.0646593615229523,0.0662295831847349
301,949,pole,231,0.0733246000369195,-0.0312382181785709,0.0520195907078955
302,949,pole,360,-0.0316472019581873,0.00314373633089414,0.0688763586789624
303,949,pole,321,-0.0736923139005987,0.0445416884199441,0.0868575946206385
304,949,pole,251,-0.113911769971687,0.0848270870969238,0.0927029481717649
305,949,pole,172,-0.144454044266018,0.138807815263224,0.087952915274552
306,949,pole,101,-0.163108010063673,0.168927860013086,0.0853995993690721
307,949,pole,93,-0.743390450865597,0.178028469682031,0.0901185838702838
308,949,pole,70,-0.170657900151569,0.240954482787605,0.0833582724242729
309,949,pole,57,-0.212286356545581,0.292420260267615,0.0886401093352023
310,949,pole,32,-0.278927194454295,0.312936608255941,0.0888167800215111
311,949,pole,42,-0.226573497814708,0.35092007211134,0.095966076028581
312,949,pole,22,-0.242342557978198,0.392454906886839,0.10294460898045
313,949,pole,31,-0.268544266739552,0.433068175326313,0.0878739780213043
314,949,pole,24,-0.293409343812471,0.476876079602551,0.0938211443451375
302,931,pole,21,0.00853464467669163,-0.14440830391917,0.0633986059393716
303,931,pole,47,0.0355460722773823,-0.096883501055557,0.101337199507027
304,931,pole,51,0.0325429479924156,-0.0665752559684866,0.100632490017653
305,931,pole,62,0.0159810176189867,-0.00942114400111179,0.103342550329087
306,931,pole,54,0.00328013794019855,0.0243289824699172,0.106568012039978
307,931,pole,56,-0.552953767009004,0.0428092311571766,0.101460552555234
308,931,pole,58,-0.0496745748922472,0.106534116294228,0.100913141151165
309,931,pole,48,-0.0873255797342992,0.119860055948341,0.0872358976909743
310,931,pole,37,-0.153203715370311,0.193414315331294,0.0655647365924455
295,1203,trafficSign,15,-0.0413861421026859,-0.26668880934422,0.0319813603158033
296,1203,trafficSign,21,-0.0288080266629689,-0.230863450413659,0.0384909450224834
297,1203,trafficSign,20,-0.395374761711744,-0.218731879496487,0.029379064021835
298,1203,trafficSign,24,-0.0234644989740476,-0.153750136561281,0.0326545591572197
299,1203,trafficSign,21,0.0764182921466662,-0.131521865697879,0.0357429178476827
300,1203,trafficSign,19,0.0642151085520201,-0.0734080441215558,0.0461503333856798
301,1203,trafficSign,16,0.0843902306599486,-0.0338274820838225,0.0436152512475254
302,1203,trafficSign,13,0.0782159873943957,0.0103362828645839,0.0514912487799643
303,1203,trafficSign,15,0.0818842744277537,0.0461329859839131,0.0734145094242676
304,1203,trafficSign,11,0.0929295836587005,0.0618426388072212,0.0518770877115909
305,1203,trafficSign,11,0.0709588296969977,0.133709404144984,0.0478895872473432
306,1203,trafficSign,9,0.139229207103131,0.0941693060886547,0.0650234260598129
307,1203,trafficSign,7,-0.490378336665079,0.14203186025728,0.0482839953779828
308,1203,trafficSign,6,0.0628802856542324,0.232693609561398,0.0182392043502267
309,1203,trafficSign,4,0.13789335977936,0.291846479755233,0.0458115714391621
310,1203,trafficSign,4,0.0896514860371236,0.25376905974869,0.0490724267895604
311,1203,trafficSign,4,0.00709661287970882,0.387467205592943,0.0900275964217461
312,1203,trafficSign,4,0.0300112674237259,0.358541018201218,0.031562774663513
313,1203,trafficSign,4,0.0319687433579175,0.350140837402299,0.0797260915908528
314,1203,trafficSign,3,0.0690767528714318,0.471247022354872,0.0693342498027182
315,1203,trafficSign,2,0.0797886790304909,0.52470960998645,0.0995532622455814
