scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.397953028252893,0.287819134420933,0.581509741260652,1.84852295234051,0.0136869118905047,0.338105815859963,1083,0,0.093715
both,outage_40_60,199,0.270660094385175,0.268199401511964,0.357479766234876,0.420349018591944,0.0050251256281407,0.198727060530124,198,0,0.093715
both,recovery_60_70,100,0.301396046365672,0.268787080383813,0.47276839647049,0.561853168569415,0,0.476421801775567,95,0,0.093715
lidar_only,full,1169,0.255781501497361,0.0707532751851186,0.291803092162908,2.03499540666631,0.704020530367836,0.329623772959468,0,86,0.100155
lidar_only,outage_40_60,199,0.0671302328974626,0.0484044801503864,0.136640180346488,0.177990015086893,0.869346733668342,0.198718199362309,0,1,0.100155
lidar_only,recovery_60_70,100,0.124667454266298,0.0830612098769419,0.23307311608158,0.281323147152918,0.63,0.482237988501035,0,5,0.100155
gnss_only,full,1169,1.85375066396182,1.83262295429546,2.16316205552502,2.23258466006966,0.000855431993156544,1.166042346693,0,0,0.094565
gnss_only,outage_40_60,199,1.80406005635765,1.81068380248424,1.87735828505442,1.87909218952053,0,1.06809175341295,0,0,0.094565
gnss_only,recovery_60_70,100,1.80637240679895,1.83544391315081,1.86358947635463,1.86451715009362,0,1.190858419153,0,0,0.094565
gnss_outage,full,1169,0.382895222669011,0.263605519681705,0.581509741260652,1.84852295234051,0.157399486740804,0.338104929266046,885,1,0.088818
gnss_outage,outage_40_60,199,0.0698143350089405,0.0531585067275332,0.137976710724555,0.177990015086893,0.849246231155779,0.198718199362994,0,1,0.088818
gnss_outage,recovery_60_70,100,0.299118775863364,0.268763551143547,0.472764990774663,0.56184379348939,0,0.476421801775567,95,0,0.088818
lidar_outage,full,1169,0.80873298984887,0.327574287152834,1.80929990553232,1.88540363228779,0.0128314798973482,0.36886022677397,885,0,0.086898
lidar_outage,outage_40_60,199,1.72299477183884,1.75673077181441,1.87978976740688,1.88540363228779,0,0.4218981727133,0,0,0.086898
lidar_outage,recovery_60_70,100,0.350704421837664,0.283939858319232,0.531970455096538,1.2612006895551,0,0.451380802856781,95,0,0.086898
both_outage,full,1169,0.894792697286248,0.326865835872357,2.35673597210943,2.89391731198418,0.0128314798973482,0.328485298618792,885,199,0.075812
both_outage,outage_40_60,199,1.95181171095411,2.00064419837532,2.82041527226397,2.89391731198418,0,0.0904976389031916,0,199,0.075812
both_outage,recovery_60_70,100,0.404348574633147,0.283939858319232,0.558142282423374,1.97989036069253,0,0.461007448174576,95,0,0.075812
alternating,full,1169,0.566981049473382,0.394460159649634,1.04311351556738,1.7624330576374,0.0650128314798974,0.330215772001732,0,36,0.065911
alternating,outage_40_60,199,0.497888817482746,0.377011632656696,0.897477813920265,1.01527888003598,0.0653266331658292,0.176841388285432,0,1,0.065911
alternating,recovery_60_70,100,0.519317548682382,0.402229378576365,0.899156968335392,1.04924867246978,0.02,0.582050109936057,0,1,0.065911
