variant,positionRmseM,positionP95M,maximumM,yawRmseDeg,peak8to10M,peak80to85M
production,0.0810329491266135,0.150254673494565,0.353606635172619,0.545421865333222,0.353606635172619,0.29978274343983
reference_lidar_xy,0.0508732493359455,0.114386803072633,0.17065955462064,0.545310377078473,0.164596691208971,0.17065955462064
reference_lidar_yaw,0.0861204191950698,0.17469048780786,0.350020910554722,0.0214554325841782,0.350020910554722,0.330543273920103
reference_lidar_pose,0.0569098986030789,0.133994518686505,0.202696116073291,0.0212335291822508,0.161312328794067,0.202696116073291
