frame,poseMode,semanticName,pairs,uniqueMapTargets,classWeight,robustWeight,robustScore,meanLongitudinalResidualM,meanLateralResidualM,classCorrection,weightedClassCorrection,eigenRatio
30,reference,curb,79,5,0.333333333333333,0.292545075225279,0.33103424292503,0.33184644625933,0.0978601745861164,0.325701818247872,0.0517622280426378,0.217012970864856
30,reference,pole,13,6,0.333333333333333,0.321568667132345,0.075497895143417,0.0248344867773696,0.0157461210669982,0.0338382246624322,0.0237873819134561,0.217012970864856
30,reference,trafficSign,39,11,0.333333333333333,0.315931465724688,0.118927011305968,-0.0183183220681009,0.0821616652815064,0.0423532276635221,0.0268295520335725,0.217012970864856
30,estimate,curb,79,5,0.333333333333333,0.292211797309313,0.330683380577624,0.290139801678161,0.0973656554972188,0.322752014082778,0.0474552114446246,0.218332828203449
30,estimate,pole,13,6,0.333333333333333,0.323149084540491,0.0655311795843021,0.00133346949215897,-0.0106865642085485,0.00941063172714386,0.0050036533649061,0.218332828203449
30,estimate,trafficSign,39,11,0.333333333333333,0.31726351912107,0.109456442015306,-0.0388630297812344,0.0644186514534937,0.0208151959772866,0.00863020808172676,0.218332828203449
75,reference,curb,35,3,0.333333333333333,0.287908775054244,0.365627742621674,0.103788557712025,0.433934877047795,0.127897513221363,0.0785721492579762,0.364511629702047
75,reference,pole,24,8,0.333333333333333,0.219438920931997,1.80362688082877,0.0402373247278875,0.0368130479814466,0.172431854526247,0.135709639514837,0.364511629702047
75,reference,trafficSign,38,11,0.333333333333333,0.296093204687568,0.277366500650838,0.0250685171924145,0.118044847053225,0.0791055056282562,0.0689632462360395,0.364511629702047
75,estimate,curb,35,3,0.333333333333333,0.292004922407486,0.340723549878064,0.060510948184449,0.248235271819791,0.21518971564356,0.0540125970116212,0.357468104605909
75,estimate,pole,24,8,0.333333333333333,0.213146619889024,1.61634602968609,0.0368628532527802,-0.0329484569510112,0.0771645368723803,0.0526549210728586,0.357468104605909
75,estimate,trafficSign,38,12,0.333333333333333,0.292345650557066,0.281417377216063,-0.0061117478453398,0.0733193719721276,0.0512305962195342,0.0486877565198863,0.357468104605909
85,reference,curb,146,10,0.333333333333333,0.216549647528515,1.40780058935429,0.757546068339614,0.684170118406568,0.217141797606082,0.189630955320006,0.523986736737418
85,reference,pole,17,8,0.333333333333333,0.163434041712411,1.86263443523511,0.0604069588383156,-0.179170710653614,0.328014717395049,0.215660067402203,0.523986736737418
85,reference,trafficSign,41,9,0.333333333333333,0.271241799520713,0.485430328783226,0.0547136516291037,-0.253555227664332,0.295946084357167,0.170083483917138,0.523986736737418
85,estimate,curb,143,8,0.333333333333333,0.237166831669305,1.22276313635841,0.712533957651165,1.06804776185648,0.227466210746401,0.122439065953116,0.484620144212815
85,estimate,pole,17,7,0.333333333333333,0.248282212910732,1.12208621944074,0.0730106191315261,-0.0141746165670068,0.170232629789202,0.089561573302373,0.484620144212815
85,estimate,trafficSign,41,10,0.333333333333333,0.307923112356357,0.172942235525224,-0.0461665862090348,0.0371616068543796,0.0483979747025373,0.0470075997560066,0.484620144212815
90,reference,curb,162,7,0.333333333333333,0.195258760643852,1.54784432068826,1.27231631849168,1.00216655138592,0.312182092875321,0.217458055867162,0.500337569900849
90,reference,pole,23,13,0.333333333333333,0.149943799210971,2.04782687594034,-0.0596514822421099,0.0958748234227988,0.231162174899898,0.207338365532261,0.500337569900849
