frame,variant,candidateErrorM,longitudinalErrorM,lateralErrorM,yawErrorDeg,accepted,reason,rank,similarity,matches,correctionM,differenceFromProductionM
30,reproduce,0.0256370069058312,-0.0241878807014569,-0.0084972083805051,-0.118356584071775,1,accepted,3,0.66761408357748,131,0.0161780674236374,0.0
30,exact_initial,0.0256326093343945,-0.0241861263620024,-0.0084889311983866,-0.11835004019713,1,accepted,3,0.667614516060904,131,0.0161855125915192,8.46105494272974e-06
30,exact_window_motion,0.0249571841948215,-0.0168522679979136,-0.0184082075787065,-0.103771428275295,1,accepted,3,0.667191522389374,131,0.0062534617070139,0.0123304143824583
30,single_scan,0.0138575133751632,-0.0137055960496473,0.0020462927128637,-0.189383143338507,1,accepted,3,0.629955104434004,46,0.0267251812786959,0.0148675386943311
30,without_curb,0.0287668385770255,-0.0271577440800349,-0.0094861972465245,-0.11107686910547,1,accepted,3,0.64741242368627,52,0.0163698494633981,0.0031302056585037
30,without_pole,0.0335336115463238,-0.0188283717785431,-0.0277487931180565,-0.110608247121267,1,accepted,3,0.75762163680448,118,0.003814941973464,0.0199836896193349
30,without_sign,0.0222525543469631,-0.0222399666745569,-0.0007483697476141,-0.136080831722848,1,accepted,3,0.5905861136698,92,0.0234154071364298,0.0079899229792769
30,uniform_map_prior,0.0299316112100055,-0.0252508992445061,-0.0160715101023746,-0.110814273121208,1,accepted,3,0.683305969587626,131,0.0097389896110569,0.0076485328656403
85,reproduce,0.492160110194266,-0.100659694039846,0.48175637002767,-0.749775996794175,1,accepted,3,0.512875443475267,201,0.015737586084907,0.0
85,exact_initial,0.485818182067531,-0.106424890749404,0.4740179834736,-0.767775948943459,1,accepted,3,0.508529691491813,201,0.0239708738969206,0.0096498766603577
85,exact_window_motion,0.439271189076671,-0.105257344481282,0.426473995673336,-0.773938211716423,1,accepted,3,0.507652906704545,203,0.0622589138070209,0.0554732305155768
85,single_scan,0.506412487180583,-0.094190157620829,0.497575945338787,-0.764770735293427,1,accepted,3,0.557426498779801,74,0.0149803278161188,0.0170913388738592
85,without_curb,0.537641598868781,-0.143581700048934,0.518114643920857,-0.884950975736839,1,accepted,3,0.57590394742604,58,0.0667433735811681,0.0562514238071916
85,without_pole,0.420645473005807,-0.0505048603163234,0.417602529978815,-0.206545747793635,1,accepted,3,0.590105083297914,187,0.0762976393455141,0.0814323187613381
85,without_sign,0.455089306968156,-0.156735800685861,0.427247195543889,-1.15075697992484,1,accepted,3,0.377990497625589,159,0.0921057335126347,0.0782034515828976
85,uniform_map_prior,0.492941233387979,-0.0957700665946386,0.48354850213657,-0.750397715383281,1,accepted,3,0.521294352658628,201,0.010579486194857,0.0052077052574692
90,reproduce,0.745265958617022,0.0427655000714357,0.744037943304633,-0.376871103591349,1,accepted,3,0.460770568775876,225,0.0330547182868377,5.8207660913467394e-11
90,exact_initial,0.745943629125893,0.0422938091640661,0.744743668344956,-0.379034947070777,1,accepted,3,0.461912050360488,225,0.0338242221678419,0.0008488464123292
90,exact_window_motion,0.702973657677508,0.0490410163119926,0.701260965766369,-0.397474110007689,1,accepted,3,0.460085004657563,225,0.0101805070155979,0.0432348459736748
90,single_scan,0.819359959827243,0.0087334999976681,0.819313413625025,-0.329882118596634,1,accepted,3,0.553981587630674,74,0.11476475504385,0.0826109766924648
90,without_curb,0.794958212064206,0.0039982845327957,0.794948157208452,-0.535066883591383,1,accepted,3,0.51639334956637,64,0.0943086059346585,0.0639902093033618
90,without_pole,0.680757009502784,0.0820300660321815,0.675796695947775,0.196820043769772,1,accepted,3,0.526490144712493,203,0.0494607620216735,0.0787310229360442
90,without_sign,0.720514902853218,-0.0113661702694084,0.720425246230995,-0.743021746436418,1,accepted,3,0.338802078422866,185,0.0597002109429909,0.05905757525378
90,uniform_map_prior,0.730488932307673,0.055316430440003,0.72839149689393,-0.380439417839463,1,accepted,3,0.470704943781382,225,0.0186958893814295,0.0200583433125759
92,reproduce,0.844665886034694,0.0304328416093014,0.844117468829047,-0.755007798306954,1,accepted,3,0.403164201118354,193,0.0228320766485569,9.31322574615479e-10
92,exact_initial,0.4099791006675,-0.139889134400114,-0.385375003160452,-2.06566790726758,1,accepted,3,0.320486856346964,188,1.26332721598253,1.24123378691856
92,exact_window_motion,0.789288905016123,0.0377814053260552,0.788384132890268,-0.720467811158318,1,accepted,3,0.404755957294997,192,0.0768205252090401,0.0562157107343801
92,single_scan,0.766958802313436,-0.0238462504789043,0.766587999373952,-1.15749088096877,1,accepted,3,0.288176058881605,68,0.117046370501594,0.0946416312491047
92,without_curb,0.918219153293751,0.009194708327956,0.918173115928721,-0.691792890584185,1,accepted,3,0.529895884372794,63,0.060897935296365,0.0770408796564486
92,without_pole,0.810407326944472,0.0999960669255003,0.804214413054575,-0.536563292951378,1,accepted,3,0.436296908038894,166,0.0860928913332907,0.0801953633525221
92,without_sign,0.701087411648464,-0.0928048351360252,0.694917852229541,-1.52657352846447,1,accepted,3,0.203732273411313,157,0.215460857345983,0.193514987335025
92,uniform_map_prior,0.818259236154555,0.0712401058977682,0.815152148291293,-0.751686900411943,1,accepted,3,0.40942398153386,192,0.0594074049787799,0.0500422090490469
94,reproduce,0.818690558731339,0.0437284681068244,0.817521896974547,-1.12722886930915,1,accepted,3,0.258379496466521,141,0.037620435891433,0.0
94,exact_initial,0.416338569124608,-0.0822856401970151,-0.40812605596567,-1.24388827293541,1,accepted,3,0.316037477469318,145,1.26183286855028,1.23210894812032
94,exact_window_motion,0.753870087101014,0.0479028756172182,0.752346610767465,-1.0921816887993,0,notConverged,3,0.259404851132665,141,0.0947452471384,0.0653088325591403
94,single_scan,0.428120875118093,-0.104667941735344,0.415129022937168,-1.82433244434964,1,accepted,3,0.20909597459123,32,0.46351328325909,0.42888403972415
94,without_curb,0.958919108599471,0.0086547035093355,0.95888005138514,-0.816152580789755,1,accepted,3,0.402735283234982,63,0.129783473867201,0.145644418984763
94,without_pole,0.738394372329789,0.127973251780954,0.727220115176218,-0.847197920134491,1,accepted,3,0.320287312447605,117,0.130833590773458,0.1234973496568
94,without_sign,0.430182397051408,-0.325880744408878,-0.280817797079192,-1.97989691450378,1,accepted,3,0.186473821774685,107,1.19289747118898,1.15886196482176
94,uniform_map_prior,0.735526444621784,0.0952586219295337,0.729331848808242,-1.22159601277947,1,accepted,3,0.261049609541258,142,0.117902897186648,0.102141281314498
200,reproduce,0.0277805783730848,-0.0222282352244776,-0.0166633158029366,-0.224742317484072,1,accepted,3,0.575892230090801,237,0.0213922796556959,0.0
200,exact_initial,0.0277806257861844,-0.0222266645559075,-0.0166654898455215,-0.224707874775572,1,accepted,3,0.575887521189282,237,0.0213895976556797,2.68206281026612e-06
200,exact_window_motion,0.0306703726591785,-0.020882364386997,0.0224632726169087,-0.231677362217089,1,accepted,3,0.576442861558012,237,0.0575020300456589,0.0391497291138414
200,single_scan,0.0163127968848062,-0.0148204636476903,0.0068162452620511,-0.264554402869985,1,accepted,3,0.640841633770943,82,0.0410691584687039,0.0246204156654259
200,without_curb,0.030198610992203,-0.0217323895585861,0.0209680554637825,-0.190400785410109,1,accepted,3,0.542993772863762,18,0.056214319458053,0.0376346378531538
200,without_pole,0.0563457267225763,-0.0505016719124866,0.0249884384053669,-0.686191346976835,1,accepted,3,0.782003262198801,224,0.0717238758664112,0.0503413930158849
200,without_sign,0.232782600108364,-0.0686301682467277,-0.222435696145282,0.719662658067977,1,accepted,3,0.656986164486669,232,0.19754946290943,0.210939355976916
200,uniform_map_prior,0.0273289524939278,-0.0220602287420237,-0.0161312724936675,-0.223103661509807,1,accepted,3,0.586262593571297,237,0.0217267482704489,0.0005579392987454
425,reproduce,0.0772046176685509,-0.0239995241174945,-0.0733796690608572,0.341389635101212,1,accepted,3,0.549769701580477,264,0.0313920784850151,0.0
425,exact_initial,0.0771963562952283,-0.0239990288189943,-0.0733711390194054,0.341407945698516,1,accepted,3,0.549770158587707,264,0.0313972664227655,8.54440915299245e-06
425,exact_window_motion,0.0562367792913486,-0.032083064258362,-0.046187144670976,0.292291657004046,1,accepted,3,0.54971679730765,264,0.0573441162987042,0.0283685918561937
425,single_scan,0.113580295373582,-0.0550487266516068,-0.0993484835877571,0.448394663351072,1,accepted,3,0.648340990561499,81,0.0551225560121292,0.0404775531120255
425,without_curb,0.0405639880429965,-0.0229370282023226,-0.0334563874797956,0.416199272164321,1,accepted,3,0.525668115152684,18,0.064532809327251,0.0399374174148816
425,without_pole,0.0308474652657937,0.0026451470893898,-0.0307338463294109,0.132042759604763,1,accepted,3,0.715180239054209,262,0.0631816642365895,0.0502852334206069
425,without_sign,0.107527571103444,-0.0375855970661039,-0.100744734058861,0.310488520333583,1,accepted,3,0.425555220693571,248,0.0380148630250985,0.0305520565676015
425,uniform_map_prior,0.0709015512009794,-0.0302546455232118,-0.0641224327904822,0.356751488116069,1,accepted,3,0.556719703509249,264,0.0422733280080353,0.0111724199332914
600,reproduce,0.0401024294947707,-0.0315699674061185,0.0247293754340798,0.450527342487301,1,accepted,3,0.542770552221987,133,0.187729400909368,0.0
600,exact_initial,0.0401026956333525,-0.0315742087654808,0.0247243915576328,0.450533177990334,1,accepted,3,0.542770276491573,133,0.187732632780973,6.54432224747601e-06
600,exact_window_motion,0.0795716077305841,-0.0355177142312026,0.071204864529192,0.450332861776176,1,accepted,3,0.541544750863043,133,0.20529307782423,0.0466428535965034
600,single_scan,0.102909578972061,-0.0938770331844108,-0.0421602192202545,0.575150197648495,1,accepted,3,0.825723061350812,38,0.248735330887756,0.0914132830551533
600,without_curb,0.0434475503715129,-0.0316661697762186,0.0297479969912068,0.440023659287206,1,accepted,3,0.569756294505038,7,0.188828669036861,0.0050195435280185
600,without_pole,0.0306467715854088,0.0306464841267752,0.0001327376191452,0.562191794938171,1,accepted,3,0.691426878349176,130,0.122643079313002,0.0669020286175538
600,without_sign,0.122304975520109,-0.122022329859676,-0.0083101174835784,0.695172165271736,1,accepted,3,0.391351921054635,129,0.274861534833304,0.0962976529604212
600,uniform_map_prior,0.0406803373768456,-0.0311657647213273,0.0261454577016516,0.44260530123735,1,accepted,3,0.55007414744431,133,0.187603584010085,0.0014726400778614
816,reproduce,0.769146959709281,-0.670810240159496,-0.37629864114449,-1.69147644242981,1,accepted,3,0.296452755445429,160,0.460148767591626,5.8207660913467394e-11
816,exact_initial,0.769146714614636,-0.670810044424962,-0.376298489102825,-1.69147535708756,1,accepted,3,0.296452648214581,160,0.460148527116662,2.47792439525125e-07
816,exact_window_motion,0.780267299462271,-0.663198881478134,-0.411077002782078,-1.68721720089501,1,accepted,3,0.294324959043422,160,0.468537559705462,0.0356015058947403
816,single_scan,0.561098934841128,-0.488254430112625,-0.276477171128547,-3.42881688323997,1,accepted,3,0.404149449338807,55,0.253435296191965,0.208064772694183
816,without_curb,0.801940119744161,-0.593733252298377,-0.539062872743497,-1.91407639086757,1,accepted,3,0.303098877097076,25,0.48969276804542,0.180091802023568
816,without_pole,0.979170179290661,-0.899398627063434,-0.387112838392781,-1.78455835832482,1,accepted,3,0.480552465626633,145,0.678648784939402,0.228844046253791
816,without_sign,0.106244094686459,-0.0231965458275597,-0.103680894659601,0.596910860483697,1,accepted,3,0.425211284437903,155,0.242708990774279,0.702654917235643
