names,calls,total,self
refineCurbCellsByRoadAdjacency>projectCurbAnchorsToRoadFacingEvidence,21,0.007045,0.007045
segmentGround>buildSlopeGridComponentMemberIndex,21,0.006833,0.006833
detectPoleCandidates>filterPoleCandidatesByContextContrast,21,0.012083,0.006789
groundSegmentation/private/groupedFiniteMedian,42,0.016513,0.006697
intersect>intersectR2012a,238,0.034276,0.00663900000000001
detectPoleCandidates>computePoleFootprintContextBounds,9723,0.006429,0.006429
buildCurbEnergyMaps>computeLocalMinimumMap,21,0.01189,0.006215
buildCoarseSemanticProbabilityCloud,21,0.091543,0.00603099999999999
interp1,309,0.010187,0.005991
segmentGround>propagateSlopeGridGround,21,0.01218,0.005962
voxelizePointCloud>resolveGridGeometry,21,0.005589,0.005589
buildCoarseSemanticProbabilityCloud>regularizeCovariances,81,0.005522,0.005522
bwconncomp,252,0.048747,0.00543800000000001
movmin,42,0.005675,0.005403
detectPoleCandidates,21,0.210469,0.005301
varNamesDim>varNamesDim.validateAndAssignLabels,184,0.017446,0.005284
buildCurbEnergyMaps>computeHeightStepFeatureMaps,21,0.072087,0.005272
buildCurbEnergyMaps>computeFullCellReliefEnergyMap,21,0.007071,0.005209
registerSemanticProbabilityCloud>normalGeometry,21,0.005207,0.005207
tabular.tabular>tabular.initInternals,184,0.034282,0.005203
detectPoleCandidates>filterPoleCandidateFootprints,21,0.012018,0.005172
extractRoadSurface>growRoadCellsFromSeeds,42,0.006612,0.005148
parseArgsTabularConstructors,184,0.00506,0.00506
groundFeatures/private/sampleCellMapAtPoints,21,0.004905,0.004905
buildCurbEnergyMaps>computeRoughnessEnergyMap,21,0.004835,0.004835
detectPoleCandidates>buildPoleCoreMask,21,0.004825,0.004825
segmentGround,21,0.292176,0.00450399999999995
extractRoadSurface>buildRoadSeedMask,42,0.004499,0.004499
prepareSemanticRegistration,21,0.063238,0.004467
varNamesDim>varNamesDim.makeValidName,184,0.008388,0.004435
bwconncomp>parseInputs,252,0.006767,0.004372
tabularDimension.tabularDimension>tabularDimension.createLike,368,0.027009,0.004288
buildCoarseSemanticProbabilityCloud>selectGroundCells,42,0.007637,0.00428
segmentGround>resolveSlopeGridParams,21,0.008901,0.004214
tabular.dotReference,259,0.00418,0.00418
registerSemanticProbabilityCloud>observableStep,238,0.004173,0.004173
segmentGround>buildSlopeGridSmoothFlatComponents,21,0.01316,0.004136
buildCoarseSemanticProbabilityCloud>useEmpiricalMoments,84,0.004099,0.004099
projectSemanticProbabilityCloud,42,0.023917,0.004028
buildCoarseSemanticProbabilityCloud>emptyComponents,105,0.004019,0.004019
tabular.tabular>tabular.countVarInputs,184,0.005201,0.004015
segmentGround>estimateSlopeGridSeedHeight,21,0.007549,0.003906
buildCoarseSemanticProbabilityCloud>summarizeLayers,21,0.004412,0.003856
voxelizePointCloud>resolveVoxelConfig,21,0.004906,0.00383
extractRoadSurface>growMaskByChebyshevRadius,42,0.003815,0.003815
pillarizePointCloud,21,0.089964,0.00378700000000001
buildFineColumnShapeScores,21,0.014184,0.003382
bwdist>parse_inputs,84,0.003359,0.003359
tabularDimension.tabularDimension>tabularDimension.setLabels,368,0.022721,0.00335
meshgrid,63,0.003089,0.003089
perceiveFrame>emptyDerivedVoxelGrid,21,0.004682,0.003055
detectPoleCandidates>selectPreferredMinimalPoleFootprint,576,0.033067,0.003048
offGroundFeatures/private/resolvePoleDetectionParams,21,0.003031,0.003031
repmat,109,0.003331,0.002905
buildCoarseSemanticProbabilityCloud>assignToGrid,81,0.00283,0.00283
buildCoarseSemanticProbabilityCloud>selectSemanticObservations,84,0.021696,0.002804
detectPoleCandidates>buildPoleSupportMask,21,0.002779,0.002779
resolveRoadReflectivityThreshold,21,0.006958,0.00266
buildCoarseSemanticProbabilityCloud>observationStruct,84,0.00265,0.00265
buildCurbEnergyMaps>countValidNeighbors,21,0.002614,0.002614
perception/private/buildMaskFromIndices,21,0.002612,0.002612
buildCoarseSemanticProbabilityCloud>validateConfig,21,0.002485,0.002485
localizeLidarFrame,21,2.664377,0.00226300000000013
groundFeatures/private/connectedComponents8,147,0.034439,0.00220499999999999
groundFeatures/private/resolveRoadSeedReferenceY,21,0.00246,0.002182
tabularDimension.tabularDimension>tabularDimension.checkDuplicateLabels,184,0.002176,0.002176
voxelizePointCloud>accumulateVoxelStatistics,21,0.00266,0.00215
makeUniqueStrings>processExcludes,184,0.002122,0.002122
validateLidarFrameCalibration,63,0.002096,0.002096
resolveRoadReflectivityThreshold>computeQuantile,21,0.002092,0.002092
varNamesDim>varNamesDim.createLike,184,0.023062,0.00207
iptcheckconn,252,0.002395,0.001934
rowNamesDim>rowNamesDim.validateAndAssignLabels,184,0.001925,0.001925
segmentGround>computeSlopeGridCellGeometry,21,0.003091,0.001873
validateVariableNameLength,368,0.001858,0.001858
perceiveCoarseProbabilityCloud,21,2.120069,0.00183799999999978
perceiveFrame>resolveCoarseProbabilityCloudConfig,21,0.006822,0.001765
ndgrid,21,0.001733,0.001733
extractRoadSurface>removeSmallRoadComponents,42,0.00865,0.001732
mean,81,0.002627,0.001721
metaDim>metaDim.checkAgainstVarLabels,184,0.01808,0.001698
interp1>parseinputs,309,0.002668,0.001637
isCharString,1451,0.001603,0.001603
prepareSemanticRegistration>validateRegistrationCalibration,21,0.002378,0.001549
buildCurbEnergyMaps>buildShiftSumKernel,84,0.001821,0.001506
extractRoadSurface>interpolateBoundaryRowsWithEndpointHold,84,0.007835,0.001405
varNamesDim>varNamesDim.checkReservedNames,184,0.001779,0.001353
registerSemanticProbabilityCloud>quality,42,0.001304,0.001304
registerSemanticProbabilityCloud>validateParameters,21,0.001842,0.001285
buildCurbEnergyMaps>boxWindowCountMap,21,0.001227,0.001227
segmentGround>readOptionalNonnegativeScalarConfig,357,0.001206,0.001206
median>permuteX,21,0.001172,0.001172
validatePerceptionFeatureNames,42,0.017564,0.001163
unique>convertFlag,903,0.001143,0.001143
repmat,109,0.004457,0.001126
makeUniqueStrings>reshapeAndTypecastOutputs,184,0.001124,0.001124
