frame,before,errors,matchingError,valid,seconds
1,0.640312423976002,0.640312423976002,0.640312423976002,0,0.034744
2,0.431858042352315,0.105352582519488,0.0922452219250692,1,0.05659
3,0.285858984995519,0.0918187268155371,0.0926791114820071,1,0.018004
4,0.190126509444424,0.083421515857915,0.0925579692863423,1,0.018664
5,0.130110765478865,0.0791028149136903,0.0949208550228145,1,0.01977
6,0.0965778945867509,0.0769822364137477,0.102654506377793,1,0.02151
7,0.0796191142878844,0.0760115545391377,0.108765712495437,1,0.025855
8,0.0708807121023797,0.074257022312223,0.104866861396917,1,0.025919
9,0.0666240750851118,0.072461926423777,0.10552412633076,1,0.027547
10,0.0590141967373123,0.0696122807341409,0.0972465463337769,1,0.033406
11,0.0501905617097636,0.0658903111032684,0.0718288817714012,1,0.034868
12,0.040950151190724,0.0624559788660549,0.0545973943709675,1,0.040389
13,0.0356316106556458,0.0578809918946948,0.0562825648348981,1,0.03374
14,0.0296749324674631,0.0552309439101068,0.0385308423937153,1,0.035928
15,0.0264763076983851,0.0571677671811422,0.0443152892556752,1,0.041714
16,0.0251044765799955,0.0592341069287888,0.0450014492656343,1,0.035806
17,0.0257047144188157,0.0608515271029018,0.0513303340098626,1,0.035457
18,0.0232959709279002,0.0622534629842425,0.0154270551173029,1,0.037689
19,0.0215385552522592,0.0633099154795048,0.00434307031360305,1,0.041483
20,0.0204436127714996,0.0642163660996096,0.00835209918348388,1,0.042397
21,0.0199191900411174,0.0641322649024734,0.00715362169267554,1,0.041777
22,0.0194866134876087,0.0647406648067407,0.0131684159837284,1,0.045395
23,0.0201949083794184,0.0652255417518951,0.03068647390993,1,0.04021
24,0.020639740960253,0.0656077038199763,0.0259746011766848,1,0.036651
25,0.0211009020517035,0.0658111729452538,0.0263897696924102,1,0.039759
26,0.0226635543001576,0.0663721563422209,0.0187239816677853,1,0.040462
27,0.0212003298785029,0.0664881327833205,0.0388120820033294,1,0.042337
28,0.0191386127608368,0.0680649420988502,0.03138706380224,1,0.045786
29,0.0206310346676702,0.0696063762691191,0.0413006480218753,1,0.036562
30,0.0261832951612914,0.0724079632435475,0.0563221020602738,1,0.03491
31,0.029921504148864,0.0740277549482338,0.058949625268412,1,0.03838
32,0.0327414529542705,0.0738819227454596,0.048405030154416,1,0.039392
33,0.0343682874950087,0.0716225998442409,0.0584042868058512,1,0.038194
34,0.0344958449445294,0.070063925455138,0.0597973685838077,1,0.033002
35,0.0339376027822155,0.0703226455029361,0.0577109585779356,1,0.039046
36,0.0359815718314186,0.0723351392589016,0.0600818236244484,1,0.032052
37,0.0360876396753833,0.0735480363126867,0.0621893327228511,1,0.034669
38,0.0361167299435938,0.0742613130994205,0.059708771430781,1,0.035282
39,0.0345610541079472,0.0753886430930313,0.056459515058637,1,0.034572
40,0.0321169959076965,0.0770674656843382,0.0555852327564342,1,0.044929
41,0.0342584802190221,0.0791274787099525,0.0303591573928418,1,0.03537
42,0.0383784221536039,0.0815067409491223,0.0519309416526832,1,0.03056
43,0.0403265287957908,0.0836783613056693,0.0394140254343396,1,0.028764
44,0.0431364415778318,0.0849006702675757,0.0449664459918847,1,0.034806
45,0.0452669964983195,0.0859817200777981,0.0468724291871281,1,0.028864
46,0.0438402051129937,0.0865557180080857,0.0491864850069762,1,0.036539
47,0.0427980859234229,0.0874174298765053,0.0300563636299777,1,0.035739
48,0.0413529083648057,0.0872890092701368,0.04071825406927,1,0.033553
49,0.0396504496680696,0.0864787076341851,0.0413229222462451,1,0.033858
50,0.0382331572883421,0.0847440013452981,0.0272305426990181,1,0.034179
