frame,source,class,oldTarget,newTarget,oldReferenceDistanceM,newReferenceDistanceM,accepted
144,6,curb,83,82,1.39635273831379,6.26520381248443,1
144,19,curb,35,36,2.9504244684059,6.99421001576953,1
144,20,curb,83,82,2.31312506169877,2.68195228865671,1
144,23,curb,35,36,1.99225998384964,5.99980627971189,1
144,26,curb,35,36,1.3500379399306,5.26285893826973,1
144,27,curb,83,82,4.14736404315056,0.990433312320781,1
144,46,curb,82,81,3.61011486999477,2.8910769147388,1
144,47,curb,82,81,3.10758508128298,3.40586282617181,1
144,48,curb,36,32,0.422082258481111,3.50329343695729,1
144,64,curb,81,80,2.23071587873683,2.28732931711992,1
144,73,trafficSign,1172,1171,0.166776009906885,0.8612383155796,1
144,74,trafficSign,1172,1171,0.106972177434245,0.665032081288147,1
144,75,curb,36,32,4.25827570524355,8.10038596855509,1
144,88,pole,909,908,0.0286262457738393,0.524182749939895,1
146,31,curb,35,36,3.55132433517983,0.562656347012584,1
146,46,curb,81,80,1.0337915791947,3.48115638792621,1
146,50,curb,81,80,2.00684514115823,2.50662463074963,1
146,58,curb,80,123,3.62922741887248,1.0524918076826,1
146,64,trafficSign,1172,1171,0.104248028774786,0.72501218934138,1
146,65,trafficSign,1172,1171,0.2111584020039,0.565961880054028,1
146,74,curb,31,79,0.933957593597813,1.56727980464677,1
146,75,curb,79,78,0.721532094591641,5.68484971259545,1
146,82,curb,36,32,3.99671745012566,7.83964403022356,1
146,83,curb,82,81,0.622653317846117,6.13267582944722,1
146,98,curb,32,31,3.73900652598862,0.870871890585927,1
146,99,curb,80,123,5.45563643090777,0.915167983655929,1
148,17,curb,36,32,4.02185439262537,7.85910078487647,1
148,34,curb,36,32,0.964527320059398,2.93640465597568,1
148,48,curb,81,80,1.31929220331039,3.19534669643833,1
148,60,curb,31,79,1.20603483378727,1.84637894956751,1
148,72,trafficSign,1172,1171,0.114501290341746,0.67039929352576,1
148,73,trafficSign,1172,1171,0.269716634961824,0.509135915770494,1
148,81,curb,80,123,4.20968636727392,0.501088086747088,1
148,84,curb,80,123,5.43522036558256,0.863463897712115,1
148,85,curb,123,122,2.96519522923537,1.55758861545974,1
148,101,curb,123,122,2.46638360507786,2.02000694829268,1
161,1,curb,80,123,2.1617272604067,6.69933870735212,1
161,3,curb,125,123,1.88338287401785,5.66055284829855,1
161,12,curb,31,79,0.19491179631111,0.622678848579825,1
161,14,curb,80,123,2.6710022337226,2.02710215257238,1
161,17,curb,80,123,3.51631814378715,1.18578444253134,1
161,22,curb,79,78,2.20585430799144,4.12611597385883,1
161,28,curb,80,123,6.31349100863921,1.68560545599207,1
161,29,curb,123,122,1.51133391488409,2.9541137043463,1
161,36,curb,78,76,0.97687494800997,2.49244070061675,1
161,55,curb,76,77,2.06506988095647,4.39559336347798,1
161,58,curb,120,119,1.18117516252979,3.24980480534103,1
161,65,pole,944,942,0.334309919478716,0.164461791835355,1
161,69,trafficSign,1171,1173,0.243035997260118,0.627913778825678,1
161,70,curb,123,122,2.63675322775882,7.04284933675666,1
161,75,curb,122,119,2.77005547500714,5.10625772893029,1
161,76,curb,120,119,0.329898054455812,4.09319469713042,1
161,85,curb,119,116,3.2692998150102,4.55990767086004,1
161,88,pole,925,924,0.755959598459487,0.333254835449287,1
161,90,curb,123,122,1.81992259784715,6.19352520233599,1
161,98,curb,77,73,0.29223569867936,4.6939523212229,1
161,101,curb,122,120,3.08329616112209,0.361815290770667,1
458,99,trafficSign,1217,1215,0.134714376882511,0.177401834882675,1
459,89,trafficSign,1217,1215,0.113057250416754,0.201382591988699,1
460,14,curb,348,372,2.17396077641729,3.2531316514391,1
460,70,trafficSign,1217,1215,0.108657211135326,0.203536573459567,1
544,82,curb,488,486,2.17048100624162,2.93646605180722,1
544,89,trafficSign,1259,1258,0.100357672017149,0.493682176675548,1
544,109,curb,486,487,4.61134851509701,2.07827956980209,1
545,25,curb,434,432,0.349253353694874,4.54826891539259,1
545,57,curb,488,486,2.22726651465625,2.88734112528347,1
545,71,trafficSign,1259,1258,0.0604488484984227,0.454269579459058,1
545,97,curb,486,487,4.60910806429575,2.07857028084022,1
572,63,trafficSign,1275,1276,0.7336672621114,0.203124476394877,1
626,13,curb,601,597,1.76698130539858,2.4281064340381,1
626,65,curb,640,639,1.10926947088491,3.36169240276119,1
626,72,curb,642,649,8.09837037108741,5.24453391830333,1
626,89,trafficSign,1273,1271,0.274257888266777,0.784587328643706,1
627,38,curb,597,596,1.67812968670557,4.01544018999653,1
627,50,curb,640,642,0.595296588531955,3.78916882745544,1
627,63,curb,642,649,8.10588103571088,5.23718322688471,1
627,86,trafficSign,1273,1271,0.19394705949987,0.707956452924249,1
628,5,curb,642,649,8.11438161947884,5.22928488360655,1
628,27,curb,643,647,2.63787888916646,3.2433792378416,1
628,74,trafficSign,1273,1271,0.171287641788189,0.677579029114652,1
630,84,trafficSign,1273,1271,0.344540674957948,0.842604623845611,1
630,85,trafficSign,1271,1272,0.381203027189217,0.778152682611363,1
630,90,curb,596,595,3.99942678203163,1.78384848664907,1
631,23,curb,643,642,3.72363795799289,0.63807997718538,1
631,47,curb,640,639,1.32711128702223,3.1437681080642,1
631,64,trafficSign,1271,1272,0.403685268578255,0.801174383270176,1
631,77,trafficSign,1273,1271,0.331354078046995,0.824677845637413,1
633,4,curb,647,643,0.757985322677414,0.668553481891824,1
633,53,curb,596,595,3.89558732421258,1.87361400076032,1
633,62,curb,639,637,2.87344501365259,0.531687409066579,1
633,71,pole,1045,1044,0.0847233221141651,0.388063133402002,1
633,75,trafficSign,1273,1271,0.168701958201315,0.635012509845337,1
633,76,trafficSign,1273,1272,0.198849969786728,0.718159120310587,1
633,86,curb,636,633,2.97230395278997,4.32023208763377,1
633,88,curb,643,647,0.558509995515259,1.07723384422189,1
633,102,curb,595,594,1.96192954263036,4.3062187524287,1
633,105,curb,637,636,2.68319841889875,1.43884022195053,1
634,64,pole,1045,1044,0.0648796963882668,0.407086671238096,1
634,70,curb,643,647,0.526247988402349,1.04492472243338,1
634,89,curb,640,642,1.85318892185112,2.6258312729363,1
635,2,curb,643,647,0.49701252843089,1.01361630004019,1
635,21,curb,640,642,0.914593499921278,3.51438463915552,1
635,63,pole,1045,1044,0.0466230761410519,0.42795215979294,1
636,8,curb,596,597,3.15088168216274,2.49430523564633,1
636,77,pole,1045,1044,0.0338928840988548,0.449832465622043,1
636,78,trafficSign,1273,1271,0.26949528364525,0.729717251830904,1
636,98,curb,594,593,4.76812674889092,1.25172162287811,1
637,6,curb,596,597,2.98796321116129,2.65558520637855,1
637,11,curb,640,642,1.31261712167724,3.26955425718702,1
637,67,pole,1045,1044,0.0349132309266504,0.47669875532687,1
637,71,trafficSign,1273,1271,0.25205429829938,0.700583399802609,1
637,80,curb,636,633,3.41099883066982,3.88482018023255,1
637,98,trafficSign,1271,1272,0.184129566046797,0.573741905132595,1
638,7,curb,639,640,5.50686170663143,1.13817169960876,1
638,64,pole,1045,1044,0.050458569755406,0.499908616469027,1
638,70,trafficSign,1273,1271,0.233759441641279,0.652619979655487,1
638,90,trafficSign,1271,1272,0.176369830526558,0.555777006381021,1
639,1,curb,640,642,0.626868112558356,3.76297881249999,1
639,62,curb,636,633,3.35474726200875,3.93758050999115,1
639,72,trafficSign,1273,1271,0.130235636325302,0.587422548128893,1
639,74,trafficSign,1271,1272,0.158788455439036,0.533204520409394,1
639,77,curb,637,636,3.16552659200533,1.04023658206561,1
640,81,trafficSign,1271,1272,0.11309128621944,0.484332186278245,1
659,4,curb,630,632,5.05619966381048,0.767380942045372,1
659,47,curb,587,588,3.9202719841582,2.40496300308132,1
659,66,trafficSign,1272,1271,0.307797465909579,0.0906186661339341,1
660,30,curb,588,630,1.05535476890033,3.19926698138119,1
660,68,trafficSign,1272,1271,0.29230257304493,0.111394701819459,1
661,65,trafficSign,1272,1271,0.261335626786303,0.140463516344682,1
682,8,curb,584,583,0.942422700387374,3.97492384911511,1
699,57,trafficSign,1289,1288,0.411980788514271,0.105850242939785,1
700,55,trafficSign,1289,1288,0.422128365430032,0.113043327617604,1
700,74,curb,505,509,3.37839132269311,2.49764740979637,1
836,30,curb,622,560,2.02660716603078,3.86330343282897,1
1032,6,curb,786,780,3.31737216516118,0.623447392124525,1
1032,8,curb,786,780,2.35155398720176,1.11098351326606,1
1032,12,curb,785,786,5.81327243265502,0.78003161578922,1
1032,18,curb,785,786,4.18243794180579,1.08526343851748,1
1032,21,curb,785,786,3.2679693401582,1.99621291525807,1
1032,25,curb,785,786,2.41493727272044,2.85148525723681,1
1032,36,curb,788,789,3.01250619502971,2.66065446768459,1
1032,44,curb,788,789,1.1298301769586,4.74301178720763,1
1032,46,curb,790,785,2.06725048737896,3.31756205302564,1
1032,67,trafficSign,1308,1307,0.269024636101421,0.301899747718657,1
1032,74,curb,790,785,1.3647737537595,4.02641586096523,1
1133,27,curb,866,862,3.23828834394204,6.31844631899769,1
